Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,492.6946905742741,98.36983893027153,"[1.8453822433935052, 42.72779478264358, 457.88351920526316, 254.61567919069086, 227.6769381603667, 124.14904330675533, 3.0981001377206527, 0.06074458305305373, 345.8292173945841, 267.60894827005535, 58.289964674767646, 302.90776751113896, 79.866312219748, 11.932961365379379, 61.23356928790694, 260.4360200286172, 492.6946905742741, 454.8027370968919, 7.95061553927664, 108.36836715006953, 36.2053333664366, 248.6452088382249, 15.248540084167354, 314.7017005548704, 5.745830087874638, 267.6636390826453, 9.5689551240724, 415.7519767844322, 177.11943934129462, 82.06080955173037]","[4.861327872681537, 24.542104929286246, 93.95335875713148, 65.92615177351266, 61.76365046382156, 43.77473272286581, 6.321646631700284, 0.8732855054184085, 79.09104557111817, 67.8818776329517, 28.96988314534037, 73.04922469498206, 34.344715952565736, 12.599857235275369, 29.74729331190447, 66.80610775525942, 98.36983893027153, 93.55860897464538, 10.224979037549787, 40.59708487316035, 22.479742051289836, 65.01667182431285, 14.302529801943997, 74.73352566013405, 8.658943193114556, 67.89004415421651, 11.245599441968078, 88.49391241838975, 53.46321258900729, 34.85526867150381]"
2,508.345425596349,100.0,"[1.8453822433935052, 42.72779478264358, 508.345425596349, 388.3720668745568, 227.6769381603667, 140.77918450784435, 284.9531795474996, 29.471582572950176, 356.3140004198486, 277.1499095676222, 134.3009601123437, 424.41016246703845, 79.866312219748, 11.932961365379379, 247.1826420358944, 260.4360200286172, 492.6946905742741, 508.345425596349, 7.95061553927664, 193.94152965353194, 36.2053333664366, 248.6452088382249, 251.42477018887016, 314.7017005548704, 29.47976063824007, 267.6636390826453, 10.97069555888928, 508.345425596349, 214.13273913717356, 199.49879116837562]","[4.861327872681537, 24.542104929286246, 100.0, 84.59760525310715, 61.76365046382156, 46.82153617191207, 70.22835995744623, 20.113822433543394, 80.2782727737482, 69.08518032822889, 45.603130260133206, 89.33820021962924, 34.344715952565736, 12.599857235275369, 64.59526814743714, 66.80610775525942, 98.36983893027153, 100.0, 10.224979037549787, 56.1389017317578, 22.479742051289836, 65.01667182431285, 65.24115961367569, 74.73352566013405, 20.11675549768846, 67.89004415421651, 12.032923957750182, 100.0, 59.429264313890016, 57.05594192079752]"
3,554.2459989328063,100.0,"[171.06691783724622, 59.482052783050044, 508.345425596349, 398.2510400000183, 236.66674140972927, 158.7393244320383, 312.19845259054125, 42.66191232032169, 356.3140004198486, 343.6739763791036, 214.81653749573243, 554.2459989328063, 203.64501220565597, 12.318082350536217, 388.32433791923137, 260.4360200286172, 492.6946905742741, 554.2459989328063, 7.95061553927664, 313.7726255752973, 213.68128927518367, 296.96895727715224, 251.42477018887016, 412.65069011129566, 307.8551030561735, 471.72736599013535, 14.759825209306923, 508.345425596349, 396.6372479159711, 342.55899210168917]","[49.76541545111982, 27.881126337469855, 100.0, 81.49548158456689, 59.89830331505801, 47.71325666708956, 70.43098126453896, 23.358021971433217, 80.2782727737482, 74.57269239782005, 56.64905087361504, 100.0, 54.943339203155105, 12.216566918605016, 80.25791668340487, 66.80610775525942, 98.36983893027153, 100.0, 10.224979037549787, 70.64109471554511, 56.47716779620809, 68.38065267042609, 65.24115961367569, 83.27534275884732, 69.84952145450396, 90.40825731635292, 13.411837219887094, 100.0, 81.29489131451396, 74.4280137274227]"
4,554.3151770690564,100.0,"[171.06691783724622, 59.482052783050044, 554.3151770690564, 544.4150579957695, 274.9980739392475, 158.7393244320383, 378.121953551757, 42.66191232032169, 375.37952608768654, 354.3366131765752, 214.81653749573243, 554.3151770690564, 211.13784550058605, 12.318082350536217, 388.5740405208049, 267.75331739440986, 554.3151770690564, 554.3151770690564, 7.95061553927664, 313.7726255752973, 546.4433507437158, 498.2202244194282, 303.5576884619329, 547.6210553062325, 329.1014535227379, 471.72736599013535, 14.759825209306923, 508.345425596349, 396.6372479159711, 368.4520667141402]","[49.76541545111982, 27.881126337469855, 100.0, 98.8686548247517, 65.35763650575684, 47.71325666708956, 78.97056209572841, 23.358021971433217, 78.62445330747704, 75.94354118711144, 56.64905087361504, 100.0, 56.086896689001065, 12.216566918605016, 80.28309027991887, 64.34546579045058, 100.0, 100.0, 10.224979037549787, 70.64109471554511, 99.10082988379071, 93.52254735331789, 69.26656068660722, 99.23554665617043, 72.66492854853482, 90.40825731635292, 13.411837219887094, 100.0, 81.29489131451396, 77.74687507733361]"
5,562.2232299143664,100.0,"[196.52018536610984, 82.94518426870223, 562.2232299143664, 544.4150579957695, 274.9980739392475, 239.5972677723108, 398.0521033870822, 110.3327244767257, 376.60045584998124, 354.3366131765752, 304.72195751554057, 554.3151770690564, 291.3456740775246, 180.8402243992585, 388.5740405208049, 411.7362005043906, 562.2232299143664, 562.2232299143664, 7.95061553927664, 422.67030620783964, 546.4433507437158, 562.2232299143664, 378.96464990148263, 547.6210553062325, 502.02783377095346, 471.72736599013535, 14.759825209306923, 508.345425596349, 396.6372479159711, 368.4520667141402]","[53.40171801104898, 33.09674626108858, 100.0, 98.8686548247517, 65.35763650575684, 59.829668716143686, 80.7676373133959, 38.675647607357675, 78.10865219454607, 75.94354118711144, 68.84519241895421, 100.0, 67.0494903473585, 50.939840926678826, 80.28309027991887, 82.44241367731024, 100.0, 100.0, 10.224979037549787, 83.76942224925065, 99.10082988379071, 100.0, 78.40380843762638, 99.23554665617043, 93.14150966092927, 90.40825731635292, 13.411837219887094, 100.0, 81.29489131451396, 77.74687507733361]"
6,568.6348051817005,100.0,"[302.9435174594386, 82.94518426870223, 568.6348051817005, 568.6348051817005, 347.13607522808513, 384.41470256268417, 398.0521033870822, 134.47523398962014, 411.057124939348, 367.0976436442225, 427.08300940537515, 568.6348051817005, 291.3456740775246, 180.8402243992585, 428.3075749847536, 444.4269064596904, 562.2232299143664, 562.2232299143664, 7.95061553927664, 422.67030620783964, 568.6348051817005, 568.6348051817005, 378.96464990148263, 556.2705935077631, 502.02783377095346, 471.72736599013535, 36.48048109719066, 568.6348051817005, 396.6372479159711, 423.25793557561633]","[68.15094210927887, 33.09674626108858, 100.0, 100.0, 73.88084607290494, 78.54290213280746, 80.7676373133959, 42.87395994574915, 81.79394722616004, 76.39476578074657, 83.72070466735384, 100.0, 67.0494903473585, 50.939840926678826, 83.86709619730988, 85.78353764488078, 100.0, 100.0, 10.224979037549787, 83.76942224925065, 100.0, 100.0, 78.40380843762638, 98.62201246743957, 93.14150966092927, 90.40825731635292, 21.214861354958025, 100.0, 81.29489131451396, 83.26268283182137]"
7,568.6348051817005,100.0,"[358.1307092371124, 84.3330082324255, 568.6348051817005, 568.6348051817005, 385.25583782257854, 384.41470256268417, 431.50372467928605, 179.99889992824257, 411.057124939348, 372.37629905397216, 427.08300940537515, 568.6348051817005, 364.91919203137076, 180.8402243992585, 428.3075749847536, 514.9614266426006, 562.2232299143664, 562.2232299143664, 40.689639480196185, 422.67030620783964, 568.6348051817005, 568.6348051817005, 397.75149866286336, 556.2705935077631, 502.02783377095346, 474.7091187512755, 113.27422816822668, 568.6348051817005, 396.6372479159711, 423.25793557561633]","[78.84525132152737, 34.613228697320736, 100.0, 100.0, 82.41122131641862, 78.54290213280746, 88.3346607160302, 52.738768262527614, 81.79394722616004, 80.72727090921532, 83.72070466735384, 100.0, 79.74472659310254, 50.939840926678826, 83.86709619730988, 98.6238602475938, 100.0, 100.0, 23.410420841061274, 83.76942224925065, 100.0, 100.0, 84.02996309827356, 98.62201246743957, 93.14150966092927, 93.71795163965653, 40.69061130202566, 100.0, 81.29489131451396, 83.26268283182137]"
8,568.6348051817005,100.0,"[358.1307092371124, 149.99256410314644, 568.6348051817005, 568.6348051817005, 385.25583782257854, 384.41470256268417, 456.87449311676227, 179.99889992824257, 450.94951337578783, 467.5142019280585, 553.4539224410023, 568.6348051817005, 386.11182589840297, 180.8402243992585, 428.3075749847536, 553.4539224410023, 562.2232299143664, 562.2232299143664, 40.689639480196185, 474.70613796687, 568.6348051817005, 568.6348051817005, 515.7189850615622, 556.2705935077631, 502.02783377095346, 474.7091187512755, 113.27422816822668, 568.6348051817005, 396.6372479159711, 501.4521019398299]","[78.84525132152737, 46.257834346214274, 100.0, 100.0, 82.41122131641862, 78.54290213280746, 88.71673899145304, 52.738768262527614, 88.00582767533722, 89.9873099734071, 100.0, 100.0, 80.05009751896851, 50.939840926678826, 83.86709619730988, 100.0, 100.0, 100.0, 23.410420841061274, 90.84189684661564, 100.0, 100.0, 95.65439210027509, 98.62201246743957, 93.14150966092927, 93.71795163965653, 40.69061130202566, 100.0, 81.29489131451396, 93.99155055021288]"
9,583.4337017034622,100.0,"[358.1307092371124, 303.68916000298907, 568.6348051817005, 583.4337017034622, 470.9770560581774, 384.41470256268417, 509.8626908083232, 327.6547184123695, 563.5551936760177, 496.90854215444165, 583.4337017034622, 568.6348051817005, 429.97742447348884, 180.8402243992585, 477.9724234746461, 583.4337017034622, 583.4337017034622, 583.4337017034622, 40.689639480196185, 534.1301992656687, 583.4337017034622, 568.6348051817005, 515.7189850615622, 573.8140817481933, 583.4337017034622, 505.6015695065471, 396.7003074006844, 583.4337017034622, 505.17647428017267, 504.8511150435916]","[78.84525132152737, 67.22555652552543, 100.0, 100.0, 87.5035663455005, 78.54290213280746, 91.90160737490034, 70.30596258305266, 97.83753891005979, 90.44647483750464, 100.0, 100.0, 82.76000687321527, 50.939840926678826, 88.30156137822107, 100.0, 100.0, 100.0, 23.410420841061274, 94.60266629209129, 100.0, 100.0, 95.65439210027509, 98.95574357694493, 100.0, 91.42401455592417, 78.81661682078848, 100.0, 91.37631300043364, 91.33979626370245]"
10,588.3973615410031,100.0,"[540.5291637929797, 504.7520332208708, 588.3973615410031, 583.4337017034622, 470.9770560581774, 384.41470256268417, 588.3973615410031, 430.8194495943682, 563.5551936760177, 501.6998997359759, 583.4337017034622, 575.4950490268368, 436.73084678671137, 342.53087064593467, 477.9724234746461, 583.4337017034622, 588.3973615410031, 583.4337017034622, 40.689639480196185, 554.1784909278232, 588.3973615410031, 588.3973615410031, 588.3973615410031, 573.8140817481933, 588.3973615410031, 505.6015695065471, 439.79848496011203, 588.3973615410031, 576.0847216392328, 555.4823550998397]","[94.8061039178224, 90.85019125469094, 100.0, 100.0, 87.5035663455005, 78.54290213280746, 100.0, 82.43251957848061, 97.83753891005979, 90.50947437869335, 100.0, 98.61030759359585, 83.11928303041509, 71.8199159393429, 88.30156137822107, 100.0, 100.0, 100.0, 23.410420841061274, 96.29799656511764, 100.0, 100.0, 100.0, 98.95574357694493, 100.0, 91.42401455592417, 83.47464804104132, 100.0, 98.6739790563353, 96.44003938597669]"
