Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,442.1944147017858,88.1968177924842,"[121.48443342624806, 89.52711803891981, 128.08333032683882, 179.76071024182258, 94.46763440255206, 210.1935027603941, 90.82916180310595, 0.21396113830687621, 287.27048042799646, 94.0598145057191, 192.75048175521079, 243.21372567699953, 442.1944147017858, 115.8636153908872, 5.203003560360779, 108.71870944803179, 33.19289442359609, 19.120374026623168, 186.81401620728138, 53.21867101160968, 92.71076456555049, 111.39721231986394, 131.3728249048128, 310.9886283311463, 262.6468417488416, 63.85762974552795, 42.07696258125344, 175.1665416493418, 37.802154994485335, 122.2220566800775]","[41.66908614079062, 35.23655271125677, 42.90934994647871, 51.89712575514414, 36.28510403808826, 56.74009355934556, 35.515131909145225, 1.5877047213707223, 68.03314350593965, 36.19940872332587, 53.99752099526792, 61.72408207268818, 88.1968177924842, 40.591716798493664, 7.954017194361409, 39.19196526511587, 20.72611308105099, 15.533746157832306, 53.04416471806814, 26.617789364356124, 35.91485119582733, 39.72085911835864, 43.51831841202501, 71.2992524970389, 64.54963705207733, 29.347569823525742, 23.49142426837232, 51.14120114649163, 22.19695755447006, 41.80900488038377]"
2,467.01516084624177,88.1968177924842,"[127.27645082935491, 97.02078854158482, 137.30186052180835, 189.9044977849822, 102.66625970125692, 221.09427470193376, 96.9234296744869, 0.28710416858492493, 305.4169554526511, 99.89811426960311, 206.26769955387553, 258.4730293241953, 467.01516084624177, 123.70637557575152, 5.48057455581456, 115.13692813157877, 35.66099860595511, 22.07365241841594, 199.9302574463122, 57.71451226080801, 98.49069956711082, 118.84833223046714, 139.5965022740391, 328.7778525444692, 279.4360134961567, 70.46912921839152, 46.387159828144014, 186.30351455546455, 41.64333443090557, 129.8172593274653]","[41.484119385223444, 35.73545848312136, 43.265749404550725, 51.90544718976315, 36.857468444327424, 56.60837883181472, 35.715879635687514, 1.7905348248306796, 68.29983567698953, 36.310528704203506, 54.40452304707788, 61.94804666678125, 88.1968177924842, 40.83653456530746, 7.9433223607268895, 39.25125317283816, 20.91364531451394, 16.269878927786984, 53.445415711975464, 26.997097403403014, 36.03009222631533, 39.94337437869539, 43.66634246522897, 71.34215552798747, 64.82752599188481, 30.04901794115399, 24.03205701720727, 51.34517478491433, 22.697177982148066, 41.94067358160175]"
3,467.01516084624177,88.1968177924842,"[120.21414786539404, 91.4930583689887, 130.06701104436672, 178.18185024208407, 96.98335513851087, 208.31783506681157, 91.03282153438711, 0.31949287383232505, 287.36206456363334, 95.87926628943684, 195.3225951150165, 244.23475306466307, 444.1413637667591, 116.45350855718289, 6.119391170270271, 107.99618432266912, 33.82396741439992, 21.46969822328951, 189.52692746248923, 56.17215675051504, 93.71502416115905, 114.66646807281974, 131.0730607340937, 310.32080498049953, 260.83019580973144, 66.90996945799807, 43.594491957158276, 175.14249001588507, 41.526694854903994, 124.9031494291575]","[41.60096649771217, 35.8039233991247, 43.459472851218266, 51.859879584417435, 36.96302279554647, 56.69430009063902, 35.705493016609104, 1.9492388574869288, 68.34949398408433, 36.73211040164773, 54.642466727413954, 62.14650990063244, 88.84903389068842, 40.87603663683053, 8.6741193289281, 39.211130896917155, 21.016108453035617, 16.56420861259235, 53.711820513227565, 27.50835991319234, 36.276328185484395, 40.52833222614426, 43.64611307671985, 71.52838062001268, 64.57285245976001, 30.216836281707106, 24.03303152830084, 51.35655067510188, 23.421728227246884, 42.49254091242994]"
4,467.01516084624177,88.1968177924842,"[114.90314343224058, 89.50399950636039, 124.36403560674329, 169.79716968992696, 93.13565317465317, 199.5967111845712, 87.68098809579381, 0.25205150333330245, 274.38330637091326, 91.90515866966992, 186.21406759268157, 232.7128779210927, 421.37403535029046, 110.6946635718914, 6.078622496996378, 103.87757976155974, 34.19306294848091, 20.921902205941997, 181.79410477201645, 54.46445649911558, 89.55012034257227, 111.64498075894373, 124.97900718539235, 293.5197288985213, 247.62319827699483, 65.25565496192128, 42.54273172546546, 168.11224912359776, 40.62132466755919, 121.1729070964212]","[41.77015478496311, 36.40625487362663, 43.6454661946862, 51.986986311982974, 37.20740337330765, 57.0123837010565, 35.9991371851876, 1.7766252057965715, 68.60373096777798, 36.93739270559191, 54.79117812178881, 62.298029960641344, 88.84317865277241, 40.91669104716876, 8.879680169782421, 39.50657614039339, 21.73001818225484, 16.796025904037798, 54.04524656060303, 27.828915150348447, 36.416510782715534, 41.11050910617246, 43.76541433714893, 71.39492505220137, 64.59374990503915, 30.66767703437603, 24.394122934450706, 51.69375918455122, 23.803105501363504, 43.01932781935646]"
5,467.01516084624177,88.1968177924842,"[119.83856823561688, 91.81078579908507, 128.5530555928687, 175.69610143810252, 96.64375144051807, 204.77938854722265, 90.1416300178761, 0.36354646705473376, 281.74615681204335, 96.70525078253426, 193.42940336531444, 235.3965403945076, 431.47128706018304, 113.22828842845155, 6.381499202880578, 106.92662048429418, 36.012884475795396, 23.188883732474906, 188.9324111504448, 56.57748963012984, 92.19912979861323, 115.22080295193005, 130.5515438689188, 297.65748964767215, 255.20983548808024, 68.92314363671515, 44.38332551571251, 174.85307051609968, 41.81986767362855, 124.35383123787753]","[42.19405075423415, 36.43837977318133, 43.871801238888054, 52.292328125217765, 37.47630390186115, 57.071366175731036, 36.07480247434083, 2.1101666634322416, 68.71091064346342, 37.48937471891552, 55.23701428745264, 61.852093044588436, 88.83477768829091, 40.88949724770657, 8.992944128250228, 39.617651210215556, 22.053799432589624, 17.503155492364165, 54.4997550222755, 28.04184727719329, 36.522583753782804, 41.28579382703063, 44.25029081523101, 70.97966382173371, 64.83370050004812, 31.182365505746073, 24.63532457618117, 52.14973992483676, 23.869410614833935, 43.069042118638414]"
6,467.01516084624177,88.1968177924842,"[108.77385442446497, 84.24565543552905, 119.3707194499643, 161.95389391362662, 90.28427533830886, 188.3923001819678, 83.67459118657516, 0.42733721195982394, 259.1182623791582, 90.28545053152313, 176.98612447491294, 215.941883992962, 397.25920173206873, 105.22618019396396, 6.609917715905212, 98.41047475094027, 33.277656279009435, 22.1181313788643, 174.81002373460376, 52.222326861340626, 86.25081655156202, 105.7578167920508, 120.75610477701177, 272.87096141786304, 234.17294730150377, 65.08252198149093, 42.2657278585492, 157.96917768797746, 38.739168348120174, 112.90399343768149]","[42.05053666053079, 36.532853240465165, 44.27972520810933, 52.568785345844326, 37.94496314949766, 57.31183839445644, 36.39722820236705, 2.395699149558721, 68.99550697330754, 37.94523419574228, 55.29662564303716, 62.012689499825306, 89.28094622506264, 41.2855555217528, 9.591344424056299, 39.7868269829887, 22.190930632826504, 17.905044438841674, 54.907013677266846, 28.202000597257857, 37.006149335907814, 41.40082774416578, 44.5654032977265, 71.13907663755606, 65.01217616718709, 31.75002291395188, 25.18956232750284, 51.8306170856048, 24.0499979175807, 42.92895630789409]"
7,467.01516084624177,88.1968177924842,"[102.66593759166562, 79.391421171963, 113.91494773818135, 152.72327261014135, 85.93783671656504, 177.39419326971895, 80.32858111518276, 0.5895081633592383, 244.30004709019858, 85.84487275366237, 167.65402302353286, 202.60874430860372, 372.3108791965632, 99.77034734214809, 6.513028412304488, 93.10420129226907, 32.14070042824944, 20.835188131300278, 163.50859032924765, 50.68139523985925, 79.93111788144344, 100.69531753082238, 114.11389261786265, 258.8245728480328, 219.91991901312664, 62.24293709749825, 40.001449104003946, 144.8818452675278, 37.99581065581103, 106.58276544367995]","[42.21539028414039, 36.64298110858046, 44.72794213029153, 52.753291175628135, 38.269443297345866, 57.46673512986806, 36.87904754009007, 2.9102473884548377, 69.23877829334911, 38.24670239947245, 55.635497625784396, 62.052931075191424, 89.28037767660621, 41.55160761928684, 9.840588205874756, 39.99403448939436, 22.546568011162343, 17.952795191813795, 54.84479533516158, 28.734861097110816, 36.77906508363324, 41.76445561242813, 44.77149444289345, 71.64750726483143, 65.09028649287106, 32.09948342376602, 25.321126681482305, 51.19905840780268, 24.637802335014975, 43.10178826712774]"
8,467.01516084624177,88.1968177924842,"[98.9131006785927, 77.35082652684991, 112.2683715991766, 149.05780856625915, 84.39287394737089, 173.02323845879872, 77.47671581665799, 0.7483871737632829, 237.91430123871055, 84.36235837140538, 163.6649455073326, 197.82177578889335, 360.61842725907104, 98.53392553578324, 6.079198239232802, 91.07005979070121, 29.603879608746233, 20.49987307096338, 158.72748318830634, 47.40385409089546, 77.65539900743244, 99.8350727360296, 110.98954328974597, 250.8445920799215, 214.1971108183372, 60.99945024075533, 40.52115136908361, 142.192601989425, 37.886123915359505, 105.35747594675286]","[42.0905749352928, 36.76061497700082, 45.162760272589, 52.981841704477084, 38.55975338010242, 57.696741733682366, 36.79334319243578, 3.3352899946967343, 69.46040010648521, 38.55209009851951, 55.88496599426198, 62.34156692786637, 89.27972967557656, 42.00108064634766, 9.65565072080241, 40.21097274314334, 21.955080876271907, 18.10051239751591, 54.91440052910753, 28.201092229375384, 36.83975966685219, 42.307625734670744, 44.87491559278289, 71.6721915546825, 65.3012323985791, 32.30369166885693, 25.93272214050199, 51.58226731359197, 25.020677638148108, 43.59177039530317]"
9,467.01516084624177,88.1968177924842,"[94.86091929845041, 73.12684787475416, 106.68109777206696, 141.02184829664975, 80.04034823984635, 164.5600457651273, 74.38421137226815, 0.8903935467946068, 225.03106310341988, 78.07472073903237, 155.66482784087717, 187.88772653502693, 339.6571634780653, 92.67650793121474, 5.98145950142926, 82.23379582412598, 28.320298924383493, 19.625242062446013, 149.62798304920042, 46.4017565324442, 74.0594334415725, 95.5144871820224, 105.98584768269043, 237.01377293580327, 202.33385420384292, 58.605304928849534, 38.50557795309045, 135.56531057594376, 34.02534761380938, 99.27834712478015]","[42.51403797576702, 36.835664165113606, 45.38612130092836, 53.116508947727134, 38.70692412454526, 58.02063854030551, 37.181118443942935, 3.7524505478688366, 69.63343160027264, 38.18173176796101, 56.19846383877109, 62.64535328598778, 89.27965944457925, 41.968429418691514, 9.874124867544031, 39.28694586702133, 22.13616192875267, 18.255303578135756, 54.94093842433957, 28.78978739978692, 37.092114662273715, 42.67632845025395, 45.22068844311292, 71.80712334368755, 65.41234749411299, 32.652725230246965, 26.0555292537901, 51.938996539826775, 24.395677744040658, 43.60270151828765]"
10,467.01516084624177,88.1968177924842,"[100.18624430158914, 77.8233375806879, 113.62939337811615, 148.34904370287006, 86.40296000400787, 174.64155574083588, 79.5207447331665, 1.1446587679384586, 237.01212087751455, 82.8822451266348, 164.65858356632282, 198.47313649799221, 356.6654528617214, 97.38490353007657, 6.539818036045901, 88.44852565931382, 30.957469195100636, 21.7048160638476, 157.63892580003497, 49.050545055038135, 79.32332361574029, 98.70789362920688, 111.48365079114404, 248.7232059037022, 213.10676872437716, 63.063465647726, 42.01731201861605, 143.96435643806564, 36.18362060452323, 104.77473306140998]","[42.643684919911514, 37.10108855588098, 45.74174769994689, 53.16250240399219, 39.29395126781616, 58.36664380352517, 37.54233602752354, 4.155544600014804, 69.746352279026, 38.40515023397752, 56.42559513334607, 62.852615897981984, 89.26475949606878, 41.97830114966101, 10.079246159549177, 39.80373165081789, 22.60791056230864, 18.754978858651903, 55.03592996653759, 28.888599158013776, 37.49121196923484, 42.29345849074261, 45.25708206626947, 71.76835157338006, 65.51745490652382, 33.08364481800671, 26.59130237174012, 52.263680238577834, 24.556489359294265, 43.71815802796098]"
