Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,536.0518001029003,100.0,"[536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 536.0518001029003, 533.0246127779615, 525.2247163034558, 521.6381242102502, 519.5407561892681, 519.2973351762274, 509.66267431101056, 506.9044466547241, 491.1268679640437, 486.1231982389077, 481.94338393099025, 478.86411676030565, 471.59655988245663, 465.4643170856698, 465.41113966370506, 461.1028493525264, 88.98784033361574, 47.27989037554998, 508.3610180498993, 87.73237436682571, 65.50743686852879, 400.9129601661087]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.64279413750944, 98.72021507920252, 98.29490815576114, 98.04587610952407, 98.01695793846022, 96.86974970376241, 96.54036882061096, 98.17258469490102, 97.54204733383982, 93.5392856042781, 93.16642919776733, 92.28402818385408, 94.92191453498026, 91.53030099847703, 91.00380198668606, 35.290022361968184, 25.108816218305073, 96.71436281803405, 35.01774757184375, 29.894510752007854, 83.50516405914252]"
2,578.238048931791,100.0,"[457.7958645397095, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 438.27263612094225, 531.7099126129697, 0.36506962805866994, 418.6624712906579, 3.2355995274907947, 578.238048931791, 578.238048931791]","[86.46444475295021, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 84.1878314308395, 94.86339237775096, 2.0077550258036148, 81.87277739304923, 6.037344983074345, 100.0, 100.0]"
3,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 90.07824153565566, 309.99586683003633, 197.2874262327464, 2.787608756804153, 262.7327723787621, 330.5942149444819]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 35.719348020353394, 71.96318986500962, 55.31031744828476, 5.846523625295042, 65.27589768536671, 74.77634610158604]"
4,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 11.615126403197493, 465.4838716341836, 1.0211511080829077, 374.6825866327885, 271.45333784112785, 76.9405682554933]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 11.740644054919002, 88.65427882361745, 3.4103158163362624, 77.67731359894033, 64.1754623382395, 31.706727422684732]"
5,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 169.4229842148318, 199.19154831563847, 251.12905360628906, 458.02851097415027, 353.25858102035295, 95.40887037660885]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 48.65208609523789, 53.31998949667335, 60.90594274297169, 87.12563797059607, 74.44018009980047, 35.40203847656418]"
6,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 310.96084226175344, 258.68786530389303, 277.0954607745555, 142.68597389583505, 13.72540640067531, 84.99770207669201]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 72.89056882798037, 65.38692399168544, 68.07984967318856, 46.5283331298832, 13.336637642948457, 34.95556057739287]"
7,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 20.86819074140517, 203.25430589293583, 39.591174892922524, 244.35097924020906, 438.66016612113754, 1.5208883178463999]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 17.41493673422361, 60.04971877186212, 24.394554456400186, 66.85080685116802, 95.2537886207653, 4.555348432150163]"
8,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 437.9167399116884, 188.4099123078707, 37.358878026518155, 153.83471605002245, 184.3353178136021, 46.477637460784024]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.13575617973872, 59.68419109489176, 24.488506814165532, 53.13614506385639, 58.93577342757831, 27.51239836862315]"
9,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 476.6133301690281, 0.40969636756259675, 215.42316976912366, 0.13312156083842974, 0.5797985507346644, 314.9645345520064]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.79963297653735, 2.3409680943454747, 61.78997416487775, 1.331053442003216, 2.7879580813267135, 77.32715317130763]"
10,578.238048931791,100.0,"[578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 578.238048931791, 432.37715241947916, 5.6220344595206075, 497.5796558408676, 342.63593359355804, 63.41515993840882, 9.831147829547875]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 90.96388600214222, 8.586439088477949, 99.31636926613041, 78.90240377329383, 30.400321463108646, 11.43428157552211]"
