Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,466.35004940970293,95.03482434272054,"[466.35004940970293, 173.67984759799748, 372.5232847822384, 431.94436140719546, 325.0129888963093, 7.48687524479022, 174.48068157653222, 229.59778864351492, 23.281864733778185, 442.4976262556132, 367.2572065633336, 65.78497825073354, 183.93958874159566, 390.4682282083657, 455.41012337517236, 182.84279889525453, 282.2513001778817, 412.0721957287101, 322.4465929930954, 442.2361862942207, 386.958031366746, 380.0835795068282, 429.33667041949053, 407.41117810346196, 181.27889535280931, 144.8961909352204, 323.5562441197416, 280.7012956715966, 400.6058554468158, 343.1963270845165]","[95.03482434272054, 54.481167013431545, 85.44339058351666, 93.62466527843445, 78.64454070707089, 10.18625342901105, 54.624418009163776, 63.99932046799367, 18.323045519874583, 95.04657240350458, 84.70225872310785, 31.81163804490852, 54.62735802673979, 87.94797530441262, 93.6364878472571, 54.44119915362733, 70.04979385600838, 88.01044008518352, 75.82921953235122, 95.01144896833877, 84.67920267785045, 86.50245002961985, 90.26913364397247, 90.28481452985524, 55.83120900407326, 49.160978399078395, 78.4317739211822, 69.82201552224235, 86.4964917901856, 78.72706179373577]"
2,485.30682108531465,98.78691508347531,"[466.35004940970293, 445.52421452397965, 372.5232847822384, 431.94436140719546, 325.0129888963093, 335.75753818986067, 105.33187567919373, 37.825643570399386, 454.55954865980135, 442.4976262556132, 367.2572065633336, 453.90652422459505, 456.21934922463157, 390.4682282083657, 455.41012337517236, 35.86185084837757, 391.9390350620641, 412.0721957287101, 322.4465929930954, 445.591133996788, 386.958031366746, 456.14141428167153, 429.33667041949053, 407.41117810346196, 384.2496957776194, 69.96784314465297, 456.47514661172096, 485.30682108531465, 419.9894140345336, 343.1963270845165]","[95.03482434272054, 93.62920471388215, 85.44339058351666, 93.62466527843445, 78.64454070707089, 78.72272308629596, 40.44944696806356, 23.27373196263046, 94.81015074749835, 95.04657240350458, 84.70225872310785, 94.72499459848987, 95.02645769537365, 87.94797530441262, 93.6364878472571, 22.626277843856002, 86.4938527870688, 88.01044008518352, 75.82921953235122, 93.637973054179, 84.67920267785045, 95.01630547086383, 90.26913364397247, 90.28481452985524, 85.44946047471738, 32.34565076695905, 95.05977624122431, 98.78691508347531, 90.25852693942886, 78.72706179373577]"
3,485.30682108531465,98.78691508347531,"[466.35004940970293, 445.52421452397965, 58.2561470692244, 431.94436140719546, 17.399966507528255, 162.47091707070464, 442.76728531094693, 414.61987149852183, 454.55954865980135, 442.4976262556132, 159.4167557179506, 453.90652422459505, 456.21934922463157, 416.04676412734034, 455.41012337517236, 74.08162831963668, 406.3266653329811, 412.0721957287101, 445.6263232940913, 445.591133996788, 49.36192906047799, 456.14141428167153, 429.33667041949053, 414.1173411358128, 416.2999233902769, 406.40235078688505, 456.47514661172096, 485.30682108531465, 419.9894140345336, 416.2869568986276]","[95.03482434272054, 93.62920471388215, 30.790302791030367, 93.62466527843445, 16.249813636566046, 54.3074582734846, 98.80297662480643, 94.81181330148493, 94.81015074749835, 95.04657240350458, 53.72309468481252, 94.72499459848987, 95.02645769537365, 95.01568967848259, 93.6364878472571, 35.07480927423274, 93.62340694683897, 88.01044008518352, 99.2049251870451, 93.637973054179, 28.16630945000469, 95.01630547086383, 90.26913364397247, 94.73996993099377, 95.05184343370166, 93.63427968616634, 95.05977624122431, 98.78691508347531, 90.25852693942886, 95.04999181626974]"
4,485.30682108531465,98.78691508347531,"[476.04506814100836, 445.52421452397965, 425.86188205367665, 431.94436140719546, 472.99654645870703, 444.7295263460662, 442.76728531094693, 386.33957067090995, 454.55954865980135, 442.4976262556132, 225.3067920820689, 453.90652422459505, 456.21934922463157, 434.3160801907614, 455.41012337517236, 444.64054965520904, 116.91787255488504, 473.0818571746051, 445.6263232940913, 445.591133996788, 181.87910324058035, 456.14141428167153, 429.33667041949053, 442.44021002570815, 0.019312072548422116, 444.7714237977308, 456.47514661172096, 485.30682108531465, 419.9894140345336, 21.75913744907166]","[99.20434723291429, 93.62920471388215, 92.5173803575982, 93.62466527843445, 98.80314907464566, 95.0529919128072, 98.80297662480643, 87.11043379335223, 94.81015074749835, 95.04657240350458, 63.1180290259974, 94.72499459848987, 95.02645769537365, 93.65692795528054, 93.6364878472571, 95.04109783596996, 43.47780920832414, 98.81438458229661, 99.2049251870451, 93.637973054179, 55.7795275294591, 95.01630547086383, 90.26913364397247, 94.74677777147711, 0.5038376918823917, 95.0585924074592, 95.05977624122431, 98.78691508347531, 90.25852693942886, 17.64095831388922]"
5,485.30682108531465,98.78691508347531,"[476.04506814100836, 445.52421452397965, 436.1820074498408, 431.94436140719546, 472.99654645870703, 444.7295263460662, 442.76728531094693, 156.8143621790918, 454.55954865980135, 442.4976262556132, 15.721008447518003, 453.90652422459505, 456.21934922463157, 434.3160801907614, 455.41012337517236, 444.64054965520904, 436.0258631370237, 473.0818571746051, 445.6263232940913, 445.591133996788, 234.95728862809005, 456.14141428167153, 108.80741359521178, 442.44021002570815, 95.59002455767533, 444.7714237977308, 456.47514661172096, 485.30682108531465, 176.518989931876, 2.121462463676701]","[99.20434723291429, 93.62920471388215, 98.792743728827, 93.62466527843445, 98.80314907464566, 95.0529919128072, 98.80297662480643, 53.67296595643876, 94.81015074749835, 95.04657240350458, 15.533728133596181, 94.72499459848987, 95.02645769537365, 93.65692795528054, 93.6364878472571, 95.04109783596996, 98.77044512711213, 98.81438458229661, 99.2049251870451, 93.637973054179, 67.82253730171544, 95.01630547086383, 43.69525460607389, 94.74677777147711, 40.668216233943234, 95.0585924074592, 95.05977624122431, 98.78691508347531, 57.43349335853226, 5.568312319472035]"
6,485.30682108531465,98.78691508347531,"[476.04506814100836, 474.76168406535044, 0.7211280626678876, 403.33172517882696, 472.99654645870703, 444.7295263460662, 442.76728531094693, 3.5273576407461618, 454.55954865980135, 442.4976262556132, 443.2456910284421, 453.90652422459505, 474.63271885073476, 398.9700553648553, 455.41012337517236, 444.64054965520904, 249.9108893111761, 473.0818571746051, 445.6263232940913, 445.591133996788, 433.0535469806191, 456.14141428167153, 471.7581370076576, 443.3787670006174, 471.8143037377347, 471.40702273955486, 456.47514661172096, 485.30682108531465, 2.1998158017018645, 471.7200784615585]","[99.20434723291429, 99.20990782537547, 3.1031414812435765, 89.60619958720854, 98.80314907464566, 95.0529919128072, 98.80297662480643, 6.928492147233545, 94.81015074749835, 95.04657240350458, 95.02008363938359, 94.72499459848987, 99.19290071930429, 89.00645645453493, 93.6364878472571, 95.04109783596996, 67.17256068086489, 98.81438458229661, 99.2049251870451, 93.637973054179, 93.64975772282784, 95.01630547086383, 98.8135366925112, 95.03792374971634, 98.82095432487567, 98.76716223412392, 95.05977624122431, 98.78691508347531, 5.451551442583902, 98.80851039048727]"
7,485.30682108531465,98.78691508347531,"[476.04506814100836, 474.76168406535044, 453.43787511180847, 450.88552650870776, 472.99654645870703, 173.9911196515448, 126.65301817748063, 127.79860955259306, 454.55954865980135, 450.5288484607651, 453.55001924167414, 453.90652422459505, 474.63271885073476, 453.5473938626754, 455.41012337517236, 344.3646795012946, 394.905461979181, 473.0818571746051, 445.6263232940913, 450.4893565856641, 6.515786964263403, 456.14141428167153, 471.7581370076576, 64.34196361866081, 471.8143037377347, 471.40702273955486, 456.47514661172096, 485.30682108531465, 451.4207292146661, 471.7200784615585]","[99.20434723291429, 99.20990782537547, 99.18578387981958, 98.8332493760178, 98.80314907464566, 55.90804815336895, 46.706660705279546, 46.94299026274711, 94.81015074749835, 98.78394706735867, 99.20126269490217, 94.72499459848987, 99.19290071930429, 99.2009003343893, 93.6364878472571, 83.6266961603912, 90.97295235184613, 98.81438458229661, 99.2049251870451, 98.77848768341109, 9.699733859882077, 95.01630547086383, 98.8135366925112, 32.17952791459528, 98.82095432487567, 98.76716223412392, 95.05977624122431, 98.78691508347531, 98.90721126059947, 98.80851039048727]"
8,485.30682108531465,98.78691508347531,"[476.04506814100836, 474.76168406535044, 453.43787511180847, 450.88552650870776, 472.99654645870703, 0.5933692460417552, 218.30445693975958, 104.77060577689966, 454.55954865980135, 450.5288484607651, 453.55001924167414, 453.90652422459505, 474.63271885073476, 453.5473938626754, 455.41012337517236, 138.7558084917001, 65.15108289352932, 473.0818571746051, 445.6263232940913, 450.4893565856641, 365.3096417616616, 456.14141428167153, 471.7581370076576, 46.92787542228017, 471.8143037377347, 471.40702273955486, 456.47514661172096, 485.30682108531465, 451.4207292146661, 471.7200784615585]","[99.20434723291429, 99.20990782537547, 99.18578387981958, 98.8332493760178, 98.80314907464566, 3.010945651544983, 67.16952868501043, 44.16619913737981, 94.81015074749835, 98.78394706735867, 99.20126269490217, 94.72499459848987, 99.19290071930429, 99.2009003343893, 93.6364878472571, 51.718106444898226, 34.01119632689604, 98.81438458229661, 99.2049251870451, 98.77848768341109, 91.63373735315804, 95.01630547086383, 98.8135366925112, 28.490086927413593, 98.82095432487567, 98.76716223412392, 95.05977624122431, 98.78691508347531, 98.90721126059947, 98.80851039048727]"
9,485.30682108531465,98.78691508347531,"[476.04506814100836, 474.76168406535044, 453.43787511180847, 450.88552650870776, 472.99654645870703, 373.07654454642267, 259.5389868659821, 7.832038699262105, 454.55954865980135, 450.5288484607651, 453.55001924167414, 453.90652422459505, 474.63271885073476, 453.5473938626754, 455.41012337517236, 327.51491814406035, 263.1796483553449, 473.0818571746051, 445.6263232940913, 450.4893565856641, 240.6463934839795, 456.14141428167153, 471.7581370076576, 70.47134135129409, 471.8143037377347, 471.40702273955486, 456.47514661172096, 485.30682108531465, 451.4207292146661, 471.7200784615585]","[99.20434723291429, 99.20990782537547, 99.18578387981958, 98.8332493760178, 98.80314907464566, 93.78988966483107, 75.15141503101005, 11.25565679560976, 94.81015074749835, 98.78394706735867, 99.20126269490217, 94.72499459848987, 99.19290071930429, 99.2009003343893, 93.6364878472571, 86.52810413065576, 75.78101484393507, 98.81438458229661, 99.2049251870451, 98.77848768341109, 71.84007402232301, 95.01630547086383, 98.8135366925112, 35.814548802453864, 98.82095432487567, 98.76716223412392, 95.05977624122431, 98.78691508347531, 98.90721126059947, 98.80851039048727]"
10,485.30682108531465,98.78691508347531,"[476.04506814100836, 474.76168406535044, 453.43787511180847, 450.88552650870776, 472.99654645870703, 15.418480093249343, 243.48287647511057, 322.9843687972674, 454.55954865980135, 450.5288484607651, 453.55001924167414, 453.90652422459505, 474.63271885073476, 453.5473938626754, 455.41012337517236, 298.7149976190239, 371.7891893627685, 473.0818571746051, 445.6263232940913, 450.4893565856641, 41.02454570024605, 456.14141428167153, 471.7581370076576, 53.88685892561818, 471.8143037377347, 471.40702273955486, 456.47514661172096, 485.30682108531465, 451.4207292146661, 471.7200784615585]","[99.20434723291429, 99.20990782537547, 99.18578387981958, 98.8332493760178, 98.80314907464566, 15.770879645288927, 71.28334487883711, 84.49845844156744, 94.81015074749835, 98.78394706735867, 99.20126269490217, 94.72499459848987, 99.19290071930429, 99.2009003343893, 93.6364878472571, 80.57631072342632, 92.15298996721901, 98.81438458229661, 99.2049251870451, 98.77848768341109, 26.392752445831768, 95.01630547086383, 98.8135366925112, 30.54945351952716, 98.82095432487567, 98.76716223412392, 95.05977624122431, 98.78691508347531, 98.90721126059947, 98.80851039048727]"
