Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,499.47366084375443,99.22102977308197,"[57.931131543357765, 375.84916459315593, 4.0039829314247335, 481.00555735308814, 274.9215056213254, 216.41863265022664, 352.9316489841002, 439.78522379610865, 142.94495464765305, 262.8718619416398, 456.30644958059764, 30.760246097642202, 465.61480018281054, 17.920026501641843, 456.30644958059764, 409.99764255194947, 122.02092143672148, 295.7898429062717, 346.6398468803325, 134.147118582763, 250.2459777509182, 478.11595691195106, 124.25665855296734, 383.8430246095208, 499.47366084375443, 4.464739254905149, 456.30644958059764, 205.9687290351149, 240.7067034748696, 52.93613208722944]","[28.873986314322398, 83.18700997674401, 7.202346839108198, 96.89554007799256, 68.9691346243471, 59.97568786221793, 80.06895734456515, 91.62463355128133, 50.18445894598875, 67.17248235115098, 100.0, 20.628224568360753, 94.94110127716591, 15.552173513343725, 100.0, 93.503779458609, 43.3557813594862, 76.58279752604408, 79.2029493054821, 48.41896693668728, 69.32555455021273, 96.52976858864619, 43.79584439519847, 89.75487870433604, 99.22102977308197, 7.613187593293658, 100.0, 61.855817808157454, 63.79622174009699, 27.51168236424084]"
2,499.47366084375443,99.22102977308197,"[235.25484391066522, 445.51830906942575, 303.77544742189167, 481.00555735308814, 274.9215056213254, 216.41863265022664, 352.9316489841002, 439.78522379610865, 208.85901698955414, 262.8718619416398, 456.30644958059764, 445.51830906942575, 465.61480018281054, 122.14500568908477, 456.30644958059764, 445.51830906942575, 445.51830906942575, 295.7898429062717, 445.51830906942575, 253.83447361687254, 250.2459777509182, 478.11595691195106, 298.8926667367742, 383.8430246095208, 499.47366084375443, 4.464739254905149, 456.30644958059764, 437.9476165485657, 240.7067034748696, 445.51830906942575]","[67.79565853268541, 100.0, 78.94992811367763, 96.89554007799256, 68.9691346243471, 59.97568786221793, 80.06895734456515, 91.62463355128133, 63.232772552689944, 67.17248235115098, 100.0, 100.0, 94.94110127716591, 46.558325830767195, 100.0, 100.0, 100.0, 76.58279752604408, 100.0, 70.9088427531252, 69.32555455021273, 96.52976858864619, 78.18212151579554, 89.75487870433604, 99.22102977308197, 7.613187593293658, 100.0, 98.92369136605713, 63.79622174009699, 100.0]"
3,499.47366084375443,99.22102977308197,"[238.8223354781337, 445.51830906942575, 303.77544742189167, 481.00555735308814, 274.9215056213254, 452.2743136827104, 352.9316489841002, 439.78522379610865, 452.2743136827104, 289.29011464328204, 456.30644958059764, 452.2743136827104, 465.61480018281054, 284.2431542860125, 456.30644958059764, 452.2743136827104, 445.51830906942575, 295.7898429062717, 445.51830906942575, 257.6837135692064, 250.2459777509182, 478.11595691195106, 303.42518581453874, 390.3391699149456, 499.47366084375443, 274.48550582817876, 456.30644958059764, 446.7089070385063, 240.7067034748696, 445.51830906942575]","[67.79565853268541, 100.0, 78.94992811367763, 96.89554007799256, 68.9691346243471, 100.0, 80.06895734456515, 91.62463355128133, 100.0, 75.97210778861523, 100.0, 100.0, 94.94110127716591, 75.17530769947768, 100.0, 100.0, 100.0, 76.58279752604408, 100.0, 70.9088427531252, 69.32555455021273, 96.52976858864619, 78.18212151579554, 91.19228866828435, 99.22102977308197, 73.62261428049273, 100.0, 99.22102977308197, 63.79622174009699, 100.0]"
4,499.47366084375443,99.22102977308197,"[460.81255846594803, 445.51830906942575, 303.77544742189167, 481.00555735308814, 412.5973395984428, 460.81255846594803, 444.0071877473378, 439.78522379610865, 460.81255846594803, 460.81255846594803, 456.30644958059764, 452.2743136827104, 465.61480018281054, 455.14208548742243, 456.30644958059764, 452.2743136827104, 460.81255846594803, 295.7898429062717, 445.51830906942575, 262.54838652662556, 302.7672106886801, 478.11595691195106, 460.81255846594803, 390.3391699149456, 499.47366084375443, 460.81255846594803, 456.30644958059764, 455.14208548742243, 388.36970191248747, 445.51830906942575]","[100.0, 100.0, 78.94992811367763, 96.89554007799256, 93.29970684102507, 100.0, 97.6847061016499, 91.62463355128133, 100.0, 100.0, 100.0, 100.0, 94.94110127716591, 99.22102977308197, 100.0, 100.0, 100.0, 76.58279752604408, 100.0, 70.9088427531252, 77.20597370757851, 96.52976858864619, 100.0, 91.19228866828435, 99.22102977308197, 100.0, 100.0, 99.22102977308197, 89.86023564991703, 100.0]"
5,499.47366084375443,99.22102977308197,"[460.81255846594803, 449.6864782103246, 303.77544742189167, 481.00555735308814, 442.9298385380824, 460.81255846594803, 449.6864782103246, 439.78522379610865, 460.81255846594803, 460.81255846594803, 456.30644958059764, 452.2743136827104, 465.61480018281054, 455.14208548742243, 456.30644958059764, 452.2743136827104, 460.81255846594803, 295.7898429062717, 449.6864782103246, 378.9927168608741, 432.1005972683592, 478.11595691195106, 460.81255846594803, 390.3391699149456, 499.47366084375443, 460.81255846594803, 456.30644958059764, 455.14208548742243, 449.6864782103246, 445.51830906942575]","[100.0, 100.0, 78.94992811367763, 96.89554007799256, 99.04854902554118, 100.0, 100.0, 91.62463355128133, 100.0, 100.0, 100.0, 100.0, 94.94110127716591, 99.22102977308197, 100.0, 100.0, 100.0, 76.58279752604408, 100.0, 89.86023564991703, 97.51643206239405, 96.52976858864619, 100.0, 91.19228866828435, 99.22102977308197, 100.0, 100.0, 99.22102977308197, 100.0, 100.0]"
6,499.47366084375443,99.22102977308197,"[465.8908550129194, 449.6864782103246, 423.61250499187815, 484.851951479813, 442.9298385380824, 484.851951479813, 450.1584756445051, 439.78522379610865, 484.851951479813, 460.81255846594803, 484.851951479813, 484.851951479813, 465.61480018281054, 484.851951479813, 456.30644958059764, 461.1788050120442, 484.851951479813, 484.7153531319253, 449.6864782103246, 431.5403713603355, 484.851951479813, 484.851951479813, 460.81255846594803, 454.0469758479526, 499.47366084375443, 484.851951479813, 483.7938446875739, 484.851951479813, 484.851951479813, 484.851951479813]","[97.51643206239405, 100.0, 91.88818851993362, 100.0, 99.04854902554118, 100.0, 95.43739887223343, 91.62463355128133, 100.0, 100.0, 100.0, 100.0, 94.94110127716591, 100.0, 100.0, 96.89554007799256, 100.0, 99.98219055264903, 100.0, 92.95383093462748, 100.0, 100.0, 100.0, 95.95288102173274, 99.22102977308197, 100.0, 99.86201540196737, 100.0, 100.0, 100.0]"
7,499.47366084375443,99.22102977308197,"[465.8908550129194, 485.6984968979892, 485.6984968979892, 485.6984968979892, 460.97261344647046, 485.6984968979892, 485.5616600511017, 485.6984968979892, 485.6984968979892, 460.81255846594803, 485.6984968979892, 484.851951479813, 478.2916853097426, 484.851951479813, 485.6984968979892, 485.5616600511017, 485.6984968979892, 485.6984968979892, 485.6984968979892, 485.6984968979892, 485.6984968979892, 485.6984968979892, 460.81255846594803, 454.0469758479526, 499.47366084375443, 484.851951479813, 485.6984968979892, 485.6984968979892, 485.6984968979892, 485.6984968979892]","[97.51643206239405, 100.0, 100.0, 100.0, 96.7623048173862, 100.0, 99.98219055264903, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0343014676604, 100.0, 100.0, 99.98219055264903, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 95.95288102173274, 99.22102977308197, 100.0, 100.0, 100.0, 100.0, 100.0]"
8,499.47366084375443,99.22102977308197,"[499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 485.6984968979892, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.2904638556061, 499.43116963692296, 484.851951479813, 499.43116963692296, 499.43116963692296, 499.43116963692296, 485.5616600511017, 499.43116963692296, 499.3186042741947, 499.43116963692296, 485.6984968979892, 485.6984968979892, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.47366084375443, 484.851951479813, 493.28548002835964, 499.43116963692296, 485.6984968979892, 499.43116963692296]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.98219055264903, 100.0, 100.0, 100.0, 100.0, 100.0, 99.98219055264903, 100.0, 99.98575244211922, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.22102977308197, 100.0, 99.22102977308197, 100.0, 100.0, 100.0]"
9,499.47366084375443,99.22102977308197,"[499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 498.0200357621854, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.2904638556061, 499.43116963692296, 498.13230837828996, 499.43116963692296, 499.43116963692296, 499.43116963692296, 492.002601749215, 499.43116963692296, 499.3186042741947, 499.43116963692296, 498.13230837828996, 498.13230837828996, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.47366084375443, 498.13230837828996, 498.0200357621854, 499.43116963692296, 498.13230837828996, 499.43116963692296]","[100.0, 100.0, 100.0, 100.0, 100.0, 99.98575244211922, 100.0, 100.0, 100.0, 99.98219055264903, 100.0, 100.0, 100.0, 100.0, 100.0, 99.22102977308197, 100.0, 99.98575244211922, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.22102977308197, 100.0, 99.98575244211922, 100.0, 100.0, 100.0]"
10,499.47366084375443,99.22102977308197,"[499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.43116963692296, 498.0200357621854, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.2904638556061, 499.43116963692296, 498.13230837828996, 499.43116963692296, 499.43116963692296, 499.43116963692296, 492.002601749215, 499.43116963692296, 499.3186042741947, 499.43116963692296, 498.13230837828996, 498.13230837828996, 499.43116963692296, 499.43116963692296, 499.43116963692296, 499.47366084375443, 498.13230837828996, 498.0200357621854, 499.43116963692296, 498.13230837828996, 499.43116963692296]","[100.0, 100.0, 100.0, 100.0, 100.0, 99.98575244211922, 100.0, 100.0, 100.0, 99.98219055264903, 100.0, 100.0, 100.0, 100.0, 100.0, 99.22102977308197, 100.0, 99.98575244211922, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.22102977308197, 100.0, 99.98575244211922, 100.0, 100.0, 100.0]"
