Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,482.92815380478845,100.0,"[154.2161216316865, 133.55147160443153, 145.10539658666852, 248.1597793598224, 208.94513734116782, 281.52888900903133, 482.92815380478845, 90.69424964715904, 482.92815380478845, 349.50816557264, 396.6846846602352, 482.92815380478845, 278.13672121022637, 154.83762358669594, 482.92815380478845, 309.8683538758329, 212.76936141964833, 239.25574351544876, 215.18675673744266, 482.92815380478845, 321.0071825648213, 57.67032542894951, 387.76116570823365, 424.2783835068299, 482.92815380478845, 482.92815380478845, 462.05382750521545, 401.88691130667837, 199.57773160989595, 482.92815380478845]","[50.73193103246044, 46.78448717020395, 49.01747476452828, 66.719247605391, 60.35584670647401, 71.88000667043464, 100.0, 37.75289101952447, 100.0, 81.85186955347092, 88.44599890353932, 100.0, 71.36452087519511, 50.84750659364467, 100.0, 76.11523262717513, 60.99300209078257, 65.30542537865857, 61.3937628649716, 100.0, 77.74773701534716, 29.525965408695033, 87.21576141976975, 92.20540406886896, 100.0, 100.0, 97.25355958616855, 89.1598242996329, 58.77806277315675, 100.0]"
2,483.34033258845943,100.0,"[483.34033258845943, 483.34033258845943, 341.1627309698183, 483.34033258845943, 483.34033258845943, 428.6855619683734, 455.11485809602596, 483.34033258845943, 470.50848067167226, 458.23353421510103, 415.1330946152759, 479.9337023223485, 483.34033258845943, 483.34033258845943, 385.17398553048326, 483.34033258845943, 483.34033258845943, 483.34033258845943, 483.34033258845943, 483.34033258845943, 354.2673472923182, 483.34033258845943, 455.65422480274316, 412.6029165324529, 413.22341821462066, 392.7964496805761, 433.039858467825, 404.95479486932624, 375.27245814093817, 472.8824774020245]","[100.0, 100.0, 80.61872266307248, 100.0, 100.0, 92.75069177645044, 96.28256728546519, 100.0, 98.31655728903979, 96.69596307519107, 90.91853807935856, 99.55410840805197, 100.0, 100.0, 86.81216823557983, 100.0, 100.0, 100.0, 100.0, 100.0, 82.48490386354374, 100.0, 96.35411191120218, 90.57480142261277, 90.65914963984426, 87.86469465191885, 93.33621878337931, 89.53243358261682, 85.43654904827658, 98.62881411320225]"
3,483.34033258845943,100.0,"[483.171533893987, 483.171533893987, 483.171533893987, 483.171533893987, 474.53328496730785, 483.171533893987, 483.171533893987, 483.171533893987, 483.171533893987, 475.2309033757244, 466.3772216327677, 466.44639520197046, 469.87036464819926, 470.53129942589055, 483.171533893987, 472.01760375125946, 476.09605345667626, 482.26187627112085, 461.55568516558805, 481.40624109901285, 483.171533893987, 470.5498638720067, 472.15240814096313, 483.171533893987, 482.11841911575624, 483.171533893987, 436.4959679861443, 450.49392923672923, 434.9083868587561, 475.15915519958975]","[100.0, 100.0, 100.0, 100.0, 98.86750370159434, 100.0, 100.0, 100.0, 100.0, 98.95914161826548, 97.79375842259932, 97.80288377433067, 98.25417113845354, 98.34119382635184, 100.0, 98.53678399448266, 99.07274224126, 99.88096581194159, 97.15690253025706, 99.76895306184501, 100.0, 98.34363771551692, 98.5545163593498, 100.0, 99.8621888086881, 100.0, 93.82035399699701, 95.68970370561541, 93.60741105256781, 98.94971836693402]"
4,483.34033258845943,100.0,"[444.291231611576, 439.0522482445445, 458.483478042164, 451.8675236947962, 458.483478042164, 458.483478042164, 457.1132689916578, 447.9283635930667, 457.5720479159595, 458.483478042164, 458.22960552560824, 442.02522456092987, 458.483478042164, 458.483478042164, 458.483478042164, 453.16282661293735, 457.55759280408404, 455.7405918620806, 458.483478042164, 435.59546450163083, 446.9320140302849, 455.10604275220857, 458.483478042164, 458.483478042164, 458.483478042164, 458.483478042164, 443.66433853703313, 458.483478042164, 458.483478042164, 443.87645600752586]","[98.03609796138628, 97.30739892534847, 100.0, 99.08629982448542, 100.0, 100.0, 99.81102069910675, 98.54078983038845, 99.87431017927584, 100.0, 99.96499582200168, 97.72116840316718, 100.0, 100.0, 100.0, 99.2654335027588, 99.87231629296627, 99.6215685799507, 100.0, 96.82544865360535, 98.4026323481699, 99.53394530769654, 100.0, 100.0, 100.0, 100.0, 97.94901074912579, 100.0, 100.0, 97.97848112191168]"
5,483.34033258845943,100.0,"[439.28801871356126, 439.28801871356126, 416.8580137458518, 424.7970072722964, 439.28801871356126, 437.587462767484, 424.93278277891875, 435.0526673185475, 406.63397611574624, 439.28801871356126, 439.28801871356126, 437.4701552171464, 437.83205012194793, 439.28801871356126, 439.28801871356126, 439.28801871356126, 439.28801871356126, 420.4469343969538, 435.83632233571973, 439.28801871356126, 424.43546580397555, 437.9617375222155, 434.8506797798524, 433.78814460191666, 439.28801871356126, 435.5673572551946, 412.7732834530587, 438.7566237839909, 439.28801871356126, 439.28801871356126]","[100.0, 100.0, 96.75257539891432, 97.90661853225177, 100.0, 99.75518534451163, 97.92631028018636, 99.38985975389042, 95.25851051241088, 100.0, 100.0, 99.7382894040098, 99.79041014427061, 100.0, 100.0, 100.0, 100.0, 97.27492170628881, 99.5028564793187, 100.0, 97.85417625780813, 99.80908550677273, 99.36072706075316, 99.2074251837182, 100.0, 99.4640792496609, 96.156744250125, 99.92352330851983, 100.0, 100.0]"
6,483.34033258845943,100.0,"[462.3877485763381, 462.3877485763381, 462.3877485763381, 462.3877485763381, 462.3877485763381, 451.79157762953344, 462.3877485763381, 454.0032825457047, 436.7206011061286, 462.3877485763381, 445.5237870381271, 447.9327990995563, 448.86937585039453, 462.3877485763381, 434.25977727168527, 448.55276525075624, 459.3678551505105, 462.3877485763381, 443.1059557482371, 450.1262825398377, 462.3877485763381, 458.6709008855251, 462.3877485763381, 447.14209308743744, 456.9803683394833, 462.3877485763381, 462.3877485763381, 459.8406545434687, 462.3877485763381, 462.3877485763381]","[100.0, 100.0, 100.0, 100.0, 100.0, 98.54750131647631, 100.0, 98.85133165854049, 96.46759882994365, 100.0, 97.6845481642562, 98.01656164223657, 98.14552714933762, 100.0, 96.12636072270844, 98.10193740793152, 99.58684187536024, 100.0, 97.35088791945985, 98.31850133474843, 100.0, 99.49140015509789, 100.0, 97.90763242514775, 99.25975552172578, 100.0, 100.0, 99.65156830507178, 100.0, 100.0]"
7,486.2250881525801,100.0,"[455.5755874058543, 486.2250881525801, 486.2250881525801, 486.2250881525801, 478.2961061629311, 480.6823644159112, 486.2250881525801, 484.4424642362568, 486.2250881525801, 474.50084836831945, 472.5724162769192, 468.5798437963253, 486.2250881525801, 460.1290078153481, 469.7287390465695, 468.67975315773816, 460.4599864724112, 486.2250881525801, 479.05054640128054, 486.2250881525801, 467.2207867599301, 486.2250881525801, 479.54052815527393, 486.2250881525801, 486.2250881525801, 486.2250881525801, 483.7298169507603, 484.50615457718936, 466.78670075074547, 471.46297552102664]","[95.98493043788052, 100.0, 100.0, 100.0, 98.96721121277592, 99.27845179140625, 100.0, 99.76814961679372, 100.0, 98.47143965334425, 98.21917109691334, 97.69610214038217, 100.0, 96.5854188679615, 97.84672787250894, 97.70920423684342, 96.62901085957137, 100.0, 99.06565249786595, 100.0, 97.51780927811598, 100.0, 99.12956704368243, 100.0, 100.0, 100.0, 99.67540618210413, 99.77643668494852, 97.46083600229898, 98.07392855561896]"
8,486.2250881525801,100.0,"[481.03750666474906, 466.85035612356484, 481.03750666474906, 481.03750666474906, 481.03750666474906, 479.8960453161716, 481.03750666474906, 481.03750666474906, 462.1347691576931, 476.44908659319464, 469.78359206573674, 481.03750666474906, 453.875614848, 478.3928641785342, 481.03750666474906, 479.9926280649145, 481.03750666474906, 481.03750666474906, 481.03750666474906, 466.6969442592455, 481.03750666474906, 480.8279855773183, 474.35790835047334, 479.37195620688175, 481.03750666474906, 481.03750666474906, 481.03750666474906, 481.03750666474906, 481.03750666474906, 481.03750666474906]","[100.0, 98.12917979276044, 100.0, 100.0, 100.0, 99.84996168471316, 100.0, 100.0, 97.50438548873063, 99.39637313156902, 98.51706318164135, 100.0, 96.40638602233322, 99.65225053016758, 100.0, 99.86266012839621, 100.0, 100.0, 100.0, 98.10887712893582, 100.0, 99.97246591080462, 99.12081888171122, 99.78104545212742, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
9,525.1705993445985,100.0,"[500.6419269395898, 500.87213047790067, 523.8189159088438, 525.1705993445985, 517.8720276083175, 521.1597997565617, 525.1705993445985, 520.7362461370153, 516.0522428965252, 525.1705993445985, 525.1705993445985, 523.6303010573488, 480.86779092762646, 522.3217853460525, 525.1705993445985, 508.74536645412735, 517.6955660298537, 525.1705993445985, 525.1705993445985, 525.1705993445985, 521.6897382224507, 516.6927941654596, 514.901354366113, 525.1705993445985, 524.3919129484661, 524.2043593491592, 515.9115249271925, 505.85122286161914, 522.5922317992182, 523.5399376337843]","[97.03107324551516, 97.05909540022961, 99.83725611877365, 100.0, 99.1200762843186, 99.51681006198521, 100.0, 99.46573303490364, 98.90022969978999, 100.0, 100.0, 99.81453895383342, 94.6121481785734, 99.65688602039862, 100.0, 98.01564057792814, 99.09876607885364, 100.0, 100.0, 100.0, 99.58070254529589, 98.97763489909224, 98.76109766921277, 100.0, 99.906257390973, 99.88367380338298, 98.88322209438206, 97.6644357902411, 99.68947756763198, 99.80365471959439]"
10,525.1705993445985,100.0,"[506.5768933463473, 506.5768933463473, 506.5768933463473, 506.5768933463473, 506.5768933463473, 489.9014221687581, 506.5768933463473, 506.5768933463473, 498.594093175265, 483.09696649838855, 506.5768933463473, 501.91398203595037, 506.5768933463473, 498.65536956861695, 504.61198647906593, 495.8823352709565, 498.3656751039184, 506.02784839090646, 504.2948334202676, 504.8656676985106, 496.04936297054576, 493.5341573478125, 478.8284139752082, 506.5768933463473, 506.5768933463473, 497.87886929966874, 484.6696116309456, 506.5768933463473, 506.5768933463473, 506.5768933463473]","[100.0, 100.0, 100.0, 100.0, 100.0, 97.91104964903008, 100.0, 100.0, 99.00204013967678, 97.05382732390196, 100.0, 99.41752262250853, 100.0, 99.00971472400802, 99.75470266606283, 98.66218209189653, 98.97342987925515, 99.93148002281336, 99.71508869960489, 99.78638451017416, 98.6831279126652, 98.36753602864529, 96.51459742861199, 100.0, 100.0, 98.91244524141754, 97.25220402125888, 100.0, 100.0, 100.0]"
