Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,468.9363999845687,93.17915535021642,"[153.62321574303778, 296.2248020938602, 125.28690332614293, 80.49987122578689, 96.15555083707238, 189.61207088628285, 366.1279356211358, 336.5767998509865, 428.79082762243974, 374.59888298396163, 437.9633664388773, 34.45040594390945, 225.4018163693286, 291.8083291597146, 468.9363999845687, 301.2813905118964, 98.94080467298842, 5.831372819237561, 22.432344417762557, 0.8328550313164621, 93.84452542661916, 347.2626770191987, 26.749720495888685, 55.79414031848467, 63.352460893289326, 396.16518202712604, 348.6838514566128, 285.00421046492875, 325.18550682805164, 407.3886894810046]","[48.30113345949296, 70.51554922215885, 43.09845988035585, 33.803338355940085, 37.24473332592437, 54.417230065027, 80.04876554563474, 76.09172149802997, 88.1539742340186, 81.16579513013964, 89.31250682717578, 21.472729206242466, 60.098728601924954, 69.8914515790167, 93.17915535021642, 71.22654210603922, 37.832375193491536, 8.560656802407689, 17.146741073839895, 3.192530841538954, 36.75191829619051, 77.53391210716576, 18.799423759431555, 27.740255907753575, 29.69761014860277, 83.97805886112218, 77.72472493609281, 68.92409934719527, 74.53923522212958, 85.42475996281739]"
2,381.381532314866,81.32449178322832,"[157.4948598484592, 312.4689159364932, 93.52335500485448, 258.56951654126266, 238.8016584467453, 146.96931070588127, 324.91922161989237, 376.1262142290916, 56.25294075929685, 90.14098683042135, 306.0608960193467, 3.4074707900852723, 259.4794837382291, 257.33277348705764, 174.48667797344737, 250.1887329668076, 17.726256844715834, 124.27784084474506, 381.381532314866, 347.72615937348155, 326.37695564096015, 125.31411180804321, 51.394051253246936, 163.12660314735365, 317.13310451860826, 89.62337749408873, 380.1556826076607, 232.56482196209075, 107.01424356325346, 281.84060795376377]","[48.57817419523635, 72.15180296207635, 36.38880618885271, 64.53534606578928, 61.615264324874154, 46.72730925319551, 73.85048925107102, 80.64311883220999, 27.643366507598056, 35.66391691827493, 71.26941479265933, 6.462351271009202, 64.66794625415142, 64.35488169496881, 51.4718856549886, 63.30675977810154, 15.053717187596483, 42.55604371896947, 81.32449178322832, 76.91211439114272, 74.0480687471817, 42.75261509464354, 26.340481774882768, 49.54947749638669, 72.79055703841475, 35.55201653965492, 81.16579513013964, 60.67732779396292, 39.1804211517307, 67.88046560452975]"
3,370.1879751638468,80.91582115170242,"[112.45572259378571, 306.7725612645938, 138.46225027069121, 87.6867156822711, 56.71816853082957, 203.55367351920745, 327.9658683896521, 173.88023886160306, 97.39934571969093, 95.03363025855047, 166.38144202938412, 247.70502308521722, 152.23530962041878, 112.51443864002715, 100.7702625962427, 264.4469530902411, 293.90690275496854, 161.71332839363328, 168.68239013288246, 345.405398543434, 277.3813257400556, 278.3119868429918, 283.06059724275656, 370.1879751638468, 229.24328317443369, 228.374925074356, 105.79595312659477, 241.37059923513763, 23.76088290547331, 3.3350463989621995]","[40.74663513942077, 72.28427526338095, 45.74028950182959, 35.544993954543884, 28.08689742828895, 56.89174860311749, 75.22325588408111, 52.000001765069065, 37.64723978791524, 37.14331595988524, 50.71737588395606, 63.73274410152453, 48.238234088620914, 40.758387587143815, 38.356864575442835, 66.21739118413365, 70.46975784373198, 49.908218727810315, 51.113144423564975, 77.59907055925405, 68.10207063667488, 68.23657761101985, 68.92067141815271, 80.91582115170242, 60.92730177240014, 60.79351122751764, 39.39745979843616, 62.77831655237768, 17.73210346581322, 6.462351271009202]"
4,300.20964054112,75.22325588408111,"[168.14682215366028, 164.69633905535608, 242.25979536318033, 166.724607329242, 238.57295340512442, 246.94678418155436, 269.0331346425162, 291.0655411791087, 292.71469000618356, 157.69869808343697, 223.00134855715984, 254.7580391175111, 300.20964054112, 154.40655442609892, 246.3086710342203, 20.438098318245775, 196.7980206012332, 137.2325799297408, 82.36008023026596, 137.62368106419672, 208.4439290827932, 259.01908292057374, 141.24722785247155, 112.7677445198774, 259.10476772126174, 227.7016575629909, 119.32861880336705, 245.05972969122317, 289.9787787153, 167.61282880871016]","[53.64849779783061, 53.01909347639912, 66.24840838572823, 53.389638916380534, 65.65563750396898, 66.99777801570826, 70.46975784373198, 73.84538174981154, 74.09483870116863, 51.72782574010138, 63.118062784988126, 68.23657761101985, 75.22325588408111, 51.113144423564975, 66.89602659095688, 17.165395239306378, 58.70923853853877, 47.82456219080845, 36.04839672042304, 47.90109792952382, 60.69185069185156, 68.90722163247155, 48.606376941333025, 42.8576340820438, 68.92067141815271, 63.890022032255985, 44.22697559939124, 66.69662796018282, 73.6807591514489, 53.55139761699058]"
5,268.40483094689904,73.52914178639563,"[121.57427486385467, 243.7932238946458, 125.9401440759662, 218.8483973959452, 22.779348325189215, 162.8150563930407, 219.59920652330047, 207.37406757268573, 244.93644912047313, 127.46217507448722, 186.79200992167978, 230.84771110676124, 143.41343202163708, 131.19099629647047, 230.50937071614123, 231.07596019965612, 238.7041785565444, 268.40483094689904, 180.18088240691776, 198.85074236330465, 235.008354564707, 230.5835013734929, 221.4548367434188, 217.55669529466724, 191.33779915871955, 103.01771916222398, 245.55439953312683, 262.6494401866752, 225.04679216093248, 236.5848141503294]","[46.572351686772386, 69.44948578709551, 47.50298699611692, 65.17933094473068, 18.882090885532563, 54.93794363953251, 65.31008193764089, 63.16232772982275, 69.64174950988465, 47.82456219080845, 59.447922989374305, 67.25192963847371, 51.113144423564975, 48.606376941333025, 67.19397436138249, 67.29101163536559, 68.59014068864238, 73.52914178639563, 58.225629992041526, 61.639971874829804, 67.9624050537479, 67.20667475013302, 65.6326090423488, 64.95404095009, 60.27975828407587, 42.46526639653, 69.74555652480518, 72.5858597873833, 66.25443712833305, 68.23054886841503]"
6,221.03807079645506,68.72164627476516,"[201.72686351746373, 215.3260627591616, 196.59366088263147, 193.84981888361588, 205.15831367170884, 213.9198256202005, 220.86685018657755, 221.03807079645506, 161.43868252150702, 180.6071092532604, 27.69292817663246, 186.60652604938363, 150.27648927306433, 95.08421095433302, 206.67084137486682, 208.34681941640562, 132.36900539951588, 175.39073140785226, 156.23525325439994, 185.93348619243275, 30.6585609757545, 207.7168174729255, 203.75846379247625, 207.41049210581926, 209.72240883485577, 206.65043389531004, 198.33650223673047, 213.8227335189982, 220.42109334877253, 213.05857477463536]","[65.12876821312138, 67.66983675072213, 64.15519073942602, 63.63135218885644, 65.77506016135482, 67.40952965715022, 68.69024456607825, 68.72164627476516, 57.23970451899419, 61.067414265953275, 21.82490944621658, 62.23651238404666, 54.93794363953251, 42.46526639653, 66.0588145796728, 66.37244600353159, 51.113144423564975, 60.04018274515616, 56.173918451500874, 62.105994692761826, 23.030533321103793, 66.25464797043514, 65.51183681061035, 66.1973292649504, 66.6292541387809, 66.05499058277354, 64.4866700123535, 67.39153680230845, 68.60845685082978, 67.24983311419885]"
7,224.553025075866,67.91888563979154,"[174.04492742691951, 195.2368957873782, 128.09911601353738, 92.92624685201129, 28.699907979117047, 191.17216347010776, 181.06503715805843, 219.41025610882235, 218.09913017794744, 200.46041715848406, 203.26492760852042, 156.48410561776083, 206.35297187088747, 215.6303011874384, 215.56222660561693, 218.6736973213968, 202.77602455170847, 219.91431614733176, 214.51445579783632, 221.6485854113272, 224.553025075866, 206.09103618400746, 209.68722086056965, 208.15638418161825, 168.45668817095626, 200.8986528345092, 220.32397687753252, 189.85869813911248, 104.44947506340614, 116.23911778960473]","[58.55429995012079, 62.58097295436211, 49.17284929608502, 41.10751713921762, 21.82490944621658, 61.82059156693808, 59.90578296440961, 66.99971309092084, 66.76426971491921, 63.550404576668484, 64.0674269267037, 55.08759922254085, 64.6340020518539, 66.31968799232541, 66.30740598164132, 66.86750276023331, 63.97746647464314, 67.09010806740181, 66.11820821971685, 67.4006130650676, 67.91888563979154, 64.58605262734585, 65.24262882646099, 64.963590239561, 57.46497618237501, 63.63135218885644, 67.16352491342909, 61.573726103246315, 43.86157996637367, 46.56049015703857]"
8,217.35288081589093,66.81600962433126,"[144.44926686170226, 194.98174318076846, 173.22074815616764, 200.6312290298359, 201.1792129107407, 201.81579090105436, 127.49251036532438, 46.787337689150185, 185.1528170521155, 200.9198375311959, 191.14672297886997, 28.564001293535494, 90.99962029622331, 92.00726934576267, 167.65897167061004, 197.8744126106816, 116.45782139006884, 191.35632353991448, 160.2238192659752, 167.65897167061004, 216.0551225466908, 217.35288081589093, 162.58341849442596, 124.98226173524984, 206.7104562992368, 205.8350386228366, 212.61141166450835, 210.0838910814878, 169.94803838201221, 135.56244894194205]","[52.77398048237919, 62.706274795347156, 58.55429995012079, 63.75816402931845, 63.85966747405374, 63.97746647464314, 49.17284929608502, 28.373998572695122, 60.85152393858906, 63.81163461131518, 61.98642343026604, 21.82490944621658, 40.741000988536136, 40.989691422090054, 57.46497618237501, 63.24611500292158, 46.73367318316894, 62.025890810456254, 55.988829306311345, 57.46497618237501, 66.58150442471188, 66.81600962433126, 56.459847733611696, 48.62513588024906, 64.87917154780746, 64.71842074360744, 65.95700207021346, 65.49655331736568, 57.91480597794564, 50.90722425643834]"
9,183.52337223241895,64.19742108084174,"[130.58624834422304, 128.5803786433477, 165.43891361394225, 173.5910258783461, 183.52337223241895, 150.8808013207931, 180.37630277412202, 121.94515949582939, 165.21982743587589, 151.01532468220213, 106.97922277356454, 168.74576303340166, 166.3637182329838, 133.61193659116503, 170.08330339719151, 130.58624834422304, 83.17719006329607, 144.74988399497525, 121.54675800899861, 151.5684820517429, 129.29828736076524, 139.02170181804112, 153.6378635068793, 106.45110576552963, 139.4574819995308, 35.35839943924521, 159.6408918031564, 87.89978877272586, 178.64653120768162, 130.58624834422304]","[52.77398048237919, 52.31190296643362, 60.44124107260476, 62.15065617511301, 64.19742108084174, 57.315019768574935, 63.55298108554387, 50.76436050727301, 60.39491221907805, 57.34437279597729, 47.15479222187729, 61.13801120864964, 60.63657455233273, 53.46616917053863, 61.41852156054285, 52.77398048237919, 40.989691422090054, 55.96735104932074, 50.67047442913929, 57.46497618237501, 52.47758004461731, 54.68991253997518, 57.91480597794564, 47.02408917477203, 54.78774359126153, 25.78248356882176, 59.207994000242294, 42.262240404054786, 63.19718132808879, 52.77398048237919]"
10,179.9614382389219,61.82185181137168,"[92.38148180877525, 121.50689220939779, 176.78553645434891, 174.00321551138927, 146.57310159345116, 146.17024609427685, 156.88134660780386, 159.8342618137563, 157.99375757776247, 115.12693982695352, 123.26374690728052, 175.2320566631412, 157.51063340062325, 174.05140189282375, 167.2446847128399, 171.29423378374645, 152.36452282855194, 179.9614382389219, 141.73670572183775, 139.36975853996682, 111.37022175462695, 168.4865824294531, 178.87027089979793, 152.13853877053617, 140.75672486751776, 105.66404301448547, 158.64826662609826, 135.22527620146963, 137.1647408048212, 105.43820529590866]","[42.3691252167944, 49.384926712568664, 61.18657867092749, 60.626855108693405, 54.93158865778106, 54.84529049102757, 57.11211574701196, 57.72739865583158, 57.34437279597729, 47.908042870463376, 49.78652073344794, 60.8744341750301, 57.24357304940366, 60.63657455233273, 59.2543712903662, 60.07895624812229, 56.16307310797865, 61.82185181137168, 53.88988195249528, 53.37544168338356, 47.02408917477203, 59.50797119665204, 61.604016109382385, 56.11533338714787, 53.677266426044376, 45.659588312151435, 57.48075928505163, 52.46702454600429, 52.89336242311018, 45.6050170576789]"
