Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,505.6964470628461,100.0,"[505.6964470628461, 0.0, 505.6964470628461, 454.46210146044064, 0.0, 305.32646506787256, 391.2173352133647, 405.5915610848681, 505.6964470628461, 76.05153141433966, 410.6147029398322, 505.6964470628461, 120.81524379837688, 131.40539812508257, 295.6181304846819, 360.7853637817613, 505.6964470628461, 505.6964470628461, 505.6964470628461, 459.4949626932645, 505.6964470628461, 505.6964470628461, 378.956247377193, 485.85332950399624, 505.6964470628461, 35.70863832481049, 292.17872509902253, 140.29915448893152, 222.16003562764686, 148.70042590327893]","[100.0, 0.0, 100.0, 93.51492141010137, 0.0, 73.39624231765225, 85.24819745050989, 87.15617828747925, 100.0, 33.443254143294794, 87.81863010384664, 100.0, 43.1171731288568, 45.18292864216742, 71.99818078781539, 81.14377114638303, 100.0, 100.0, 100.0, 94.15957424463373, 100.0, 100.0, 83.60558039295465, 97.50799593697758, 100.0, 22.3162275531126, 71.49950804129412, 46.869037307120415, 60.891336259843904, 48.42508755490983]"
2,488.7565426841603,100.0,"[488.7565426841603, 488.7565426841603, 74.73153365403508, 488.7565426841603, 488.7565426841603, 359.3034084142946, 274.3004156238578, 488.7565426841603, 384.28598149945543, 0.0, 181.3195659603628, 61.38062776546445, 488.7565426841603, 429.2592077827969, 488.7565426841603, 0.36738690106853883, 488.7565426841603, 179.81933965517348, 120.11070976975031, 452.32729797363606, 332.87910436391076, 488.7565426841603, 488.7565426841603, 488.7565426841603, 488.7565426841603, 301.0250288788765, 350.81132209678935, 488.7565426841603, 417.64768634402765, 369.7668747368833]","[100.0, 100.0, 33.74542456729076, 100.0, 100.0, 82.6342043820222, 70.27807980200409, 100.0, 86.09837117189869, 0.0, 55.24647071257133, 30.337196796488456, 100.0, 92.18675366952719, 100.0, 2.1917489866252544, 100.0, 54.984744259120056, 43.79917695270021, 95.24559839600012, 78.89583417433919, 100.0, 100.0, 100.0, 100.0, 74.27227140120176, 81.44158215070227, 100.0, 90.63143038576686, 84.09291724539388]"
3,495.76992472196116,100.0,"[495.76992472196116, 495.76992472196116, 146.5130246124321, 426.51360763520273, 495.76992472196116, 495.76992472196116, 495.76992472196116, 426.91585370172163, 227.99059786090493, 495.76992472196116, 495.76992472196116, 52.77163134768814, 325.63782148323145, 20.902422568814846, 495.76992472196116, 495.76992472196116, 473.03985397212483, 495.76992472196116, 495.76992472196116, 360.96387155431063, 211.97676193951307, 495.76992472196116, 495.76992472196116, 495.76992472196116, 495.76992472196116, 0.5037013630288005, 495.76992472196116, 495.76992472196116, 495.76992472196116, 495.76992472196116]","[100.0, 100.0, 48.56167357987869, 91.01181325362018, 100.0, 100.0, 100.0, 91.06501929600813, 62.52912236078682, 100.0, 100.0, 27.7588987829664, 77.1920934715938, 17.02473547636278, 100.0, 100.0, 97.08592558955621, 100.0, 100.0, 82.15123160148723, 59.94403129300867, 100.0, 100.0, 100.0, 100.0, 2.5504077352578776, 100.0, 100.0, 100.0, 100.0]"
4,481.75599482583794,100.0,"[40.74670680306178, 480.28481413553084, 200.10728843599415, 481.75599482583794, 347.08717874893443, 158.96244443311156, 481.75599482583794, 481.75599482583794, 243.220638966083, 401.57878168853097, 154.77559269061015, 286.2417465952563, 420.80543290733635, 153.77687750786433, 407.54956641143605, 235.33541484827725, 481.75599482583794, 481.75599482583794, 481.75599482583794, 232.37143324199465, 206.13551312604415, 481.75599482583794, 481.75599482583794, 481.75599482583794, 368.8303041076679, 0.0, 313.3852409196343, 481.75599482583794, 57.719811793654316, 481.75599482583794]","[24.55546280988297, 99.8068951018329, 58.950475759223366, 100.0, 81.62741918537611, 51.6814641853993, 100.0, 100.0, 66.03105147932992, 89.25143811474464, 50.905936618420675, 72.6980777616517, 91.87433630497175, 50.71981689819444, 90.069378543975, 64.76943607371696, 100.0, 100.0, 100.0, 64.29163746743936, 59.96937726687247, 100.0, 100.0, 100.0, 84.70608961207502, 0.0, 76.74443574964107, 100.0, 29.57821756767977, 100.0]"
5,451.1008184089783,100.0,"[420.60566920644425, 415.99107163239694, 451.1008184089783, 451.1008184089783, 187.49372788375112, 451.1008184089783, 451.1008184089783, 421.17732810022187, 451.1008184089783, 341.0126680989544, 451.1008184089783, 451.1008184089783, 451.1008184089783, 89.09457322972399, 415.2287640922595, 358.7790355016828, 451.1008184089783, 267.79905518734034, 330.5674801047849, 432.9237346018078, 451.1008184089783, 411.26934403431835, 451.1008184089783, 411.2654738294703, 451.1008184089783, 419.52469127810633, 316.0810070577132, 451.1008184089783, 109.65490831797528, 301.8611882142939]","[95.69162237366675, 95.03321903540099, 100.0, 100.0, 58.972190875044994, 100.0, 100.0, 95.7730623887935, 100.0, 84.05290602554872, 100.0, 100.0, 100.0, 38.81210997509985, 94.92428214116451, 86.7078170422214, 100.0, 72.66118407135987, 82.47432266295444, 97.44061709146244, 100.0, 94.35766855028578, 100.0, 94.3571140459414, 100.0, 95.53754951103453, 80.26157980689817, 100.0, 43.53433534694501, 78.06116561884515]"
6,463.3182607682515,100.0,"[463.3182607682515, 95.43082310319481, 457.05180512590215, 75.68893121812658, 326.93504792144967, 105.6647977652452, 463.3182607682515, 463.3182607682515, 463.3182607682515, 463.3182607682515, 393.8177646429801, 463.3182607682515, 112.42273173540687, 463.3182607682515, 414.58475636397236, 463.3182607682515, 463.3182607682515, 463.3182607682515, 463.3182607682515, 463.3182607682515, 348.2743605382769, 463.3182607682515, 310.2933373735741, 463.3182607682515, 4.675654319820751, 463.3182607682515, 254.23909409868907, 463.3182607682515, 463.3182607682515, 398.9053516452522]","[100.0, 39.71951672602444, 99.14369005938887, 34.98260873380295, 80.6044985411793, 42.019655868390544, 100.0, 100.0, 100.0, 100.0, 90.33449044014071, 100.0, 43.4908889698773, 100.0, 93.26381597944801, 100.0, 100.0, 100.0, 100.0, 100.0, 83.76343610028142, 100.0, 78.10009000924018, 100.0, 8.15023926824341, 100.0, 69.3493574159108, 100.0, 100.0, 91.05570337740278]"
7,486.3590185694149,100.0,"[274.36725884385413, 486.3590185694149, 486.3590185694149, 13.220929301166482, 219.30020212055368, 194.2420424417469, 486.3590185694149, 437.4650774327657, 180.61416558192573, 5.15790312346241, 341.189931471121, 378.8350036234574, 439.20051272289305, 486.3590185694149, 486.3590185694149, 196.54107971447482, 310.4248046730272, 444.45985868451055, 486.3590185694149, 486.3590185694149, 486.3590185694149, 82.1127639384619, 486.3590185694149, 486.3590185694149, 0.0, 374.80736278442345, 486.3590185694149, 486.3590185694149, 486.3590185694149, 486.3590185694149]","[70.49315464152208, 100.0, 100.0, 13.555125174497368, 61.8175762778617, 57.63286081186805, 100.0, 93.56576041335359, 55.27868232784613, 8.359318160917619, 80.3191621191085, 85.6053475588702, 93.79704163494144, 100.0, 100.0, 58.02423589439621, 75.87440085851101, 94.49657040215118, 100.0, 100.0, 100.0, 35.61642444682149, 100.0, 100.0, 0.0, 85.04696811572484, 100.0, 100.0, 100.0, 100.0]"
8,505.1228578372789,100.0,"[505.1228578372789, 505.1228578372789, 109.87647522191445, 6.662477693412853, 381.4569224938262, 505.1228578372789, 505.1228578372789, 505.1228578372789, 505.1228578372789, 505.1228578372789, 229.08600156132854, 430.44478470733907, 203.85772972821266, 505.1228578372789, 327.0657416681812, 363.2831033543282, 505.1228578372789, 505.1228578372789, 505.1228578372789, 397.6935002028402, 222.0881555812908, 123.91095619758119, 505.1228578372789, 505.1228578372789, 505.1228578372789, 156.51867080767312, 302.81274654513646, 324.7646447350478, 392.85345489363544, 505.1228578372789]","[100.0, 100.0, 40.93391826133358, 9.345159063142631, 83.99994029521865, 100.0, 100.0, 100.0, 100.0, 100.0, 62.02616947297406, 90.47684629511572, 57.98072306456953, 100.0, 76.53108454754965, 81.5403592727044, 100.0, 100.0, 100.0, 86.17008287896812, 60.91996138807488, 43.755622741046544, 100.0, 100.0, 100.0, 49.87586870686099, 73.08496490961174, 76.20749124053161, 85.52574337605203, 100.0]"
9,455.0470149757506,100.0,"[121.81990706065424, 455.0470149757506, 455.0470149757506, 443.90489662200883, 247.24486366170052, 399.07686331984905, 227.52290975191093, 455.0470149757506, 455.0470149757506, 455.0470149757506, 386.4380029066975, 455.0470149757506, 455.0470149757506, 455.0470149757506, 12.700530871899202, 151.02049538227112, 455.0470149757506, 383.7955984028495, 114.96760810507051, 109.28616937414593, 312.53400189281, 455.0470149757506, 254.9753347409466, 455.0470149757506, 266.9657362513721, 455.0470149757506, 455.0470149757506, 455.0470149757506, 385.0300468892281, 455.0470149757506]","[45.941480215024534, 100.0, 100.0, 98.44773400691365, 68.94591500781864, 92.1041082910778, 65.65754698358298, 100.0, 100.0, 100.0, 90.2839911968746, 100.0, 100.0, 100.0, 13.74141619200754, 51.8512764220458, 100.0, 89.90153504214582, 44.480137002903746, 43.242980990734445, 79.29690582136898, 100.0, 70.21183511257385, 100.0, 72.15186409243495, 100.0, 100.0, 100.0, 90.08029125344238, 100.0]"
10,460.404659977741,100.0,"[460.404659977741, 179.658042185193, 460.404659977741, 245.80484533914742, 255.02887301171236, 460.404659977741, 460.404659977741, 110.49805437205359, 460.404659977741, 240.3850797634008, 442.42604956161574, 169.35407649730203, 208.00846828280447, 80.94172204048598, 460.404659977741, 460.404659977741, 460.404659977741, 222.44963012339912, 0.0, 115.53652465509164, 460.404659977741, 460.404659977741, 150.1578676581634, 75.36414772137887, 460.404659977741, 309.4445003292332, 460.404659977741, 220.86768750457924, 460.404659977741, 460.404659977741]","[100.0, 56.86964417669001, 100.0, 68.23627584087365, 69.73605603938086, 100.0, 100.0, 43.22671427206339, 100.0, 67.34669739036934, 97.52009458063424, 54.978388067280804, 61.88862516546775, 36.41267381466279, 100.0, 100.0, 100.0, 64.35531959333257, 0.0, 44.312665912907484, 100.0, 100.0, 51.34139057413858, 35.0209093886848, 100.0, 78.26823879262768, 100.0, 64.0877583023068, 100.0, 100.0]"
