Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,491.39044311355366,98.20575660702634,"[451.5871032138684, 429.4841394196768, 357.2061049930689, 371.341237671929, 390.20063648501565, 359.7026451349966, 374.1934473585504, 302.0154215870661, 274.1481729498884, 445.11920161168666, 456.64941559268357, 451.7780465375147, 434.13423014836286, 440.88888731817536, 394.0699529821005, 420.1682714053958, 409.90225070795606, 397.47850239731093, 449.3347348274269, 432.5771382393414, 424.74322564676316, 419.7600231041906, 439.15430222265064, 372.03905152126384, 411.20746020321974, 352.6808414863098, 368.97046418289887, 192.17819466475257, 302.85616037963166, 29.671183910354635]","[98.20575660702634, 95.16086819823408, 84.91086090922457, 86.95529877845736, 89.65096981197533, 85.27352132896311, 87.36526762648059, 76.69912766540558, 72.38749055091705, 97.3185363458786, 98.89806322359182, 98.2319026670497, 95.80455455421497, 96.7365827534231, 90.19976114155033, 93.86613234140832, 92.43102557138224, 90.68204556382302, 97.89713891372628, 95.58920360989225, 94.50284516481105, 93.80923144832582, 96.49757170605648, 87.05567819120314, 92.6139805986608, 84.25172357286398, 86.61388830517248, 58.7991183807511, 76.82730631806625, 21.16095430003979]"
2,494.1349813910558,99.72040805959554,"[-inf, 438.7745343986677, 490.8156248464534, 479.8826524282788, -inf, 427.94109374733637, 469.0101054770094, 463.6487449685333, 461.98579452767143, 486.6377733655964, 440.02787211947464, 483.9219550657951, 479.01967000909985, 471.9279631480869, 410.87501947091795, 491.07454362445384, 472.77909440946155, 488.6955236708423, 473.92081396889586, 434.72230380660983, 433.174518441183, 455.02424765650653, 494.1349813910558, 483.63537178110596, 483.9437821038012, 489.98841419377555, 492.01817423948137, 283.50339437524684, 5.50160619201385, 289.3568192272523]","[105.80384526909647, 92.56296940495889, 99.29688810038215, 97.89713891372628, 109.91057793204004, 91.13683153495563, 96.49757170605648, 95.80455455421497, 95.58920360989225, 98.76287564334493, 92.7273814262377, 98.41516068376123, 97.7863312206635, 96.8739311011467, 88.87119638022504, 99.32994785170271, 96.9836082817245, 99.0260311888579, 97.13065623423124, 92.03058513759237, 91.82690432708999, 94.68561531487435, 99.72040805959554, 98.37844161887897, 98.41795710620798, 99.19123922454658, 99.45039972171716, 71.01572936240306, 8.550213320079758, 71.88231679772362]"
3,494.1349813910558,99.72040805959554,"[437.5823915641383, -inf, 428.78376398099545, -inf, 458.2370338674489, 457.02792299628857, 455.10351546133245, 413.54923607970096, 437.82265769003436, 445.86033420472285, 437.34210180763824, 454.6747780527418, 463.5545182257436, 459.37782111058937, 452.0491881890171, 463.4766566929292, 462.4614762165904, 452.8421999338496, 450.4985870421141, 463.5276549992168, 430.4706949736772, 459.63671424109344, 440.1226715722971, 462.1256519451158, 464.00234727191463, 461.20678512700266, 449.0873389679726, 83.81439720061186, 119.31442899220339, 105.0828315077227]","[96.35457293846163, 102.93513726512778, 95.1364415379314, 107.15654058411175, 99.19123922454658, 99.0260311888579, 98.76287564334493, 93.01258874348454, 96.387752624958, 97.49520679699155, 96.32138557260421, 98.70421171125734, 99.91659180529115, 99.34701800684934, 98.34466778935345, 99.90598485369608, 99.76765043296979, 98.45331344950425, 98.13209879033866, 99.91293231793794, 95.37045937295129, 99.38235820513799, 96.7051518006177, 99.72187348192055, 99.97759078956231, 99.596581005345, 97.93848232585003, 36.9492365549696, 44.91056756832806, 41.848827102104366]"
4,494.1349813910558,99.72040805959554,"[380.36280334535155, 362.73101523251165, 402.46150686707233, 418.61721296993306, 407.5234435464583, 427.9297391881707, 429.53402967291, 425.624975412226, 414.5120083821583, 417.39371707049776, 428.37775252399615, 428.2869636138687, 429.4161396268169, 404.20268680855185, 428.8045743883646, 396.85697358111037, 428.8865945526278, 428.0548054242327, 429.7872404242185, 410.02739890804105, 428.36575839244745, 414.9004352058353, 429.158211425219, 420.6741599914358, 429.6612903235229, 427.7561963713014, 428.28525436345615, 334.8565216992016, 242.5389802887112, 383.2410937856876]","[92.62130809828824, 89.93411338908737, 95.94542681673848, 98.347377251739, 96.7004648876041, 99.72187348192055, 99.95794995067138, 99.38235820513799, 97.73917442935573, 98.16626024440718, 99.78782079799507, 99.77445802032385, 99.94060905263025, 96.20539953716158, 99.85063378737541, 95.10675154152737, 99.86270256778377, 99.74028478229728, 99.99519194668024, 97.07311554542586, 99.78605547801926, 97.79678265815241, 99.90266554206228, 98.65158973350024, 99.97666796402396, 99.69632374821624, 99.774206437744, 85.61489801412897, 70.50466030815417, 93.05693592946251]"
5,494.1349813910558,99.72040805959554,"[411.1883830071867, 368.22844862422835, 410.94612984190456, -inf, -inf, 410.32671219714604, 410.2482414201073, -inf, 396.6213832667916, 410.0163109291806, 410.6365618764136, 407.41589095700255, 369.57098752163756, 400.86331496883463, 392.967539247179, 406.42451305038503, 403.0544881488932, 366.77873123280295, 391.29701492748893, 409.6035119899196, 328.97326182596646, 399.30104672043245, 411.05096833972436, 404.9356803049602, 409.47252758848884, 410.5971755240507, 409.7602200835953, 341.6130797284476, 101.4895958930499, 348.4328882217364]","[99.99519194668024, 93.30524179413366, 99.95794995067138, 103.80772993819214, 104.62810414173371, 99.86270256778377, 99.85063378737541, 100.99008831723442, 97.74649259140476, 99.81495980771996, 99.91035209933288, 99.41465760507718, 93.51709980900918, 98.40329868043231, 97.17939986303327, 99.26189014284999, 98.74192630305369, 93.07625309542621, 96.91970622755969, 99.75145422886462, 87.01908906553386, 98.16159549130496, 99.97406757999119, 99.03230248034369, 99.73130028293433, 99.9042956228392, 99.77556418217756, 89.06345827951448, 43.903620759114645, 90.15821543710535]"
6,494.1349813910558,99.72040805959554,"[-inf, 428.46601805565524, 377.159095168719, 428.0340543799377, 427.9929993408732, 427.7110772591007, 427.6292819004684, 427.387525180336, 427.120584500664, 422.6808398653675, 427.8451569665356, 427.45682838599726, 427.2382790463741, 427.3315131294593, 417.1102740664607, 397.8070331800417, 415.3120643881909, 427.0232049365261, 427.45696209026596, 428.38411876878916, 427.9919300202434, 428.3979408417487, 427.94304713378625, 418.84097773206355, 426.61339515599286, 386.5114817947995, 426.8636365826352, 3.553918476251855, 356.78744539940226, 80.46542279286967]","[104.76663915003917, 99.97406757999119, 92.29276540264122, 99.91035209933288, 99.9042956228392, 99.86270256778377, 99.85063378737541, 99.81495980771996, 99.77556418217756, 99.11949085841965, 99.88248466140982, 99.82518677200133, 99.79293447967753, 99.80669391570088, 98.29401624134204, 95.41286256436958, 98.02699265940555, 99.76119128765846, 99.82520650215501, 99.96198842489702, 99.90413787388565, 99.96402705130451, 99.89692644567702, 98.55075788626922, 99.70069636878402, 93.71113885589824, 99.73763788547753, 7.373313256435232, 89.1716960260992, 37.74418965868519]"
7,494.1349813910558,99.72040805959554,"[430.9190499375162, 430.8505829714028, 389.7509190772348, 430.4846132053048, 430.4433231200162, 430.4422476773662, 430.3930849290906, 430.29463432602694, 430.1597869922619, 421.6738626677796, 401.39522389813106, 413.51973474238207, 421.41059767444926, 427.5250559766687, 429.3200933578374, 431.03163009404494, 417.1277226380449, 426.27385482852833, 402.2425601725205, 418.95874656477656, 429.46328314318674, 430.87472228122215, 401.4686432752664, 429.7954041442335, 431.0577723143174, 408.91054402869923, 426.33465832632544, 54.66611297798897, 27.775070054171973, 0.8191977413638503]","[99.97406757999119, 99.96402705130451, 93.86542210710535, 99.91035209933288, 99.9042956228392, 99.90413787388565, 99.89692644567702, 99.88248466140982, 99.86270256778377, 98.6148752735335, 95.6084280521409, 97.41023679894259, 98.57606909724784, 99.47589680282755, 99.73948703929149, 99.9905764035067, 97.94394845121583, 99.29201249781106, 95.73477473776529, 98.21438156376233, 99.76050248852984, 99.96756706989602, 95.61937822369549, 99.80924040412451, 99.99440977131098, 96.72679545831967, 99.30095147851578, 30.495927563511994, 21.262646692570208, 3.496167593489119]"
8,494.1349813910558,99.72040805959554,"[-inf, 389.68377583252686, 376.2435071885927, -inf, 389.60865236964514, 389.27771400490144, 389.24037629405376, -inf, 389.1949470091982, 389.17277834919844, 387.1514256607755, 388.9243200339483, 378.73977476667324, 389.1479928041291, 382.17667014209496, 385.8941120724406, 382.12647631022196, 378.5607359627106, 385.3226557279216, 386.560429287551, 389.2870745624784, 370.7335832568799, 388.14755974927397, 389.730510150779, 384.8163987075947, 389.11978009562216, 387.8821863397333, 242.64827872483278, 44.8641233669174, 14.256158884896477]","[100.69581750952773, 99.97620986142955, 97.78769898438205, 107.61578508562542, 99.96402705130451, 99.91035209933288, 99.9042956228392, 102.7179537208391, 99.89692644567702, 99.89333034931582, 99.56523485381597, 99.85302333923289, 98.19555016418637, 99.88930969762309, 98.7560435817236, 99.36095240098919, 98.74786650267373, 98.16631934048125, 99.26805333881833, 99.46923188173916, 99.91187043572926, 96.885165336986, 99.72697198844745, 99.98378851390567, 99.18572644259733, 99.88473302713021, 99.68389416083345, 74.7430160930899, 28.945517142698396, 15.808895785520583]"
9,494.1349813910558,99.72040805959554,"[-inf, 355.29484257004935, -inf, 387.3569087335752, 387.34759458757867, 387.31044200482364, 369.24785817770095, 387.24317922455964, 387.21851657134897, 365.51381386889943, 381.8442350754592, 381.65454589276027, 386.23871737434087, 354.6756088528506, 386.7869601250216, 344.60490583435325, 386.86747639895384, 387.43199467357385, 384.64113829617077, 387.28901663333096, 370.4569234614849, 386.4913493893987, 387.703422154449, 386.7924303754059, 387.4399251047118, 387.69038806042687, 386.27573169125543, 21.294369774523066, 155.95227883372556, 63.227191255750654]","[104.45191563510977, 94.63209238821827, 107.44101919048043, 99.91187043572926, 99.91035209933288, 99.9042956228392, 96.94328101423869, 99.89333034931582, 99.88930969762309, 96.32688653872724, 99.01172736055999, 98.9806997522498, 99.7295287160494, 94.52901207955716, 99.81894515455343, 92.84624423000355, 99.83207458302145, 99.92411018639977, 99.46880009512572, 99.90080287661303, 97.14254386779336, 99.77073577099137, 99.96835094609558, 99.8198371839664, 99.92540289285301, 99.96622664570928, 99.73556655040974, 19.545628769540258, 57.853705406629565, 34.9402303778016]"
10,494.1349813910558,99.72040805959554,"[366.8910799937045, 366.87874558405207, -inf, 366.63422303576266, -inf, 344.0102615647029, 322.5181417192083, 343.46855990272246, 366.45554340579355, 352.1265808508764, 366.7021685622607, 365.34154082688514, 363.4518276485051, 344.3700711542859, 341.6300855929302, 366.0337789194807, 364.53327703746413, 340.9540296122302, 366.6979590105098, 364.9928757845062, 364.4095988073052, 334.9948893509988, 352.5523880990141, 363.4864868656537, 366.03504115334806, 360.00022050596436, 366.4658558255871, 21.901579365605063, 286.42619126389707, 1.6257570885041905]","[99.96835094609558, 99.96622664570928, 107.6136649988317, 99.92411018639977, 100.91077771867968, 95.99790666867297, 92.20951228763286, 95.90315314118138, 99.89333034931582, 97.41331340373223, 99.93581375047712, 99.70135030547752, 99.37537634785933, 96.06082387841778, 95.58129826181224, 99.82066219089381, 99.56197382738688, 95.46283734076613, 99.93508867312894, 99.6412355746573, 99.5406404690092, 94.41614362235724, 97.48735185387662, 99.38135859762417, 99.82087969730638, 98.7789487347187, 99.89510688967437, 20.419911484477016, 85.69778195504337, 5.362242277134211]"
