Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,514.5369655487315,100.0,"[514.5369655487315, 154.1285742594749]","[100.0, 49.41302236126299]"
2,557.791062789308,100.0,"[557.791062789308, 505.88078166214643]","[100.0, 94.04945821250857]"
3,576.3446979072185,100.0,"[576.3446979072185, 505.88078166214643]","[100.0, 94.04945821250857]"
4,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
5,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
6,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
7,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
8,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
9,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
10,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
11,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
12,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
13,576.3446979072185,100.0,"[576.3446979072185, 508.23054125581706]","[100.0, 97.02472910625428]"
14,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
15,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
16,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
17,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
18,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
19,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
20,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
21,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
22,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
23,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
24,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
25,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
26,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
27,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
28,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
29,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
30,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
31,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
32,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
33,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
34,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
35,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
36,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
37,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
38,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
39,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
40,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
41,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
42,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
43,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
44,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
45,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
46,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
47,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
48,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
49,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
50,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
51,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
52,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
53,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
54,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
55,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
56,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
57,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
58,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
59,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
60,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
61,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
62,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
63,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
64,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
65,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
66,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
67,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
68,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
69,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
70,576.3446979072185,100.0,"[576.3446979072185, 527.9676280019409]","[100.0, 98.51236455312714]"
