Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,412.90680182836286,88.12019553105831,"[307.1279736354161, 267.6678050978034, 277.9469460807654, 322.0368074433009, 279.99530297770116, 134.234813654283, 287.0855563098832, 235.6801216545693, 56.444794418791155, 197.13858845053417, 258.20118064066435, 347.88813407956735, 230.02571495405914, 29.293085358343784, 67.01579872045772, 198.95640509326824, 139.85278020821553, 247.87975219124718, 194.29833057400631, 81.08653191401575, 190.65457689226778, 318.8710304911364, 283.0285497487112, 356.79825589821496, 270.1384316305428, 311.3925825776386, 241.2729827772899, 143.99732283319835, 298.5779220758388, 211.27849347693586]","[78.41251844783531, 72.21583729233613, 73.85508083335876, 80.69158930609082, 74.17951403182637, 48.48117285964031, 75.29703323690973, 66.98364556242325, 30.117339663759644, 60.36167328662631, 70.68893632234051, 84.57392737846274, 66.03583356052253, 21.240324460327496, 33.04492875969383, 60.68320490853631, 49.61421325554646, 69.00408405507758, 59.85726466314265, 36.65959402260329, 59.206452275849045, 80.21022711428142, 74.65862556327829, 85.89334419558973, 72.61156907815362, 79.06763248066079, 67.91395556764606, 50.43932089498586, 77.09103149534712, 62.83717092898047]"
2,412.90680182836286,88.12019553105831,"[341.78742520769407, 311.8435853255571, 332.08665988454305, 303.1122265029771, 341.98614248851305, 174.09866756544895, 322.3111939186284, 298.86771720629184, 86.06500249908052, 272.367157289331, 254.87373357905952, 317.6437391470108, 311.25208513932205, 38.3674810406444, 186.06351788927563, 252.61760283547736, 219.5478853361108, 324.4975093834124, 233.97276415415075, 96.96180798439893, 232.00041574000787, 362.8986499729753, 312.76430302609305, 351.8272308876166, 317.6066601804205, 297.46951575461554, 246.64974261981664, 164.04077208871394, 341.5666627770337, 278.61984902778715]","[81.63141786774365, 77.23191853073612, 80.2187467961994, 75.926201604602, 81.66023622564417, 54.90826983046517, 78.78319721835877, 75.28743247378239, 37.0459067086658, 71.23490969035777, 68.49276237168134, 78.09333657580814, 77.1438078766656, 23.979621479625063, 57.03861691256211, 68.13484037226115, 62.76260903724881, 79.10534068670778, 65.1363526232774, 39.552655845072714, 64.81469567632239, 84.66749602426225, 77.36897207531557, 83.08159382199511, 78.08784444309887, 75.07641962683293, 67.18310686860566, 53.07690976044928, 81.59939693332845, 72.20157847830849]"
3,412.90680182836286,88.12019553105831,"[308.22972271687524, 293.81960133061284, 354.1301158057271, 348.9069272734796, 359.89713579507264, 256.1931966594363, 366.7040837428151, 294.05141537329155, 202.67411168367187, 331.95891441642823, 277.5713364595176, 332.49110420891463, 345.7286867884138, 144.42947702486742, 263.57090250773217, 317.0174613527765, 242.71849909151285, 327.82178803062186, 319.4982730432846, 244.5058032629029, 328.90844076970853, 404.13104920560124, 326.08171358301496, 378.71937903153065, 340.75721755783195, 324.610299501289, 256.39569238473405, 185.6511266504557, 323.455906216613, 279.21187335629503]","[75.13766895762022, 73.02021916163882, 81.69611509804702, 80.96275824752821, 82.50229358253763, 67.33301932154663, 83.44920956418731, 73.05452863526352, 58.748337762481015, 78.56122296139462, 70.59411885464003, 78.6371641473509, 80.51499581751031, 48.44288928027426, 68.46786568994453, 76.41432043348364, 65.23271354313259, 77.96965804137761, 76.77281029935061, 65.5134413014284, 78.12524755798468, 88.572845563373, 77.72019555295634, 85.10888986471424, 79.81223062435022, 77.50894460699986, 67.36430599482131, 55.860915249112026, 77.34301153650712, 70.84103614218797]"
4,445.66929543719345,92.33265810648363,"[317.725694986806, 367.62997701512074, 337.86097051612865, 374.75812360239433, 388.9021231989332, 298.0713784726881, 321.4728529573631, 340.05364390264305, 320.35573480082024, 362.3231105955712, 357.6993336322793, 350.38781633924077, 338.89504693877427, 230.4523480214843, 300.9269095672216, 326.8639892865611, 287.99705053751035, 380.42119446450255, 342.0288969788633, 277.7532601284648, 371.12324826431916, 445.66929543719345, 405.2778990823653, 388.2402509830051, 365.2930283400698, 339.2391835739893, 277.4086100658341, 339.1738986310924, 376.9581854869861, 306.8801614416653]","[75.12181030329702, 82.03018690275681, 77.94470674905533, 82.99428405385316, 84.89236637827996, 72.31405761556753, 75.65108349826886, 78.24907498419647, 75.49348849515162, 81.30900843326899, 80.6782176419247, 79.67598525011044, 78.08832005762238, 62.167269335533426, 72.7254166407876, 76.4093455791938, 70.85294332296627, 83.7565859059955, 78.52277317656849, 69.35081158587334, 82.5033069400353, 92.33265810648363, 87.06655569058073, 84.80397367405885, 81.71297090207159, 78.13608561482468, 69.29997259058857, 78.1270252675578, 83.29081008745021, 73.57920229809991]"
5,445.66929543719345,92.33265810648363,"[323.82132127128904, 385.19283814319954, 379.5210872696303, 376.12370644143783, 366.3801598921473, 288.6811066366908, 287.0769517199024, 319.8691646232204, 321.66960747223294, 361.28952182928157, 341.62999357259145, 392.80426913646494, 334.3176898595983, 292.9196069222073, 330.7155282141706, 316.7103915166076, 283.49812379702234, 360.44613900970245, 335.4014236238782, 313.333028173929, 328.46233006482146, 384.1867975019688, 399.0089892858249, 373.3701235023354, 379.0074078441604, 378.67442592655743, 300.30966011625765, 353.1894178659888, 374.2063417914226, 336.28761613382966]","[78.81733280083485, 87.6080199212126, 86.81267445223851, 86.33473801756114, 84.95750872714697, 73.56935208613517, 73.32534776031424, 78.23581757006512, 78.50098999542466, 84.23399302229768, 81.41280097333234, 88.67049345533351, 80.35189500187465, 74.21208690672687, 79.82684502165775, 77.76953281943337, 72.77947444814144, 84.11385623306832, 80.50954240420417, 77.26947128553893, 79.49758510647663, 87.4671728311429, 89.5325983047782, 85.94651595630933, 86.74048510351346, 86.69367584525742, 75.32605372501287, 83.07692727775951, 86.06449418287676, 80.6383460710218]"
6,464.39462655789526,93.17893802561329,"[368.02084811451147, 418.5642842941254, 440.4199737498921, 406.7746729743778, 395.85532525251267, 318.5846121735229, 397.9740714931093, 398.6614719923396, 463.23834483257355, 396.26135880711894, 406.8364010164955, 377.0856196206455, 397.8290794526129, 295.1116954113769, 388.7530968581604, 385.55231671815983, 349.2590276905675, 402.7958274682246, 327.5827825650966, 440.55314664101707, 353.29191374408424, 408.4181071116498, 424.2200194953357, 409.3821464693493, 464.39462655789526, 446.1543415282981, 323.33743005287545, 402.6474517615264, 400.3288576230312, 402.68237458711496]","[80.77363878751626, 87.3754967367934, 90.16254389898623, 85.85608172223895, 84.43815630173248, 74.06083954492368, 84.71411171115093, 84.80355538587466, 93.03438135516114, 84.49107133433684, 85.86406771492818, 81.97531614024709, 84.69524013110713, 70.76512801801985, 83.51014520229617, 83.09038496049276, 78.25917414227061, 85.34062692750858, 75.3044159465543, 90.17941363608058, 78.80288845074399, 86.0685874170175, 88.10032164846514, 86.19313579939144, 93.17893802561329, 90.88776045564335, 74.71899415088458, 85.32137833834462, 85.0203384230754, 85.32590900522042]"
7,496.30677585217694,98.11342357936465,"[382.8714375767046, 439.4698743147901, 404.094410685672, 393.043837728746, 391.0733225172278, 323.7708239958338, 408.73294943263477, 474.4647410036734, 458.81091103003666, 437.687887992205, 386.76629169306125, 427.94698452261974, 384.12098247993293, 395.83875392933453, 395.56481684539574, 389.4436913759396, 380.7298618567396, 416.30761018642113, 377.2331141518645, 479.4517237463574, 427.18701043972294, 448.72697176900715, 427.1967558035783, 446.30357372285783, 496.30677585217694, 403.3728655902181, 378.0809032981171, 409.9413245614637, 427.81591727834837, 385.5588418522451]","[83.54590927862674, 90.9357420089663, 86.34910829112879, 84.89467279192306, 84.63415780833418, 75.49596861186504, 86.9564030214444, 95.3803955651052, 93.4027593772337, 90.70706562215783, 84.0634820515232, 89.45275845984041, 83.71211458994887, 85.2635677036157, 85.22744282256984, 84.41843803676468, 83.26070237526991, 87.94416078877916, 82.79405790654204, 96.00703684400311, 89.35458853040846, 92.11988192019672, 89.35584767991504, 91.81049544238293, 98.11342357936465, 86.2544728258528, 82.90730648743961, 87.11430387153366, 89.43583105133628, 83.90318317451349]"
8,557.3465171090347,100.0,"[469.9625818962919, 551.4588190560613, 500.8567248659054, 477.99002590215224, 473.8075629537021, 351.29187838826556, 493.2698492498403, 534.1040787926374, 507.0081071529692, 504.9547553199748, 393.9428378332048, 465.2471714746075, 416.2800211685531, 518.4478944707556, 484.2667035341284, 500.97467210607385, 470.13203902043244, 462.9509117314081, 439.9063100567643, 526.3757283111889, 432.1340063621307, 557.3465171090347, 480.6851738342017, 449.01539429531795, 515.0691077892103, 461.0536323102558, 484.36386738427234, 430.679768944502, 477.73303800989555, 417.67052766079877]","[89.88800044283374, 99.33141448350409, 93.51229712749665, 90.83543717983147, 90.3423210106534, 75.30543254267694, 92.62764938114968, 97.35079410447592, 94.22710354809917, 93.98874011333, 80.68616759941376, 89.32950901938472, 83.43683434810167, 95.55076029469583, 91.57338807694397, 93.5260234098415, 89.90804365132419, 89.05700625528111, 86.30206265848486, 96.46386485344658, 85.36424018894633, 100.0, 91.15260895594855, 87.39552182862131, 95.16056778583061, 88.83158415770248, 91.58479234916699, 85.18826226045796, 90.80517023054051, 83.60668066119489]"
9,577.6586754911602,99.955625477447,"[564.1198154439187, 577.6586754911602, 484.57056117973434, 479.73043747885976, 558.8801639490214, 486.04524604179693, 528.9919126452504, 530.792959070857, 540.9735612178171, 480.93760705865475, 462.4981357723231, 487.37208011943665, 434.8318677730858, 515.5621005845788, 552.8456126157691, 513.3020803786268, 475.16901742564346, 499.3333730492056, 482.66431275971973, 501.8077952229163, 504.33701215746646, 527.3242354726585, 534.7142876659184, 477.1773761214241, 483.12919726003423, 495.1726084958317, 538.4699774872691, 466.81285758281894, 513.6561124416568, 524.617263406819]","[98.47079265292223, 99.955625477447, 89.56139093686411, 89.00782743050631, 97.89390143017785, 89.72976282991985, 94.57778463207738, 94.77888345842112, 95.91248415051184, 89.14602727116524, 87.02487686279184, 89.88114027874177, 83.79910449689012, 93.07284405288179, 97.22789125954574, 92.81862863178044, 88.4847973675718, 91.24102588015543, 89.343547200265, 91.52129336460851, 91.80740268765834, 94.39142645056945, 95.21614560197783, 88.71524548955503, 89.39669430925912, 90.76894912207968, 95.63420028073439, 87.52319276484931, 92.8584700411761, 94.08861877909467]"
10,577.6586754911602,99.955625477447,"[537.2872759022283, 532.2270588515426, 459.31213957627335, 473.91292062031897, 515.8015281281436, 458.6861198734245, 522.1768345783017, 494.49632146867793, 482.30513075758415, 465.20447127582645, 466.1417685837847, 467.13969472148705, 513.0190010162067, 485.1998873879072, 557.1775019384493, 488.2187817037251, 520.9692866835231, 488.97198476419, 436.1406406228942, 532.9862921948733, 521.860789021991, 539.9457600298191, 521.9491070824743, 536.8632754863607, 488.84908545249016, 547.7626654590241, 564.562826188991, 478.6667492498985, 491.1687477709806, 513.3769863536619]","[96.9283409818475, 96.35443297918032, 87.92465009054793, 89.6385972142414, 94.4822696359721, 87.85084482077113, 95.21063008098739, 92.03172402054993, 90.61748466854102, 88.61803506722548, 88.72811810114956, 88.84525786744663, 94.16367771312886, 90.9541123106644, 99.17182339267117, 91.30462656333, 95.07284004921017, 91.39199191845401, 85.17446873367764, 96.44062578270841, 95.17457454285406, 97.229332354876, 95.1846507032507, 96.88030291434586, 91.37773896193816, 98.11230928459078, 100.0, 90.1936416109442, 91.64660215923777, 94.20469004742094]"
