Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,500.91749537206647,100.0,"[500.91749537206647, 500.91749537206647, 412.0946381024982, 492.7076156403081, 456.6893186786064, 221.7755601276453, 424.5501398437976, 209.58913224128574, 441.59409317674994, 35.30422018474047, 409.81517820632973, 192.90920046960196, 487.94606842671095, 216.14999896009886, 500.91749537206647, 500.91749537206647, 366.12319648021935, 500.91749537206647, 75.13924020895908, 423.6529869938052, 326.7855218135509, 373.2614832148856, 375.72195803442645, 465.55748235979786, 22.3468219880635, 456.9976487012777, 46.573435815164224, 236.51698125185976, 347.1596739559418, 427.34215257957374]","[100.0, 100.0, 84.90696680500972, 98.96197864690801, 94.35793045700049, 61.165871996311566, 84.66323762425067, 59.03200249955651, 92.40210907405158, 22.29389504874966, 88.22773332749054, 56.44159947811063, 98.35808916902275, 60.26260036473857, 100.0, 100.0, 82.34441189993923, 100.0, 33.396575381029756, 90.05536403523246, 76.8767341856819, 83.31824191740536, 83.6527041290768, 95.49943571954476, 17.5341241085982, 90.70298495239936, 25.179809788465406, 63.4970050652084, 79.73090338000834, 90.53996891682866]"
2,530.9440353294108,100.0,"[530.9440353294108, 530.9440353294108, 449.56740645570045, 530.9440353294108, 530.9440353294108, 393.07912980847715, 424.5501398437976, 303.050007808223, 530.9440353294108, 499.11503220666435, 530.9440353294108, 319.0810692307282, 530.9440353294108, 530.9440353294108, 530.9440353294108, 530.9440353294108, 404.93274671167813, 530.9440353294108, 324.42891891071434, 530.9440353294108, 530.9440353294108, 530.9440353294108, 530.9440353294108, 530.9440353294108, 530.9440353294108, 530.9440353294108, 173.1807608302133, 530.9440353294108, 530.9440353294108, 523.94329097529]","[100.0, 100.0, 90.11979020968666, 100.0, 100.0, 82.98974658119175, 83.24228578865643, 70.98442912444584, 100.0, 96.18307747891784, 100.0, 73.19283944659952, 100.0, 100.0, 100.0, 100.0, 84.50777422170245, 100.0, 73.92192512696741, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 51.34423803248892, 100.0, 100.0, 99.16523068603598]"
3,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 504.07477926025143, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 437.38157489850244, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 99.87872128473462, 100.0, 100.0, 100.0, 98.69902388511824, 100.0, 100.0, 100.0, 100.0, 94.3646605973432, 100.0, 100.0, 100.0, 100.0, 86.42835197412542, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
4,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.41099817550592, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
5,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
6,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
7,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
8,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
9,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.42773137668675, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
10,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.23718453127796, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
11,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.72701085572182, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
12,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.87766571023407, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
13,552.8288685869654,100.0,"[552.8288685869654, 552.8288685869654, 551.7684473552548, 552.8288685869654, 552.8288685869654, 552.8288685869654, 541.4784853723436, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 529.7060139164552, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 524.775649715599, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654, 552.8288685869654]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.38582921567827, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
