Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,29.01892575542844,19.380571323469187,[29.01892575542844],[19.380571323469187]
2,44.885709295964816,23.54370277454523,[44.885709295964816],[23.54370277454523]
3,44.885709295964816,23.54370277454523,[37.757580839272734],[22.305957323841163]
4,44.885709295964816,23.54370277454523,[37.757580839272734],[22.305957323841163]
5,46.94670063010679,26.489762299735837,[46.94670063010679],[26.489762299735837]
6,46.94670063010679,26.489762299735837,[35.79957613880966],[22.43049891181942]
7,54.086246998027455,26.836003289760235,[54.086246998027455],[26.836003289760235]
8,54.086246998027455,26.836003289760235,[54.07876511495843],[26.66008705149263]
9,54.086246998027455,26.836003289760235,[50.80207319793979],[26.616385755432155]
10,64.22374765425181,30.007405009350187,[64.22374765425181],[30.007405009350187]
11,65.89323176385805,29.871524087427094,[65.89323176385805],[29.871524087427094]
12,75.87525167679738,31.382472405848304,[75.87525167679738],[31.382472405848304]
13,100.84018823234229,35.400692371889306,[100.84018823234229],[35.400692371889306]
14,119.55392827845455,39.014020827610935,[119.55392827845455],[39.014020827610935]
15,130.19615932987745,42.359028104481496,[130.19615932987745],[42.359028104481496]
16,130.19615932987745,42.359028104481496,[130.19615932987745],[42.359028104481496]
17,130.19615932987745,42.359028104481496,[127.48103867816691],[40.40595680994366]
18,155.06399061023893,44.256581242633864,[155.06399061023893],[44.256581242633864]
19,181.8723948135057,47.29405836287826,[181.8723948135057],[47.29405836287826]
20,185.09114338064322,49.50221210187305,[185.09114338064322],[49.50221210187305]
21,185.09114338064322,49.50221210187305,[185.09114338064322],[49.50221210187305]
22,185.09114338064322,49.50221210187305,[152.49517965098437],[44.50718036204059]
23,185.09114338064322,49.50221210187305,[159.58530890163152],[46.65467730324712]
24,185.09114338064322,49.50221210187305,[159.58530890163152],[46.65467730324712]
25,185.09114338064322,49.50221210187305,[165.22122209584327],[49.56852661198624]
26,185.09114338064322,49.50221210187305,[165.22122209584327],[49.56852661198624]
27,185.09114338064322,49.50221210187305,[125.3162832999572],[45.51200025211046]
28,185.09114338064322,49.50221210187305,[133.52112832345955],[49.53556022353919]
29,185.09114338064322,49.50221210187305,[133.52112832345955],[49.53556022353919]
30,185.09114338064322,49.50221210187305,[156.4867940361613],[51.20309674852297]
31,187.23301183258246,53.90948459123488,[187.23301183258246],[53.90948459123488]
32,187.23301183258246,53.90948459123488,[187.23301183258246],[53.90948459123488]
33,239.4663132356564,58.16544982185928,[239.4663132356564],[58.16544982185928]
34,260.1117996201177,61.18904590152202,[260.1117996201177],[61.18904590152202]
35,262.30085601423093,59.81560030403386,[262.30085601423093],[59.81560030403386]
36,322.87550889019366,64.69336599146393,[322.87550889019366],[64.69336599146393]
37,338.4722580413662,64.72512351816297,[338.4722580413662],[64.72512351816297]
38,377.02325511594154,69.72396713850326,[377.02325511594154],[69.72396713850326]
39,403.3206669898784,69.3653495488713,[403.3206669898784],[69.3653495488713]
40,403.3206669898784,69.3653495488713,[403.3206669898784],[69.3653495488713]
41,403.3206669898784,69.3653495488713,[403.3206669898784],[69.3653495488713]
42,403.3206669898784,69.3653495488713,[395.15499460719894],[67.50057958808162]
43,416.6897114549304,69.78288200074243,[416.6897114549304],[69.78288200074243]
44,461.0340370682149,70.84194392838451,[461.0340370682149],[70.84194392838451]
45,461.0340370682149,70.84194392838451,[461.0340370682149],[70.84194392838451]
46,461.0340370682149,70.84194392838451,[461.0340370682149],[70.84194392838451]
47,476.12703199414096,75.65952416487974,[476.12703199414096],[75.65952416487974]
48,476.12703199414096,75.65952416487974,[476.12703199414096],[75.65952416487974]
49,488.7247528474702,79.61383620934019,[488.7247528474702],[79.61383620934019]
50,497.3232469149193,82.83202087670597,[497.3232469149193],[82.83202087670597]
51,497.3232469149193,82.83202087670597,[497.3232469149193],[82.83202087670597]
52,504.2115712394882,80.85945572434878,[504.2115712394882],[80.85945572434878]
53,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
54,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
55,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
56,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
57,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
58,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
59,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
60,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
61,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
62,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
63,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
64,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
65,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
66,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
67,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
68,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
69,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
70,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
71,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
72,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
73,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
74,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
75,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
76,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
77,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
78,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
79,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
80,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
81,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
82,505.3969179891725,78.24193673701319,[505.3969179891725],[78.24193673701319]
83,506.4579263130991,79.65383092214711,[506.4579263130991],[79.65383092214711]
84,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
85,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
86,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
87,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
88,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
89,554.3974898551833,81.40326123810402,[554.3974898551833],[81.40326123810402]
90,562.118595811817,80.66479151147219,[562.118595811817],[80.66479151147219]
91,580.4633082526194,83.93145266374754,[580.4633082526194],[83.93145266374754]
92,580.4633082526194,83.93145266374754,[580.4633082526194],[83.93145266374754]
93,624.2434077333724,86.53021657308679,[624.2434077333724],[86.53021657308679]
94,624.2434077333724,86.53021657308679,[624.2434077333724],[86.53021657308679]
95,731.5832716873144,90.6884028133555,[731.5832716873144],[90.6884028133555]
96,772.578344995343,91.3703413769972,[772.578344995343],[91.3703413769972]
97,815.9955295653056,90.13185483117327,[815.9955295653056],[90.13185483117327]
98,815.9955295653056,90.13185483117327,[815.9955295653056],[90.13185483117327]
99,815.9955295653056,90.13185483117327,[815.9955295653056],[90.13185483117327]
100,815.9955295653056,90.13185483117327,[815.9955295653056],[90.13185483117327]
