Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,505.6964470628461,100.0,"[59.10688403708866, 157.82140037274664, 201.00687699784945, 396.35015456490004, 0.0159470834013673, 157.9575525987777, 161.50405924745704, 10.04606687643113, 82.06808452178126, 487.08315032299924, 29.581488572132322, 2.181455711637125, 311.4250085069854, 44.00491919429975, 111.18028302286193, 41.280131433812876, 505.6964470628461, 178.55654978795747, 261.5642261440901, 65.12685835264237, 40.421998480063316, 116.35875742049137, 273.0308977920406, 505.6964470628461, 455.01336336293514, 245.73184872130452, 65.29232002354307, 168.75626890933657, 115.43298868967588, 33.51341417997162]","[29.187270458858883, 50.0777635131421, 57.475536823288245, 85.93164775511265, 0.44697244721633167, 50.102161716200555, 50.73498997019909, 11.530601113960259, 34.856951826614335, 97.66313520576067, 20.20863054358712, 5.291120325548171, 74.26752774000897, 24.929310820211214, 41.17591119377411, 24.097025282463523, 100.0, 53.709831910125615, 66.97593776864531, 30.75164104962008, 23.829964790106267, 42.227081694996656, 68.68892367546906, 100.0, 93.58561834743048, 64.57028923765884, 30.793756199103562, 52.0134353612304, 42.04052508523302, 21.581147990309944]"
2,518.4558552534244,100.0,"[214.93063524475727, 242.04345230796162, 201.00687699784945, 518.4558552534244, 24.678132347404976, 243.76543491024506, 161.50405924745704, 10.04606687643113, 136.02974560023534, 518.4558552534244, 29.581488572132322, 2.181455711637125, 311.4250085069854, 92.27239845249004, 113.76486206782631, 116.10913706027438, 505.6964470628461, 190.32565385252678, 261.5642261440901, 73.17502725328427, 40.858993356038255, 116.35875742049137, 316.5759214006676, 505.6964470628461, 510.34366033243816, 274.7565851427154, 65.29232002354307, 168.75626890933657, 115.63133283569728, 33.51341417997162]","[58.88404087827378, 63.079823253320896, 57.475536823288245, 100.0, 18.13827594988971, 63.34080234932595, 50.73498997019909, 11.530601113960259, 45.427558094658835, 100.0, 20.20863054358712, 5.291120325548171, 74.26752774000897, 36.65778097612859, 41.131813599676384, 41.59862508350289, 100.0, 54.915471601339156, 66.97593776864531, 32.31201218963199, 23.65165043430257, 42.227081694996656, 73.89097726953467, 100.0, 99.00911318511442, 67.93946948743566, 30.793756199103562, 52.0134353612304, 41.5037827024159, 21.581147990309944]"
3,530.5166372753388,100.0,"[214.93063524475727, 486.77307820276155, 235.10530625614092, 518.4558552534244, 24.678132347404976, 243.76543491024506, 161.50405924745704, 89.6444886146864, 139.89451454670606, 518.4558552534244, 29.581488572132322, 68.01768065509442, 348.57274250989275, 92.27239845249004, 170.82176217862025, 217.46856004728892, 525.1739783815704, 190.32565385252678, 314.7964713340779, 75.7834696291128, 75.81226727885245, 116.35875742049137, 409.4566118360985, 530.5166372753388, 530.5166372753388, 530.5166372753388, 118.12007753641682, 259.29395392858527, 118.19429545961734, 33.51341417997162]","[58.88404087827378, 94.73505978400128, 61.19983949381665, 100.0, 18.13827594988971, 63.34080234932595, 50.73498997019909, 35.63302731739224, 45.555122210572506, 100.0, 20.20863054358712, 30.677365971169568, 77.20702996936834, 36.65778097612859, 50.97025187598241, 58.50322727086108, 99.36266179135471, 54.915471601339156, 72.64081753528174, 32.52318744177559, 32.52988114667259, 42.227081694996656, 85.12582313048985, 100.0, 100.0, 100.0, 41.464713592963264, 64.7897697910875, 41.47913013106247, 21.581147990309944]"
4,530.5166372753388,100.0,"[214.93063524475727, 486.77307820276155, 235.10530625614092, 518.4558552534244, 57.67970093715318, 243.76543491024506, 162.48556486105525, 113.32142909248341, 178.65385391241554, 518.4558552534244, 37.18160509601562, 82.3368573350634, 441.7111392564875, 92.27239845249004, 172.14236814826694, 217.46856004728892, 525.1739783815704, 190.32565385252678, 390.5227510434516, 75.7834696291128, 107.86137035813117, 116.35875742049137, 419.14237794102723, 530.5166372753388, 530.5166372753388, 530.5166372753388, 152.99980064566495, 259.29395392858527, 118.19429545961734, 33.51341417997162]","[58.88404087827378, 94.73505978400128, 61.19983949381665, 100.0, 29.6743468458334, 63.34080234932595, 52.52863542573638, 42.9067458745091, 55.44724993193293, 100.0, 23.47471595643558, 35.987062762422454, 95.09107668957391, 36.65778097612859, 54.2836853756627, 58.50322727086108, 99.36266179135471, 54.915471601339156, 88.09256071953763, 32.52318744177559, 41.747706714948116, 42.227081694996656, 92.03244211656302, 100.0, 100.0, 100.0, 50.76751614636941, 64.7897697910875, 41.47913013106247, 21.581147990309944]"
5,530.5166372753388,100.0,"[256.3549296619649, 486.77307820276155, 275.74786485603363, 518.4558552534244, 416.84771504199773, 243.76543491024506, 185.61302812083255, 159.9637714193108, 217.16566476513802, 518.4558552534244, 178.28788982602728, 174.23977723921024, 464.16112115131614, 208.17387056895996, 328.83097658485923, 217.7753364515853, 525.1739783815704, 190.32565385252678, 408.31949462981856, 275.62940648349166, 107.86137035813117, 228.88576390627009, 424.07133803318504, 530.5166372753388, 530.5166372753388, 530.5166372753388, 204.63700786923212, 272.8390180577857, 257.5156422009967, 128.6666282643883]","[66.30680915582737, 94.73505978400128, 69.21439435956682, 100.0, 88.80249834913181, 63.34080234932595, 55.00521071990166, 50.54678880541725, 60.20005791530688, 100.0, 53.75594294172645, 53.05767909593574, 94.9342810152216, 58.7480246643877, 76.8654968389601, 60.29775787440527, 99.36266179135471, 54.915471601339156, 87.67856001898275, 69.19683594060005, 41.747706714948116, 62.06230433685998, 89.74977960135772, 100.0, 100.0, 100.0, 58.17098743451183, 68.78253821882139, 66.48277962434426, 44.730098473197316]"
6,530.5166372753388,100.0,"[256.3549296619649, 486.77307820276155, 298.4481538854187, 518.4558552534244, 416.84771504199773, 243.76543491024506, 228.94436420812895, 159.9637714193108, 217.16566476513802, 518.4558552534244, 178.28788982602728, 474.0339534963907, 464.16112115131614, 208.17387056895996, 448.1110380258604, 217.7753364515853, 525.1739783815704, 257.8411009538536, 438.6768530834446, 275.62940648349166, 107.86137035813117, 228.88576390627009, 430.6872837536971, 530.5166372753388, 530.5166372753388, 530.5166372753388, 207.85525768620866, 304.6623130620833, 257.5156422009967, 349.2545486335364]","[66.30680915582737, 94.73505978400128, 74.51589063819098, 100.0, 88.80249834913181, 63.34080234932595, 63.723722009242344, 50.54678880541725, 60.20005791530688, 100.0, 53.75594294172645, 98.96310908980578, 94.9342810152216, 58.7480246643877, 95.5269756206866, 60.29775787440527, 99.36266179135471, 68.32177062601603, 94.26457842567015, 69.19683594060005, 41.747706714948116, 62.06230433685998, 93.19021766892868, 100.0, 100.0, 100.0, 60.2460256051573, 75.44026086680985, 66.48277962434426, 81.91931845121019]"
7,530.5166372753388,100.0,"[256.3549296619649, 486.77307820276155, 298.4481538854187, 518.4558552534244, 430.22694728944157, 432.5798994881967, 230.47597580035512, 159.9637714193108, 218.79038064656385, 518.4558552534244, 178.28788982602728, 474.0339534963907, 485.89866589687836, 208.5453162453342, 485.89866589687836, 220.8075270800965, 525.1739783815704, 465.0977148650914, 439.2683885295247, 275.62940648349166, 291.2501659107185, 228.88576390627009, 430.6872837536971, 530.5166372753388, 530.5166372753388, 530.5166372753388, 225.42096874402802, 373.8412769494142, 257.5156422009967, 349.2545486335364]","[66.30680915582737, 94.73505978400128, 74.51589063819098, 100.0, 92.65321314487652, 92.96826972187974, 63.66630104250783, 50.54678880541725, 61.768056977317094, 100.0, 53.75594294172645, 98.96310908980578, 100.0, 60.0755687528846, 100.0, 62.09810635028494, 99.36266179135471, 97.28008308675535, 93.86151020173638, 69.19683594060005, 73.07928558003587, 62.06230433685998, 93.19021766892868, 100.0, 100.0, 100.0, 62.84919117380258, 84.9619935747499, 66.48277962434426, 81.91931845121019]"
8,530.5166372753388,100.0,"[296.40885111781756, 486.77307820276155, 298.4481538854187, 526.8948621528431, 430.22694728944157, 526.8948621528431, 248.53885394141702, 230.2790199392455, 218.79038064656385, 526.8948621528431, 178.28788982602728, 474.0339534963907, 485.89866589687836, 434.1691200964457, 485.89866589687836, 220.8075270800965, 525.1739783815704, 526.8948621528431, 526.8948621528431, 335.3137949334245, 291.2501659107185, 259.05831365813196, 430.6872837536971, 530.5166372753388, 530.5166372753388, 530.5166372753388, 426.225333739166, 387.97439113133, 292.2158861341011, 349.2545486335364]","[70.37713685992406, 94.73505978400128, 74.51589063819098, 100.0, 92.65321314487652, 100.0, 63.46073552405558, 60.70925613801384, 61.768056977317094, 100.0, 53.75594294172645, 98.96310908980578, 100.0, 88.618458635324, 100.0, 62.09810635028494, 99.36266179135471, 100.0, 100.0, 75.7413209959758, 73.07928558003587, 65.01521650530127, 93.19021766892868, 100.0, 100.0, 100.0, 87.61608506707685, 82.71651146612983, 69.78640975454839, 81.91931845121019]"
9,530.5166372753388,100.0,"[343.72968209374596, 486.77307820276155, 298.4481538854187, 529.7929526274651, 498.4389912634415, 526.8948621528431, 282.8962666052083, 358.8828746051, 240.96383857753574, 529.7929526274651, 178.28788982602728, 526.9418489200373, 529.7929526274651, 434.1691200964457, 529.7929526274651, 220.8075270800965, 526.1610452918109, 526.8948621528431, 529.7929526274651, 520.6108626409535, 322.64089036767876, 259.05831365813196, 465.20078850314627, 530.5166372753388, 530.5166372753388, 530.5166372753388, 426.225333739166, 387.97439113133, 339.6260569395537, 349.2545486335364]","[76.62348951955266, 94.73505978400128, 74.51589063819098, 100.0, 96.23223593462168, 100.0, 68.24278477094744, 78.63895074421032, 62.12947368563728, 100.0, 53.75594294172645, 99.65960797584236, 100.0, 88.618458635324, 100.0, 62.09810635028494, 99.56631331721422, 100.0, 100.0, 98.90220920063466, 73.77402603411505, 65.01521650530127, 92.17451513797648, 100.0, 100.0, 100.0, 87.61608506707685, 82.71651146612983, 76.0732111506376, 81.91931845121019]"
10,530.5166372753388,100.0,"[446.67446387432244, 486.77307820276155, 395.42718511554375, 529.7929526274651, 498.4389912634415, 526.8948621528431, 356.03564678080716, 358.8828746051, 467.7577236975418, 529.7929526274651, 178.28788982602728, 526.9418489200373, 529.7929526274651, 434.1691200964457, 529.7929526274651, 220.8075270800965, 526.1610452918109, 526.8948621528431, 529.7929526274651, 520.6108626409535, 322.64089036767876, 266.2784551485396, 465.20078850314627, 530.5166372753388, 530.5166372753388, 530.5166372753388, 426.225333739166, 387.97439113133, 339.6260569395537, 383.995199349121]","[94.87346975535266, 94.73505978400128, 87.96475779941284, 100.0, 96.23223593462168, 100.0, 82.4925483987548, 78.63895074421032, 97.65726885165718, 100.0, 53.75594294172645, 99.65960797584236, 100.0, 88.618458635324, 100.0, 62.09810635028494, 99.56631331721422, 100.0, 100.0, 98.90220920063466, 73.77402603411505, 69.31389205488914, 92.17451513797648, 100.0, 100.0, 100.0, 87.61608506707685, 82.71651146612983, 76.0732111506376, 86.39254724840237]"
