Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,530.418996665392,98.72678409440529,"[251.23985175254984, 72.30913349812651, 90.65517347259218, 340.85855151875, 114.81584280946417, 530.418996665392, 378.0073818490778, 126.75646270366104, 215.1440383945772, 179.86575116069704]","[62.86646512083744, 31.364889479352662, 35.46034040934785, 75.26356232790529, 40.36828792853115, 98.72678409440529, 80.09850049891767, 42.640396055017035, 57.47351904094179, 51.887454082121735]"
2,530.418996665392,98.72678409440529,"[229.15263415211888, 64.58130921008821, 82.79124420404645, 308.8808161239414, 105.45124784814625, 476.8923966132439, 348.51488707915274, 118.37717864053886, 196.9903557343335, 163.9440301009288]","[62.960251678392645, 31.05408283448582, 35.534713822279414, 75.08669264888172, 40.58058534141172, 97.99597757144679, 80.7486391022987, 43.26513798887894, 57.68629013623494, 51.94327727636196]"
3,530.418996665392,98.72678409440529,"[231.8681899851497, 65.32494831743998, 85.53438730333187, 309.2160624591331, 107.55965346602338, 477.1333295785731, 350.10317261619406, 119.81272045050825, 199.49928439197615, 166.30088260830817]","[63.38087653110858, 31.24076879666239, 36.16597836716935, 75.11986200506897, 41.01905246879915, 98.00574431108183, 80.9544982777706, 43.547667668898185, 58.096219573909615, 52.35550733887921]"
4,530.418996665392,98.72678409440529,"[225.84866453562998, 65.60522344671081, 83.98452033474666, 300.8338167226488, 105.86700196473365, 461.33590979665837, 342.5518177002504, 116.99384243078995, 193.36775409225484, 161.77882767550628]","[63.65633045448539, 31.889388263911034, 36.47288532875466, 75.40200873587685, 41.4267771127848, 98.01037884859244, 81.5430790555738, 43.789054361062284, 58.180812959491526, 52.539492778149366]"
5,530.418996665392,98.72678409440529,"[223.1525651931052, 64.80080629164378, 85.71452814396713, 296.2823449165557, 104.31566854025166, 454.09326183162227, 334.87811798072835, 113.66742710190714, 191.33102046897073, 159.48642840233944]","[63.800727937520136, 31.95081602275832, 37.20445716772332, 75.43137163265564, 41.45276505144923, 98.014787299204, 81.20916967862576, 43.474760048462244, 58.35884692861954, 52.58799142970459]"
6,530.418996665392,98.72678409440529,"[215.93126782709305, 63.00733274116498, 85.70254799853056, 287.0245585280307, 101.46945986767219, 437.8368394192215, 323.48344812578847, 111.93262598864432, 184.65374102211166, 152.17443479467573]","[63.93357117672605, 32.09625111385075, 37.95280514459177, 75.64478252113942, 41.65512735797574, 98.01511187042392, 81.30002262195933, 43.98772784699274, 58.3904121814159, 52.276200113221186]"
7,530.418996665392,98.72678409440529,"[216.70814769708997, 65.43946376174017, 88.56318318177614, 289.08675254107317, 104.70149055476702, 440.2034800457234, 324.596861992816, 113.72798206073409, 186.43835876244324, 153.80200056959032]","[63.998502122003664, 32.728493782751244, 38.604127527571194, 75.88578694834546, 42.34173297480597, 98.23375944456477, 81.37823910362786, 44.33357583831581, 58.65226868608883, 52.53774027296611]"
8,530.418996665392,98.72678409440529,"[209.85299260468312, 62.146893836887976, 85.26032241757072, 278.510253279358, 100.9104423080817, 421.65873693103583, 311.3691475790411, 108.9496464226225, 180.22286548098145, 150.0200160336998]","[64.41113259581574, 32.57862556230669, 38.71350667916632, 76.15392717698698, 42.489340284020784, 98.24076358544463, 81.45479413067689, 44.33926607274109, 58.96579011607382, 53.0858441819073]"
9,530.418996665392,98.72678409440529,"[190.6793093612799, 58.0248869968469, 77.63621889600725, 252.55082221204464, 92.49214022029514, 380.9604323407798, 280.814497569478, 100.12099241700496, 163.21425071100666, 136.21463519127772]","[64.62562892510054, 33.164474264272215, 38.880560875105004, 76.32147434696655, 42.83016984679004, 98.24105212987722, 81.36686835379564, 44.76146153789107, 59.04661693298422, 53.236122099146534]"
10,530.418996665392,98.72678409440529,"[175.8300095497442, 55.197434143186406, 72.00370926036598, 231.78518143337197, 86.70786821615877, 347.4461159723231, 256.267900032206, 91.6881517823533, 145.05519296218924, 126.01898760309426]","[65.0453550356873, 33.9330834391177, 39.242354226095365, 76.61284599021386, 43.491363024443125, 98.2449772825855, 81.40037912589828, 44.865536207988775, 58.17527523566878, 53.67284599264808]"
