Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,554.8008245346175,100.0,"[554.8008245346175, 554.8008245346175, 554.8008245346175, 554.8008245346175, 554.8008245346175, 527.73103026784, 492.90821424979214, 468.06171282571904, 250.7096208679369, 436.1766613650533]","[100.0, 100.0, 100.0, 100.0, 100.0, 96.8976893919002, 98.39669170333252, 89.91719375844124, 61.89628733968415, 86.09391741969685]"
2,600.402666622487,100.0,"[441.3585646439632, 250.53241480921776, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487]","[82.63191076772598, 59.10613392184897, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
3,600.402666622487,100.0,"[600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 226.3403486131079, 130.1067000663986]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 58.63906949272161, 42.883522850231856]"
4,600.402666622487,100.0,"[600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 300.66524387843833, 32.5636167047185]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 67.1467082712663, 19.799413767806627]"
5,600.402666622487,100.0,"[600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 7.180210159099906, 149.1889484572194]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 9.488819626384204, 47.33237044881875]"
6,600.402666622487,100.0,"[600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 600.402666622487, 7.960305400429048, 296.50164753328886]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 9.564734096712934, 66.7364215080316]"
7,602.2898601750729,100.0,"[354.1439564991525, 8.976452195595089, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729]","[72.24823071981156, 9.948590270179203, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
8,602.2898601750729,100.0,"[602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 602.2898601750729, 304.4603236599538, 89.78941597667358]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 66.83520607674515, 33.63655235587998]"
9,621.1833520226197,100.0,"[527.2520836253317, 400.43139685511886, 621.1833520226197, 621.1833520226197, 621.1833520226197, 621.1833520226197, 621.1833520226197, 621.1833520226197, 621.1833520226197, 621.1833520226197]","[90.25503697760834, 76.32725038786032, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
10,630.5373764771505,100.0,"[4.151673011464595, 547.6779104185798, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505]","[6.5574788415585505, 91.55442213647358, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
11,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 335.4827812094294, 106.3782550775556]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 71.59630137985569, 37.290331290588284]"
12,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 426.1610023719719, 4.88170588071225]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 86.23989358792149, 7.701393770136766]"
13,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 114.57611408852732, 245.8458564666783]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 38.90234543583963, 59.78249359736729]"
14,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 346.41306389115834, 256.1111816707333]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 71.64704791500101, 60.03129712322834]"
15,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 16.183742892321263, 2.4456528123215624]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 13.95066416680959, 5.309099938287931]"
16,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 254.18672704471558, 6.0223385935560785]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 60.65530668407118, 8.251545345688738]"
17,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 376.81309748454356, 86.37753157636013]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 75.75837503582763, 32.90238405276257]"
18,630.5373764771505,100.0,"[630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 630.5373764771505, 424.87563525684897, 112.87114317837899]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 79.64215155666385, 37.30694769773818]"
19,642.8283841245357,100.0,"[616.1569392809304, 642.8283841245357, 642.8283841245357, 642.8283841245357, 642.8283841245357, 642.8283841245357, 642.8283841245357, 642.8283841245357, 642.8283841245357, 71.1433676353259]","[97.36427798965211, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 28.344434927117145]"
20,688.3754850801232,100.0,"[1.6601556582530228, 9.020383581937729, 688.3754850801232, 688.3754850801232, 688.3754850801232, 688.3754850801232, 688.3754850801232, 688.3754850801232, 688.3754850801232, 688.3754850801232]","[3.9430172284975806, 9.313947139504453, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
21,717.1496064824515,100.0,"[0.5030442790296397, 144.89234437179078, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515]","[2.116861681436466, 39.29990513171864, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
22,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 23.681703659102578, 406.7089542423386]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 15.609254500674563, 74.05515768054065]"
23,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 366.4322699186624, 17.68245266011886]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 73.38668250752328, 14.04878970515303]"
24,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 152.13933796520612, 153.49342241084614]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 44.77303239407657, 44.99493144267935]"
25,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 233.35465605009844, 0.07374974655354333]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 57.32903433829619, 0.891117173775946]"
26,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 7.012096472919485, 180.3837384459287]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 8.789759622552197, 49.06555252815525]"
27,717.1496064824515,100.0,"[717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 717.1496064824515, 386.0402884564006, 14.886142914980539]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 80.09912295411054, 13.489365674360897]"
