Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,486.7120177263172,95.60298302227095,"[473.64523740556695, 449.860098029422, 403.3391246971827, 422.02855378925653, 118.78882704543372, 470.7814102700576, 408.32047747420546, 389.3721397896804, 472.09576659818356, 458.0689254114296, 242.4841600591466, 435.14359702535637, 486.7120177263172, 430.74356847027246, 357.85804427980185, 311.5295065338363, 15.912241994105818, 311.3407722466613, 16.708559059847403, 445.2647228721223, 250.65045324874993, 2.2886089142141977, 251.9919948480319, 187.4422646822994, 76.81730997337137, 76.22647911024617, 202.35639334249103, 233.73418104131483, 213.2864279063809, 260.2725748123376]","[93.99046066905959, 91.02630056377902, 85.10761792338752, 87.50608737822091, 42.7140480896628, 95.59892954098184, 87.51633706827967, 85.0019090755012, 93.79852103082735, 93.97709425646241, 64.0706233702722, 91.02350429790165, 95.60298302227095, 90.45214234579045, 79.13787816343437, 72.82574154646613, 14.372313935361113, 74.25552853131016, 14.740793963066078, 90.44906413865048, 64.06733164057816, 5.330785862109034, 65.5273538591334, 55.21924345367759, 33.02504814607231, 32.88707535303104, 57.697047436978444, 61.51490702684109, 59.47266769429944, 65.49364351002353]"
2,518.4303811159211,95.60069187226692,"[473.64523740556695, 474.275584409449, 403.3391246971827, 422.02855378925653, 332.11541075107885, 479.2028545240472, 408.32047747420546, 449.7214278095664, 472.09576659818356, 458.0689254114296, 518.4004826230803, 435.14359702535637, 486.7120177263172, 430.74356847027246, 357.85804427980185, 88.34836691810209, 123.84550712843163, 518.4303811159211, 42.01933690025232, 445.2647228721223, 504.58573840449526, 205.27638228072527, 391.0352412464491, 428.7608357672113, 381.2822813500575, 504.4523378265677, 429.7721286444926, 426.2582375684615, 502.8551346218443, 129.88545936014785]","[93.99046066905959, 90.44616049249385, 85.10761792338752, 87.50608737822091, 72.86117674293378, 91.02720062624944, 87.51633706827967, 87.52676003268067, 93.79852103082735, 93.97709425646241, 95.59723954755239, 91.02350429790165, 95.60298302227095, 90.45214234579045, 79.13787816343437, 34.42986855971911, 41.43868859764618, 95.60069187226692, 23.113315601292904, 90.44906413865048, 93.99678100923015, 55.046049445941726, 80.36715143861225, 85.00093699448075, 79.1489758194279, 93.98127394407896, 85.12355746922097, 84.69715353605885, 93.79552870588763, 42.54662606404081]"
3,518.4303811159211,95.60069187226692,"[498.12014444155426, 474.275584409449, 471.4066108420818, 509.93482304052304, 73.27576898647402, 479.2028545240472, 494.6269972417995, 466.5463731886486, 472.09576659818356, 509.92508509653493, 518.4004826230803, 435.14359702535637, 486.7120177263172, 494.67554613918134, 509.803456528229, 466.5713558552363, 370.46615759949646, 518.4303811159211, 496.00475938849826, 445.2647228721223, 504.58573840449526, 442.23344588785505, 390.2177446525203, 284.6027262852545, 14.795602490107225, 504.4523378265677, 31.32672457933475, 496.3156948487643, 502.8551346218443, 133.0303239992069]","[94.20491825110015, 90.44616049249385, 91.02930901475206, 95.59575460672866, 31.388060769953253, 91.02720062624944, 93.79214505299498, 90.44667664313738, 93.79852103082735, 95.59461152765827, 95.59723954755239, 91.02350429790165, 95.60298302227095, 93.79788687064242, 95.58033382711153, 90.44967548742235, 78.56184837694701, 95.60069187226692, 93.95503679007157, 90.44906413865048, 93.99678100923015, 87.50791029836672, 81.06897671493837, 67.15217369747913, 13.510320593862712, 93.98127394407896, 19.969839632015162, 93.9917828585392, 93.79552870588763, 43.51136687615407]"
4,538.3095263568388,95.62333247498414,"[498.12014444155426, 345.2431163301796, 1.7527027690126142, 521.9413777444153, 398.437744889937, 0.49845418931254226, 523.1819705471304, 523.7621607829033, 131.65397844257075, 509.92508509653493, 525.4842129327535, 248.48637741810708, 486.7120177263172, 538.0330670750775, 509.803456528229, 538.2009656254104, 492.22595404850443, 518.4303811159211, 496.00475938849826, 492.2395494264167, 504.58573840449526, 537.8616549061145, 497.3648736623651, 25.342780972660282, 538.045027357556, 504.4523378265677, 521.8381602973519, 521.9084897404668, 502.8551346218443, 538.3095263568388]","[94.20491825110015, 72.92699973196066, 4.426696709235889, 93.79572406872, 79.4729346917885, 2.348522072475445, 93.93473602498015, 93.99971982395037, 41.990576828219325, 95.59461152765827, 94.19249179525848, 60.1333634869704, 95.60298302227095, 95.59257857542069, 95.58033382711153, 95.61125641607444, 90.44053240045223, 95.60069187226692, 93.95503679007157, 90.44207908885853, 93.99678100923015, 95.57350839334973, 91.02438417135008, 17.376296916284893, 95.59390914176866, 93.98127394407896, 93.78415455270951, 93.7920377549381, 93.79552870588763, 95.62333247498414]"
5,538.3095263568388,95.62333247498414,"[322.41030752523153, 524.1370934501919, 524.0020062276496, 521.9413777444153, 511.6670335203079, 80.43264223510133, 523.1819705471304, 523.7621607829033, 363.0770841140317, 523.9310562171057, 525.4842129327535, 524.0188098842233, 160.225531105255, 538.0330670750775, 509.803456528229, 538.2009656254104, 509.59184279932236, 523.9642463084369, 524.134588854247, 524.3141516540009, 421.3484227692459, 537.8616549061145, 355.75993289666854, 509.71062019065977, 538.045027357556, 479.8126917416859, 521.8381602973519, 521.9084897404668, 511.89392742341715, 538.3095263568388]","[71.12981321452237, 95.60866892698434, 95.59323855104077, 93.79572406872, 94.18011380617017, 32.52773177534576, 93.93473602498015, 93.99971982395037, 76.35316673919107, 95.58513387676982, 94.19249179525848, 95.59515800637088, 47.547266290827, 95.59257857542069, 95.58033382711153, 95.61125641607444, 93.94155180226753, 95.58892523981821, 95.60838284765192, 95.62889197857884, 83.54658818579941, 95.57350839334973, 75.42694350624313, 93.95521284978453, 95.59390914176866, 90.49058206029991, 93.78415455270951, 93.7920377549381, 94.2061827287491, 95.62333247498414]"
6,538.3095263568388,95.62333247498414,"[2.227544643034194, 524.1370934501919, 524.0020062276496, 521.9413777444153, 511.6670335203079, 56.0691963718522, 523.1819705471304, 523.7621607829033, 399.97302233594786, 523.9310562171057, 525.4842129327535, 524.0188098842233, 289.73313721989746, 538.0330670750775, 509.803456528229, 538.2009656254104, 509.59184279932236, 523.9642463084369, 524.134588854247, 524.3141516540009, 0.09700050348157638, 537.8616549061145, 80.68647757445548, 509.71062019065977, 538.045027357556, 193.23689804083213, 521.8381602973519, 521.9084897404668, 511.89392742341715, 538.3095263568388]","[5.154892833692215, 95.60866892698434, 95.59323855104077, 93.79572406872, 94.18011380617017, 27.29326552386603, 93.93473602498015, 93.99971982395037, 82.67234504922078, 95.58513387676982, 94.19249179525848, 95.59515800637088, 68.1636321485178, 95.59257857542069, 95.58033382711153, 95.61125641607444, 93.94155180226753, 95.58892523981821, 95.60838284765192, 95.62889197857884, 1.0648187791133856, 95.57350839334973, 33.20381489011012, 93.95521284978453, 95.59390914176866, 53.91256742164325, 93.78415455270951, 93.7920377549381, 94.2061827287491, 95.62333247498414]"
7,541.2522738521093,95.63662669036196,"[526.5290654389786, 524.1370934501919, 524.0020062276496, 540.8179898198174, 40.96343976143267, 35.66699536618316, 525.9667251186723, 540.6984815867474, 6.890862748048023, 523.9310562171057, 528.3785492470988, 540.7162872621544, 37.99084596525912, 538.0330670750775, 541.1660345296485, 540.1508857737281, 541.0553625082588, 524.5506634890424, 541.2522738521093, 541.1895231710668, 540.8305699090893, 537.8616549061145, 540.8183182302471, 172.5379826712581, 541.0563842101519, 540.8626607564871, 525.9441031760186, 80.56902846981045, 250.64777311992736, 540.7917817523057]","[94.0020125411779, 95.60866892698434, 95.59323855104077, 95.58856894455457, 22.29766800870996, 20.72769410228045, 93.93935746262014, 95.5753425434643, 8.850686293953913, 95.58513387676982, 94.20796195483275, 95.57731320617135, 21.428480164995236, 95.59257857542069, 95.62708422172537, 95.51472902386686, 95.61483770579976, 93.7815081596267, 95.63662669036196, 95.62968330056907, 95.58996118620516, 95.57350839334973, 95.58860528992021, 48.693513621200914, 95.61495076597622, 95.59351265252835, 93.9368366125335, 32.0042610991931, 60.25280206640646, 95.58566846569478]"
8,541.2522738521093,95.63662669036196,"[526.5290654389786, 524.1370934501919, 534.7631464325084, 540.8179898198174, 234.4479050110751, 346.22573099000795, 535.0801904832146, 540.6984815867474, 41.40452452144964, 118.9619645266141, 528.3785492470988, 540.7162872621544, 433.56439636186025, 538.0330670750775, 541.1660345296485, 540.1508857737281, 541.0553625082588, 524.5506634890424, 541.2522738521093, 541.1895231710668, 540.8305699090893, 537.8616549061145, 540.8183182302471, 217.24982118179352, 541.0563842101519, 540.8626607564871, 534.2339435807422, 534.901073267394, 75.24991958917066, 540.7917817523057]","[94.0020125411779, 95.60866892698434, 95.5965271979595, 95.58856894455457, 58.35594304536923, 73.31924942811247, 95.6320129145272, 95.5753425434643, 22.559666473951367, 39.838126745209536, 94.20796195483275, 95.57731320617135, 83.97109350758119, 95.59257857542069, 95.62708422172537, 95.51472902386686, 95.61483770579976, 93.7815081596267, 95.63662669036196, 95.62968330056907, 95.58996118620516, 95.57350839334973, 95.58860528992021, 55.85812951034577, 95.61495076597622, 95.59351265252835, 95.53728377456441, 95.61196553465119, 31.035119037853875, 95.58566846569478]"
9,588.5244461552203,96.41942784679097,"[580.9833526622822, 309.77676230514334, 580.8543407083174, 580.8342030316636, 96.06838503725436, 581.0805380259739, 580.816505408019, 580.8163116761424, 562.971914685148, 263.8395705866999, 392.1956508952963, 579.7259708884371, 588.5244461552203, 538.0330670750775, 580.3008013752543, 580.7913269694732, 579.9470863253558, 580.5793788760544, 580.4099451595293, 541.1895231710668, 580.612795706974, 537.8616549061145, 540.8183182302471, 580.5326672797287, 580.7255909277676, 540.8626607564871, 187.5585875625499, 534.901073267394, 349.0817140531975, 540.7917817523057]","[95.64323407895904, 65.40724894238502, 95.62993379418849, 95.62785766693109, 33.8831804964105, 95.65325277497, 95.62603308647758, 95.62601311313355, 93.77925183996359, 59.579809485311856, 75.20657664101378, 95.51357548585742, 96.41942784679097, 95.59257857542069, 95.57285933086732, 95.6234372294282, 95.536381427934, 95.60158462732939, 95.58411400648724, 95.62968330056907, 95.60503015085177, 95.57350839334973, 95.58860528992021, 95.59676823350303, 95.6166598182648, 95.59351265252835, 49.044380778539406, 95.61196553465119, 70.17092278276672, 95.58566846569478]"
10,588.5244461552203,96.41942784679097,"[580.9833526622822, 289.69761781156575, 580.8543407083174, 580.8342030316636, 543.6302448649758, 581.0805380259739, 580.816505408019, 580.8163116761424, 562.971914685148, 101.90466628659627, 548.3120521446235, 579.7259708884371, 588.5244461552203, 538.0330670750775, 580.3008013752543, 580.7913269694732, 579.9470863253558, 580.5793788760544, 580.4099451595293, 541.1895231710668, 580.612795706974, 259.13577537166583, 540.8183182302471, 580.5326672797287, 580.7255909277676, 540.8626607564871, 483.49682879138095, 4.4007744639113415, 307.93937461398707, 540.7917817523057]","[95.64323407895904, 65.88385296663401, 95.62993379418849, 95.62785766693109, 96.42314936397764, 95.65325277497, 95.62603308647758, 95.62601311313355, 93.77925183996359, 36.538333763576524, 96.94350591432617, 95.51357548585742, 96.41942784679097, 95.59257857542069, 95.57285933086732, 95.6234372294282, 95.536381427934, 95.60158462732939, 95.58411400648724, 95.62968330056907, 95.60503015085177, 61.736655889786185, 95.58860528992021, 95.59676823350303, 95.6166598182648, 95.59351265252835, 89.63630567394142, 7.072707359632647, 68.29084032335366, 95.58566846569478]"
