Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,555.6693659875486,100.0,"[384.8243051164043, 15.382031611460967, 394.1274671298168, 38.69780466302768, 134.8032847663842, 123.70018267082631, 555.6693659875486, 135.6231121242697, 0.7799319375045443, 79.87890430733346]","[84.39351697411196, 14.367267835331166, 80.8566402702703, 22.153582844143127, 43.48583858281431, 43.686600223664584, 100.0, 43.63273241914651, 3.1469595923907523, 34.34766182506552]"
2,555.6693659875486,100.0,"[384.8243051164043, 308.07594156292384, 394.1274671298168, 380.12041592326636, 253.99701124539376, 123.70018267082631, 555.6693659875486, 508.0773408609719, 262.66448731940073, 508.0773408609719]","[84.39351697411196, 73.58324157362938, 80.8566402702703, 83.52252270205146, 65.65134166886841, 43.686600223664584, 100.0, 100.0, 66.95628946903788, 100.0]"
3,555.6693659875486,100.0,"[384.8243051164043, 308.07594156292384, 394.1274671298168, 380.12041592326636, 392.0038765004573, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[84.39351697411196, 73.58324157362938, 80.8566402702703, 83.52252270205146, 86.81801816164116, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
4,555.6693659875486,100.0,"[384.8243051164043, 308.07594156292384, 394.1274671298168, 380.12041592326636, 392.0038765004573, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[84.39351697411196, 73.58324157362938, 80.8566402702703, 83.52252270205146, 86.81801816164116, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
5,555.6693659875486,100.0,"[395.14725031572266, 347.5187532180705, 394.1274671298168, 430.40695063215304, 428.42120346140587, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[94.76944306437883, 87.51481357928957, 80.8566402702703, 100.0, 99.70820475789571, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
6,555.6693659875486,100.0,"[436.84192459878466, 442.68166202839325, 442.68166202839325, 430.40695063215304, 428.42120346140587, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[99.16483340789154, 100.0, 100.0, 100.0, 99.70820475789571, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
7,555.6693659875486,100.0,"[436.84192459878466, 442.68166202839325, 442.68166202839325, 430.40695063215304, 428.42120346140587, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[99.16483340789154, 100.0, 100.0, 100.0, 99.70820475789571, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
8,555.6693659875486,100.0,"[437.2945784382664, 442.68166202839325, 442.68166202839325, 437.2945784382664, 437.2945784382664, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
9,555.6693659875486,100.0,"[456.4604779765724, 456.4604779765724, 456.4604779765724, 456.4604779765724, 456.4604779765724, 483.7495502977209, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 98.95604175986442, 100.0, 100.0, 100.0, 100.0]"
10,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
11,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
12,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
13,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
14,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
15,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
16,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
17,555.6693659875486,100.0,"[488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 488.8242978744648, 555.6693659875486, 508.0773408609719, 491.8569470283573, 508.0773408609719]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
