Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,494.79026541729274,100.0,"[244.9460716406882, 193.15284139320838, 494.79026541729274, 493.6759426416337, 336.3954406966805, 476.3951179064618, 255.32738694626707, 69.32319356727915, 494.79026541729274, 165.2163440849888]","[65.27634744354631, 56.88264714607885, 100.0, 99.85760207790763, 78.81200967687408, 97.6395115954622, 66.8843080414818, 32.18364761473809, 100.0, 52.031233158276]"
2,526.9973413990067,100.0,"[526.9973413990067, 526.9973413990067, 501.4040063278008, 438.40671481972646, 526.9973413990067, 431.8434343235336, 300.81950702681416, 345.0207113069407, 456.3768504230479, 526.9973413990067]","[100.0, 100.0, 96.91223885940713, 89.14048777919682, 100.0, 88.31491591969424, 70.98753180128773, 77.04073944819991, 91.38461298782683, 100.0]"
3,526.9973413990067,100.0,"[486.11297612667227, 496.7758697019456, 496.7758697019456, 496.7758697019456, 463.8135448846481, 411.1385903226082, 496.7758697019456, 463.93473511110494, 447.7549888541759, 479.14362090690906]","[98.63976985743899, 100.0, 100.0, 100.0, 95.77189719124097, 88.85703007218054, 100.0, 95.787571842065, 93.68586174731693, 97.74691226241966]"
4,534.7051365470533,100.0,"[529.0421640556423, 534.7051365470533, 534.7051365470533, 534.7051365470533, 512.5068657837737, 534.7051365470533, 534.7051365470533, 504.4725860371906, 520.2856381857783, 534.7051365470533]","[99.32970156615077, 100.0, 100.0, 100.0, 97.36273252647248, 100.0, 100.0, 96.40155511673517, 98.28990719660878, 100.0]"
5,534.7051365470533,100.0,"[532.662271416971, 520.13364013369, 496.19875645486684, 508.84729257484327, 532.662271416971, 532.662271416971, 532.662271416971, 532.662271416971, 517.1351229586558, 532.662271416971]","[100.0, 98.50907364410047, 95.63675074336251, 97.15869691427814, 100.0, 100.0, 100.0, 100.0, 98.15099682708451, 100.0]"
6,540.5042991840562,100.0,"[537.6381152022261, 530.7635441634562, 522.7965216663197, 540.5042991840562, 539.4086301657395, 540.5042991840562, 540.5042991840562, 540.5042991840562, 530.0227546829994, 531.0931785009507]","[99.66459197641996, 98.85840178251054, 97.92101157796239, 100.0, 99.87183110790698, 100.0, 100.0, 100.0, 98.77138243664028, 98.89711419390211]"
7,540.5042991840562,100.0,"[486.4669185152688, 486.4669185152688, 486.4669185152688, 486.4669185152688, 484.8226866066856, 476.46288150069637, 469.204217735038, 483.26278740379723, 486.4669185152688, 486.4669185152688]","[100.0, 100.0, 100.0, 100.0, 99.78626251512308, 98.6969136073472, 97.74739042080299, 99.58333138583389, 100.0, 100.0]"
8,540.5042991840562,100.0,"[529.5319545354871, 529.5319545354871, 529.5319545354871, 518.3573556056425, 529.5319545354871, 529.5319545354871, 529.5319545354871, 529.5319545354871, 529.5319545354871, 528.6636940236405]","[100.0, 100.0, 100.0, 98.66273073541794, 100.0, 100.0, 100.0, 100.0, 100.0, 99.89633296648304]"
9,540.5042991840562,100.0,"[469.13902481892757, 478.1149327011232, 479.85996248035104, 479.85996248035104, 467.3479664374661, 470.19671066575245, 453.7025517870427, 479.5850000537559, 479.85996248035104, 479.85996248035104]","[98.58400551363391, 99.77002942403814, 100.0, 100.0, 98.34670855629288, 98.72403748097183, 96.5316331683338, 99.96377672640754, 100.0, 100.0]"
10,540.5042991840562,100.0,"[466.28339005445815, 475.36071435508813, 473.11310724969593, 475.36071435508813, 475.36071435508813, 475.36071435508813, 475.36071435508813, 467.05718220410097, 473.1793444588648, 475.36071435508813]","[98.79021043957711, 100.0, 99.7009550612556, 100.0, 100.0, 100.0, 100.0, 98.89355243998463, 99.70977267425859, 100.0]"
11,540.5042991840562,100.0,"[495.21218477585654, 484.864550225491, 494.95770337393657, 495.21218477585654, 484.8787328020939, 495.21218477585654, 495.21218477585654, 495.21218477585654, 494.3106588451387, 495.21218477585654]","[100.0, 98.6759081578559, 99.96751442194284, 100.0, 98.67772748672954, 100.0, 100.0, 100.0, 99.88489906704748, 100.0]"
12,540.5042991840562,100.0,"[475.23304540205356, 492.0930775117474, 460.7698284857074, 492.0930775117474, 474.0069112455135, 492.0930775117474, 492.0930775117474, 492.0930775117474, 492.0930775117474, 492.0930775117474]","[97.82541102133219, 100.0, 95.9452857808169, 100.0, 97.66656012097529, 100.0, 100.0, 100.0, 100.0, 100.0]"
13,540.5042991840562,100.0,"[509.76867704999114, 509.76867704999114, 509.76867704999114, 497.3137264173863, 509.76867704999114, 494.2554859253107, 478.3616139087189, 509.76867704999114, 507.28164504057725, 509.76867704999114]","[100.0, 100.0, 100.0, 98.45110938265405, 100.0, 98.06939704918456, 96.07641017723466, 100.0, 99.69142891995385, 100.0]"
14,540.5042991840562,100.0,"[478.85751431076756, 478.85751431076756, 477.181264964028, 478.85751431076756, 478.85751431076756, 477.30800922345435, 476.9431147210152, 478.85751431076756, 478.85751431076756, 475.0584893242828]","[100.0, 100.0, 99.7786347924764, 100.0, 100.0, 99.7953789407635, 99.7471700261882, 100.0, 100.0, 99.49804096659224]"
15,540.5042991840562,100.0,"[441.9070768955324, 441.9070768955324, 412.4105342502889, 441.9070768955324, 441.9070768955324, 423.38648383802285, 427.3438271127013, 440.6588309043706, 441.9070768955324, 440.7533409465487]","[100.0, 100.0, 95.74646489862099, 100.0, 100.0, 97.33747109850967, 97.90865976570942, 99.82138743177957, 100.0, 99.8349150717005]"
16,540.5042991840562,100.0,"[477.54400597601705, 462.6385648771488, 463.746021876414, 480.1775157693986, 480.1775157693986, 480.1775157693986, 480.1775157693986, 480.1775157693986, 480.1775157693986, 474.8418509967167]","[99.65309473988475, 97.68107269476359, 97.82810389294046, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.29668241250444]"
17,540.5042991840562,100.0,"[511.68312430719556, 521.2244585424953, 521.2244585424953, 504.0547450944451, 521.2244585424953, 505.78878953153225, 521.2244585424953, 520.1436915154651, 521.2244585424953, 521.2244585424953]","[98.84037173291682, 100.0, 100.0, 97.90957371519383, 100.0, 98.12144965456937, 100.0, 99.86889717519145, 100.0, 100.0]"
18,540.5042991840562,100.0,"[490.7497147097397, 490.7497147097397, 490.7497147097397, 490.7497147097397, 490.7497147097397, 475.92070134191414, 490.7497147097397, 490.7497147097397, 480.9509728246477, 490.7497147097397]","[100.0, 100.0, 100.0, 100.0, 100.0, 98.08307146278332, 100.0, 100.0, 98.73488336796318, 100.0]"
19,540.5042991840562,100.0,"[447.7749272711599, 446.59018862927206, 447.37937348622074, 447.7749272711599, 447.7749272711599, 434.9767412633922, 442.2020189713508, 431.79537754366726, 420.31838044428844, 447.7749272711599]","[100.0, 99.83269977962293, 99.94415422546714, 100.0, 100.0, 98.18717107491294, 99.21212884573696, 97.73459508072646, 96.0951924014999, 100.0]"
20,540.5042991840562,100.0,"[482.29233533548756, 482.29233533548756, 472.9446966728356, 472.60853794049507, 478.2390750050109, 481.94446559876786, 477.1977617979485, 482.29233533548756, 482.29233533548756, 482.29233533548756]","[100.0, 100.0, 98.77204739599539, 98.72778233788617, 99.46823399776727, 99.95440233100295, 99.33144956846058, 100.0, 100.0, 100.0]"
21,540.5042991840562,100.0,"[489.3083882099358, 486.19160589255677, 489.3083882099358, 489.3083882099358, 484.22274416079904, 482.1731248877725, 465.8913580203945, 488.62792309881695, 474.6264078693882, 489.3083882099358]","[100.0, 99.59705423008442, 100.0, 100.0, 99.34220386189283, 99.07664210690297, 96.9574582166707, 99.91207884206685, 98.09653617877781, 100.0]"
22,540.5042991840562,100.0,"[518.6962518657268, 529.8576594526372, 526.3227764665212, 515.6799863672984, 519.3678310364925, 529.8576594526372, 529.8576594526372, 529.7202110705898, 529.8576594526372, 529.8576594526372]","[98.66513642973644, 100.0, 99.57795965905733, 98.3032467509093, 98.74564429661304, 100.0, 100.0, 99.98360190373162, 100.0, 100.0]"
