Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,362.5895472189872,79.94830116706804,"[176.94619562380473, 194.23904382608399, 168.92455188892396, 170.33635402283156, 176.53879999252788, 301.0902496949363, 57.19678842871929, 135.0635817846369, 1.1593664567655562, 362.5895472189872]","[52.54476960294414, 55.41311829952501, 51.18009532055794, 51.42195949813267, 52.47601070929906, 71.52306234134072, 28.226944831583154, 45.13172425173308, 3.7866938475623018, 79.94830116706804]"
2,183.716167905045,55.9063958090832,"[164.42525621029003, 164.77206014703515, 175.83321975585258, 153.97900351958708, 119.44960787339721, 8.97407326798501, 158.08654539536943, 157.86304973477544, 163.26779018644712, 183.716167905045]","[52.47896472723798, 52.541815585005224, 54.52214690388537, 50.56254208613899, 43.85046512220291, 11.116324045917327, 51.32158400910447, 51.28047080958614, 52.26885018956799, 55.9063958090832]"
3,198.05223750555237,55.57673273481933,"[191.0613507403125, 179.5478484501507, 9.77483108358765, 170.7319684075202, 180.2338248196388, 173.99827266860598, 177.40231233757038, 198.05223750555237, 173.9047154763383, 71.693674160104]","[54.447129991779725, 52.553981639343625, 11.116324045917327, 51.07457941260641, 52.66797709043145, 51.62587182167557, 52.1964145729158, 55.57673273481933, 51.61013388385001, 31.632172176465353]"
4,200.57449006116735,55.57673273481933,"[75.99236664561255, 177.73667646752867, 168.8111610267145, 90.688358469124, 177.5252208695494, 177.1746953199833, 113.4908049618763, 47.27367102602083, 200.57449006116735, 177.55532221380162]","[32.42181057142898, 51.878338695467825, 50.38671163945861, 35.69259052878647, 51.84332116288374, 51.78523988906629, 40.36807065527474, 25.131948035128342, 55.57673273481933, 51.848306940204495]"
5,201.8932996326536,53.562595458488815,"[201.8932996326536, 91.1843458813131, 104.90835965851443, 181.32969219362704, 190.6610913177411, 190.6312283923911, 81.92458590782176, 145.18379814817644, 143.51866433842946, 166.42562651955765]","[53.562595458488815, 34.43594784775949, 37.17525943236386, 50.395669791890434, 51.84811717998333, 51.8435109231049, 32.49114605235104, 44.484123145661044, 44.19910664854208, 48.01727094693716]"
6,189.11897485251058,51.778095213340606,"[170.97354995243492, 189.11897485251058, 104.30808893292739, 159.30197009382965, 171.7822937584842, 138.73412236751807, 150.35586997522105, 154.41743691210633, 169.612037367173, 131.71266387887084]","[48.908923033559205, 51.778095213340606, 37.17525943236386, 47.0034933787305, 49.039124192916475, 43.51158667999137, 45.50718367547739, 46.1905807325576, 48.689212204993886, 42.2746228976834]"
7,192.53999076161676,51.49879595962503,"[122.37559644734192, 126.45370365678716, 181.47406487150633, 189.3512647173509, 192.53999076161676, 177.51995562556095, 168.7473980048797, 164.18009664978015, 175.73498775355995, 173.25997781112932]","[39.97846484028929, 40.708381272065935, 49.803254156322225, 51.013965249934856, 51.49879595962503, 49.18822228727479, 47.80522968333403, 47.07456325421745, 48.908923033559205, 48.51989924274041]"
8,181.01771372262579,50.387097449715185,"[145.5445491893096, 153.52901219805733, 171.71328253782963, 167.75025711653146, 168.82342396105577, 163.98075742131823, 161.32025948023488, 172.37395385947235, 169.75233578382876, 181.01771372262579]","[44.58101133551348, 45.93062409287468, 48.908923033559205, 48.27033869298957, 48.44381402390367, 47.657690166439345, 47.22210277111214, 49.014844834655136, 48.59363900500112, 50.387097449715185]"
9,181.13250979597458,49.84463410602165,"[170.1398510120604, 172.90390948734296, 172.49128816862742, 171.75705271101847, 179.28644127910988, 181.13250979597458, 162.59886970522172, 173.6536356180978, 172.9113141220389, 172.4332554164089]","[48.11718122925761, 48.55535377183687, 48.490109804531826, 48.373867893458865, 49.55730817834867, 49.84463410602165, 46.90796598486599, 48.67375271787705, 48.55652406743208, 48.48092896147271]"
10,162.94994401463615,49.28410041503143,"[158.2957069785588, 158.2876058850824, 162.94994401463615, 161.52928084024535, 158.2615051918635, 156.2165631923961, 157.39971418910363, 156.40400978452817, 150.74851636126022, 156.16006156401414]","[48.48621754968491, 48.48482121631963, 49.28410041503143, 49.04146265246294, 48.48032222652386, 48.12696880726558, 48.33161907493575, 48.159430047780724, 47.173510016822775, 48.11718122925761]"
