Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,505.6964470628461,100.0,"[505.6964470628461, 364.38213530917915, 340.01201576315356, 491.6585007038314, 0.0, 497.3820605540076, 151.8004625729197, 317.40733015206297, 204.12582591022294, 354.29054587139774]","[100.0, 81.63378022648071, 78.28576178678095, 98.23948831952889, 0.0, 98.95869329175355, 48.99091098875988, 75.11720854394983, 57.9867068050267, 80.25541262183128]"
2,462.8160395020673,100.0,"[20.31886711946795, 413.8998159127928, 355.44416408462934, 462.8160395020673, 24.846013548510257, 462.8160395020673, 462.8160395020673, 462.8160395020673, 17.49554405214799, 132.6124362954973]","[17.388048779807516, 93.2307666029654, 84.86887669774681, 100.0, 19.317937493931964, 100.0, 100.0, 100.0, 16.08378369460569, 47.72522330164705]"
3,503.9627987894633,100.0,"[503.9627987894633, 446.22548257468924, 503.9627987894633, 494.73196578129244, 359.106992280732, 503.9627987894633, 503.9627987894633, 329.30834369303903, 264.9546640698202, 449.28678812093676]","[100.0, 92.65374228695909, 100.0, 98.83968088359279, 81.08331884912351, 100.0, 100.0, 76.95203908207858, 67.62135458298444, 93.04888377562402]"
4,464.15186714803207,100.0,"[372.50852292939487, 329.32287119831926, 185.37722978369447, 187.88060146256296, 136.55017401956775, 451.5085825573073, 449.504069332365, 312.37827230802236, 464.15186714803207, 464.15186714803207]","[87.19037164767254, 80.87261709970569, 57.633625560418956, 58.08004311526796, 48.43825441262154, 98.27258016311077, 97.99766729886456, 78.33101284284159, 100.0, 100.0]"
5,479.1886237225959,100.0,"[479.1886237225959, 458.02867705508856, 380.17404747202465, 301.46152470470275, 479.1886237225959, 479.1886237225959, 361.94065029498745, 479.1886237225959, 479.1886237225959, 479.1886237225959]","[100.0, 97.19393330699792, 86.57582679202467, 75.22062935731093, 100.0, 100.0, 84.00966828756155, 100.0, 100.0, 100.0]"
6,498.5741736397718,100.0,"[498.5741736397718, 297.86255588276373, 346.8951797517615, 0.8510484777815102, 498.5741736397718, 88.0668995624216, 288.6470856246351, 498.5741736397718, 383.04583680873867, 498.5741736397718]","[100.0, 72.93567477307823, 79.92048924854741, 3.312060929716315, 100.0, 36.506791166283, 71.58543589964499, 100.0, 84.8877617893291, 100.0]"
7,501.78031989046053,100.0,"[501.78031989046053, 501.78031989046053, 396.070111573261, 113.24981665488518, 293.23154302578934, 501.78031989046053, 180.2988604081214, 501.78031989046053, 501.78031989046053, 268.38213817404164]","[100.0, 100.0, 86.3049337037286, 41.777704549465284, 71.98398644136512, 100.0, 54.247828143803645, 100.0, 100.0, 68.30938187246876]"
8,486.7735090187149,100.0,"[486.7735090187149, 486.7735090187149, 276.4597072201158, 22.233230439112972, 486.7735090187149, 486.7735090187149, 1.5885392485576366, 234.32388443376993, 486.7735090187149, 108.9100268202557]","[100.0, 100.0, 70.77541489662362, 17.751121069746798, 100.0, 100.0, 4.5941417906010855, 64.21683834463418, 100.0, 41.576695673351345]"
9,447.6769016334244,100.0,"[447.6769016334244, 243.6844796166355, 171.29315199280168, 127.06909831587231, 385.62206332188, 49.2655138002674, 447.6769016334244, 223.10426086387685, 447.6769016334244, 312.2008781028464]","[100.0, 69.02017505753314, 56.23255716018079, 47.47285168690642, 91.08258317752218, 28.258448948991514, 100.0, 65.53144745964734, 100.0, 80.03200881083458]"
10,454.08437747218784,100.0,"[374.402703793745, 267.0073629637439, 454.08437747218784, 175.4938256176401, 232.53616000659207, 332.2519812104929, 454.08437747218784, 454.08437747218784, 173.08984530625688, 454.08437747218784]","[88.65212206419613, 72.24945662765545, 100.0, 56.55636912655347, 66.58456532416393, 82.39863071484993, 100.0, 100.0, 56.11099921860342, 100.0]"
11,460.1623552768762,100.0,"[460.1623552768762, 368.1218755805475, 460.1623552768762, 66.30299203704782, 460.1623552768762, 460.1623552768762, 197.3052115742089, 360.67173918170647, 354.9969894662219, 92.53053870155202]","[100.0, 87.01832669638502, 100.0, 32.67554435360911, 100.0, 100.0, 60.041406679331686, 85.93309097034603, 85.10240028011897, 39.19733774506778]"
