Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132, 71.45799043971776, 61.78451447253506, 58.15947044439535, 50.320850630901234, 49.39730972040923]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958, 32.332553158509015, 29.891024251405085, 28.93503817541535, 26.776439196634804, 26.512887496786174]"
2,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.4319011190642, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132, 71.45799043971776, 61.78451447253506, 58.15947044439535, 50.320850630901234]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958, 32.332553158509015, 29.891024251405085, 28.93503817541535, 26.776439196634804]"
3,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132, 71.45799043971776, 61.78451447253506, 58.15947044439535]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958, 32.332553158509015, 29.891024251405085, 28.93503817541535]"
4,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 145.77684807103412, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132, 71.45799043971776, 61.78451447253506]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 52.39249604473657, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958, 32.332553158509015, 29.891024251405085]"
5,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 145.77684807103412, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132, 71.45799043971776]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 52.39249604473657, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958, 32.332553158509015]"
6,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 202.89036937023764, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 145.77684807103412, 114.72553844447854, 113.3651592193914, 101.10834193982453, 88.88768803134869, 87.14856551457132]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 52.39249604473657, 42.30072178748958, 41.62170274931024, 39.07449907992241, 36.40895984844915, 36.01791657057958]"
7,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 202.89036937023764, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 145.77684807103412, 114.72553844447854, 113.3651592193914, 107.2706769694627, 101.10834193982453, 88.88768803134869]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 52.39249604473657, 42.30072178748958, 41.62170274931024, 42.187363486312655, 39.07449907992241, 36.40895984844915]"
8,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 202.89036937023764, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 167.57176544476297, 145.77684807103412, 114.72553844447854, 113.3651592193914, 107.2706769694627, 101.10834193982453]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 55.084967239059246, 52.39249604473657, 42.30072178748958, 41.62170274931024, 42.187363486312655, 39.07449907992241]"
9,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 202.89036937023764, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 167.57176544476297, 145.77684807103412, 114.72553844447854, 113.3651592193914, 107.2706769694627, 102.74060052099418]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 55.084967239059246, 52.39249604473657, 42.30072178748958, 41.62170274931024, 42.187363486312655, 44.08030768051971]"
10,484.52364367833775,97.34015316211395,"[484.52364367833775, 431.7602748243113, 430.5138133578092, 420.88137494220683, 410.40798048328617, 397.3374459531529, 372.1009591715562, 352.39824890108025, 347.37475519580653, 347.055200002345, 343.2077219072141, 322.29564691424673, 303.07663258083863, 302.93657134053564, 291.3239668492275, 274.6484675544441, 237.066749114898, 231.17119925000392, 218.95460842315944, 218.4319011190642, 202.89036937023764, 186.64558421710024, 184.60234806873513, 184.52355273731337, 174.1660797376929, 167.57176544476297, 145.77684807103412, 114.72553844447854, 113.3651592193914, 107.2706769694627]","[97.34015316211395, 90.58429895739988, 90.42226646692461, 89.1659682903959, 87.79141025632588, 86.06283268186306, 82.68078751687531, 79.99571293166771, 79.30433474111601, 79.26025761941253, 78.72863881071459, 79.99571293166771, 83.16430430942088, 73.05336223287165, 71.37529685452758, 68.92870493510905, 63.232184782642776, 62.312467548934926, 63.232184782642776, 63.232184782642776, 62.312467548934926, 55.084967239059246, 54.73965696444788, 54.72631329010266, 52.95412250230335, 55.084967239059246, 52.39249604473657, 42.30072178748958, 41.62170274931024, 42.187363486312655]"
