Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,514.24665822827,95.67351969976998,"[514.24665822827, 392.6823158995294, 442.5353742830171, 410.59047922200745, 449.14152939055094, 442.81709600479496, 416.60426870737234, 444.68773899418, 389.5863628624573, 163.03332214696823]","[95.67351969976998, 81.0283977863599, 87.16207723895508, 83.25520918165587, 87.96036261173597, 87.19618492026189, 83.9968783979861, 87.42251451690588, 80.64054893890109, 48.56036157558733]"
2,514.24665822827,95.67351969976998,"[503.69200231160187, 421.7919248671475, 457.314210068922, 470.95713158109635, 429.6662752736342, 493.094437961245, 439.87149329269283, 493.7991116063809, 420.1201906095366, 56.29031499816118]","[95.67351969976998, 85.71536772784356, 90.09076313685861, 91.74730512357308, 86.693482509157, 94.40960112642242, 87.95400527715478, 94.49385033981179, 85.5070795007145, 27.43980311116997]"
3,514.24665822827,95.67351969976998,"[470.73607301236814, 461.4904616070965, 500.4433734282206, 474.84721839248584, 490.89173734564963, 470.51854259308374, 485.0363241175124, 471.5958973186265, 422.76030745213325, 9.19107309320787]","[95.67351969976998, 94.49385033981179, 99.42675146139888, 96.19624487750545, 98.22594258567635, 95.64583015217421, 97.48707939964602, 95.78293657868625, 89.48576158433735, 11.02268224188785]"
4,531.4014864311749,99.42675146139888,"[531.4014864311749, -inf, 515.0413359327428, 491.44582927335654, 507.0779961857072, 516.1795980858282, 497.8267648868534, 505.11810636971796, 529.2650823724254, 66.49256593613052]","[99.42675146139888, 105.02175823187062, 97.48707939964602, 94.66326109647761, 96.5376393452171, 97.62250138477859, 95.43010412116138, 96.30341893477225, 99.17426664247266, 30.129428618552524]"
5,544.5178548584914,99.97273313994181,"[454.01410642372986, -inf, 443.1342140535245, 540.9887944652231, 524.090771591685, 518.014750425207, 544.5178548584914, 486.4671432777186, 451.28730409140707, 404.8599837879192]","[89.2420755610629, 100.00766101625086, 87.91718879984415, 99.56287672733268, 97.59157325912773, 96.87907269721337, 99.97273313994181, 93.14618646914022, 88.91081416575354, 83.18487116291206]"
6,558.1478498714531,99.99136025121783,"[557.9833651659999, 554.3670338069085, 537.0511357449814, 558.105115295376, 518.7672651324879, 558.1478498714531, 558.055214549523, 547.5400024027318, 558.089803105878, 27.348439494550203]","[99.97273313994181, 99.56287672733268, 97.59157325912773, 99.9865208863283, 95.49349384110137, 99.99136025121783, 99.98086989827827, 98.78742492773789, 99.98478687665107, 18.413992433734993]"
7,558.1478498714531,99.99136025121783,"[517.6649792025867, 522.2484648464631, 522.2341364211547, 522.2947711266409, 522.1640412054775, 522.3188174606114, 522.3556024653591, 521.9228380754812, 454.87788497094203, 87.11700196576611]","[99.43126506685377, 99.9865208863283, 99.98478687665107, 99.99212474384515, 99.9763038741658, 99.99503471886739, 99.9994862080448, 99.94711117340846, 91.69988626922954, 35.37917080274462]"
8,558.1478498714531,99.99136025121783,"[502.7383058571827, 515.3543415342324, 500.02915337952334, 515.3668656203935, 481.7157899013221, 515.3458977944697, 477.06330422736085, 507.01758923956226, 488.88173839012285, 0.029867937996665903]","[98.44320084439792, 99.99503471886739, 98.1087711240155, 99.99657079455216, 95.83655589642053, 99.99399909163421, 95.25599262508905, 98.9705875833079, 96.72810131236422, 0.6061642977653436]"
9,558.1478498714531,99.99136025121783,"[487.79445437966336, 487.78260033901176, 487.7746083439783, 455.18607842369556, 487.8056351680408, 487.80402136493024, 487.7794370715282, 477.7372621420284, 476.62349456123263, 431.48508665000577]","[99.99657079455216, 99.99503471886739, 99.99399909163421, 95.7367657807014, 99.99801962059931, 99.9978105016561, 99.99462481343488, 98.69017182927892, 98.54510129599525, 92.59396525262265]"
10,558.1478498714531,99.99136025121783,"[502.6166956004889, 505.9996033630225, -inf, 506.0096277736985, 506.0026964472021, 505.96825236079223, 505.97543650110947, 506.0135578090705, 505.79894038572496, 165.30364330148146]","[99.57488165586055, 99.9978105016561, 106.85659847524923, 99.99906276608407, 99.99819689498986, 99.99389405016323, 99.99479151727212, 99.99955371042735, 99.97274216743166, 51.38888713505704]"
11,558.1478498714531,99.99136025121783,"[492.18890687376717, 426.72989917714096, 472.9570762340543, 492.15420132629146, 475.921354964478, 472.74252208828665, 476.55795638507243, 487.36165242064067, 478.5721418185354, 446.23535417296995]","[99.99955371042735, 91.45031173049101, 97.5180983605778, 99.99509644803065, 97.90210944495635, 97.49028140588271, 97.9845042593892, 99.37887892896751, 98.24502649338552, 94.02952121557179]"
12,558.1478498714531,99.99136025121783,"[458.03275563169433, -inf, 453.54049538685314, 440.82501115169566, 451.7592441843539, 458.0196122894928, 452.15822798522356, 457.98981252466234, 457.98183544691517, 392.3519368868748]","[99.99955371042735, 104.87110432564609, 99.37887892896751, 97.61413033182546, 99.1323741310264, 99.99773983152488, 99.1876087138892, 99.99362719767687, 99.99252627910285, 90.76841031830295]"
13,558.1478498714531,99.99136025121783,"[-inf, 490.28473815821883, 497.51720618476054, 497.5538569685681, 497.5259618789842, 494.8290919188033, 459.6714142755136, 497.5058299140306, 497.54321051750566, 33.73639299574125]","[103.5554380421261, 99.07320885195963, 99.99362719767687, 99.99828346337168, 99.99473956418583, 99.65189990291466, 95.14074899454728, 99.99218189342373, 99.99693090284136, 21.842748991542603]"
14,558.1478498714531,99.99136025121783,"[477.7844020780377, 442.76185076686306, 397.8401225402938, 457.7832335300269, 440.64828285998686, 477.7742803022659, 476.9708766627769, 453.8270251414169, 416.96865986126954, 59.85347299176967]","[99.99828346337168, 95.32333289306386, 89.1906943129547, 97.33889226336206, 95.03840948076528, 99.99694435205929, 99.89063295342271, 96.80962411475502, 91.82251028118478, 30.2960834907536]"
15,558.1478498714531,99.99136025121783,"[494.2674819968976, -inf, 493.4258907754333, 467.33580811040025, 494.2240053415312, 481.67419258429794, 490.92125030246007, 468.0894320235972, 494.26616744568105, 391.4755764713343]","[99.99828346337168, 105.7478331836197, 99.89063295342271, 96.53142677177797, 99.99272327642123, 98.38290444977706, 99.57000317226706, 96.62907663273145, 99.99811534836928, 86.48468895301446]"
16,558.1478498714531,99.99136025121783,"[452.5625767097366, 445.02061815731776, 508.7431911558428, 508.783679765773, 468.7807009549057, 508.28465988762395, 479.92983175665347, 461.0893091356349, 508.78109101985024, 410.9207232206547]","[92.91622917903791, 91.95023125927473, 99.99272327642123, 99.99775355206458, 94.97996430444731, 99.935749181718, 96.38845789161383, 94.00349757325209, 99.99743193092748, 87.52850982015727]"
17,558.1478498714531,99.99136025121783,"[530.8698350933414, -inf, 491.28440563099156, 475.43019845659495, 530.8666224024774, 529.7256352906455, 530.8606423895397, 530.8336494423816, 524.1657772720773, 138.59954268804526]","[99.99775355206458, 101.25629297637262, 95.24138337552144, 93.31057137697763, 99.99737101874835, 99.8614802218832, 99.9966589804966, 99.99344491559096, 99.19832379043372, 45.301309271951105]"
18,581.1456956257117,99.99737101874835,"[-inf, 581.1456956257117, -inf, 581.1314720568677, 581.1237381895822, 573.9817514755057, 581.1270287612969, 544.9730726099493, 581.1242066030919, 24.61036802439063]","[109.76649890337046, 99.99737101874835, 101.66262868485687, 99.99582394561966, 99.99498274247605, 99.21703738734291, 99.99534065419465, 96.03326650077732, 99.99503369130606, 17.063599852626655]"
19,605.4127988250722,99.99872707797279,"[542.6692248834821, 605.3849938243386, 605.3803650878287, 605.4127988250722, 552.8047245624155, 603.7533275553898, 486.6711089529979, 548.5236879878018, 600.952886857711, 267.7124138789625]","[93.36300786459975, 99.99582394561966, 99.99534065419465, 99.99872707797279, 94.44708845045633, 99.82540655723247, 87.27670966519796, 93.98980272946524, 99.53266740100166, 61.12186079752221]"
20,655.5524794591739,99.99929055700464,"[-inf, 650.3374642189707, 655.5115161961712, 632.7636617317105, 655.5524794591739, 602.1218008937245, 647.7264439809344, 637.5851827225856, 654.0477572302841, 458.6431952933833]","[106.96828447681882, 99.49596623888243, 99.99534065419465, 97.79279523958425, 99.99929055700464, 94.7956792161919, 99.24361099936901, 98.26117590478084, 99.85415924764358, 80.18753461377656]"
21,659.0691880371405,99.99996454629441,"[-inf, 659.0209782429658, 636.6400146660161, 659.0691880371405, 659.0637391880209, 659.0688194130058, 656.4293832972836, 659.0671492246385, 642.016242786795, 276.5848252798748]","[104.8392849234642, 99.99534065419465, 97.84005284119829, 99.99996454629441, 99.9994419408622, 99.99992919115826, 99.74665983719446, 99.99976900154277, 98.3593932060919, 59.30088124571519]"
22,672.2647360067076,99.9999887602445,"[-inf, 602.7361527070867, 672.2623988578206, 587.308982628663, 672.2646373950683, 660.3136086015224, 672.2647360067076, 653.5191390420301, 672.2646816658563, 116.62273906169145]","[113.13142436129463, 93.37801061499567, 99.99976900154277, 91.88380068758563, 99.99997948793946, 98.87389201796098, 99.9999887602445, 98.2315475504404, 99.99998365065552, 36.14830194316511]"
23,702.734181831838,99.99999327755825,"[702.7341316124462, 702.7340748086768, 702.7340285313817, 679.5873124995101, 702.734181831838, 702.73416504471, 702.7341392867125, 635.0290688998697, 654.9043482153983, 298.24044529168964]","[99.9999887602445, 99.99998365065552, 99.99997948793946, 97.9097463413036, 99.99999327755825, 99.99999176752954, 99.99998945055692, 93.83700868490858, 95.661992357345, 59.68675430918612]"
24,737.5317621944957,99.99999951219058,"[-inf, 737.5316718330389, -inf, 737.5317367639333, 728.6570057797209, 737.5317621944957, 725.340881249611, 737.5317014032556, 737.5317357281505, 0.20318403575296418]","[105.04195320668823, 99.99999176752954, 101.11248241139886, 99.99999733259884, 99.23829305393555, 99.99999951219058, 98.95311869451164, 99.99999430192105, 99.99999724382442, 1.3240071165520395]"
25,747.9817099086738,99.99999972913481,"[697.1326934444305, -inf, 718.2864058556885, 747.9817097406435, 733.5845991720842, 737.1086406365013, 747.9817099086738, 731.0884114129236, 743.6730071963012, 520.8766621946853]","[95.6671958990729, 103.8850578465862, 97.47855198280635, 99.99999971493453, 98.7805398900428, 99.07954688583465, 99.99999972913481, 98.56853909855283, 99.63562575590704, 79.96229621306314]"
26,797.4442833644563,99.99999997012841,"[797.4442803242296, 797.4442801450878, 752.2742227818371, 783.4796847785892, 797.4442833644563, 775.1874603447757, 797.4442810023678, 733.3619516620865, 762.8801920781805, 493.74159639984725]","[99.99999972913481, 99.99999971493453, 96.39495809407309, 98.89076994051344, 99.99999997012841, 98.22990764524475, 99.99999978288967, 94.87021137232072, 97.24595284291607, 74.50655806480124]"
27,807.1481079690536,99.99999998722069,"[-inf, 807.1481053599725, 807.148104673582, 795.9412575270544, 730.0664584411618, 799.2690979742567, 807.1481079606763, 807.1481079690536, 807.1481077864424, 141.12599040216446]","[100.76636625159452, 99.99999978288967, 99.99999972913481, 99.1209021301164, 93.89183970255237, 99.38224801782593, 99.9999999865646, 99.99999998722069, 99.99999997291944, 36.30379488959278]"
28,807.1481079690536,99.99999998722069,"[778.8197393082283, 661.0758161331613, 778.8197391320261, 778.8197394057555, 774.4948669744507, 748.7150407184242, 778.8197393998815, 778.8197393875612, 778.8197393377567, 530.0322493545642]","[99.99999998722069, 90.25707220604188, 99.99999997291944, 99.99999999513638, 99.6487489628276, 97.54531864791078, 99.99999999465962, 99.99999999365966, 99.99999998961732, 78.85981430768759]"
29,846.4610026445087,99.99999999768164,"[846.4610026104253, 721.6126492837583, 846.4610025906508, 825.2443541584079, 846.4610025545101, 756.274135550448, 846.4610026445087, 844.2987148802982, 822.4858248420884, 241.49653182190463]","[99.99999999513638, 90.49965169835093, 99.99999999365966, 98.41088759761749, 99.99999999096075, 93.1753498164739, 99.99999999768164, 99.83847652569881, 98.2035729218243, 47.60983164922733]"
30,846.4610026445087,99.99999999768164,"[-inf, -inf, -inf, 837.0101917057353, -inf, -inf, -inf, -inf, -inf, 705.6542304719628]","[108.16217605170945, 101.03595394417896, 99.99999999365966, 97.82635699008699, 99.59306721212707, 99.99999999894197, 99.99999999905803, 99.9999999997666, 99.9999999988378, 87.96600168986323]"
31,846.4610026445087,99.99999999768164,"[-inf, 707.8606526638928, -inf, 777.960711557331, 807.7900975237532, -inf, 836.5743017619661, -inf, -inf, 23.391225624296048]","[97.82635699008699, 84.91044647838312, 105.16429139821145, 89.98823722431585, 92.11216813330195, 99.99999999923328, 94.14287225027313, 96.21144999330161, 99.57909658870352, 13.087681424534747]"
32,846.4610026445087,99.99999999768164,"[643.9381809694669, 788.7705369818423, 554.508389301432, 740.5485413089458, -inf, 802.4704525037376, 731.8810594244999, 798.8039455816615, 835.9600284280549, 21.067454960613517]","[81.32488432385794, 92.11216813330195, 74.32427171758195, 88.58440350653363, 98.56436161976542, 93.1042230149488, 87.9440524839984, 92.83914108379456, 95.51170977207352, 12.55301593998832]"
33,846.4610026445087,99.99999999768164,"[-inf, -inf, -inf, -inf, -inf, -inf, -inf, -inf, -inf, 81.02042830810679]","[105.35572969802143, 93.1042230149488, 92.83914108379456, 99.99999999905057, 97.35697361690089, 99.99999999968063, 96.0728087873858, 99.95026705896609, 99.9196566623231, 24.468335720501766]"
34,846.4610026445087,99.99999999768164,"[83.14958142594821, -inf, 808.0285882605032, 839.1362400678059, 737.5607731666523, 307.35369709463083, -inf, 725.2255828650876, -inf, 99.77561055531146]","[26.188303922117363, 99.9196566623231, 95.38217182758672, 97.66981046618716, 90.1171786735022, 53.68732596004678, 99.26623520348724, 89.18260625286786, 99.99999999928694, 28.87149507568152]"
35,846.4610026445087,99.99999999768164,"[757.9227036127444, 743.9837867454672, 642.2960897855928, 782.4398358822949, 776.7102385979813, 776.5784597262269, 753.2963626759437, 689.2058942651598, 759.2624160620109, 389.0782794489256]","[97.66981046618716, 96.53752498283839, 88.10877481734286, 99.64945054057436, 99.18813851144104, 99.17751912388272, 97.29456264946428, 92.03615831231312, 97.77837373364052, 65.23442029602973]"
36,846.4610026445087,99.99999999768164,"[812.8313195535891, 806.8791735769368, -inf, 812.6722006909838, 801.5736607743694, 784.1798602876086, 792.8770280445892, 817.3611568273112, 817.3611568316991, 171.27273905135917]","[99.64945054057436, 99.18813851144104, 100.47478889228745, 99.6371285773307, 98.7762692511349, 97.42142380110808, 98.09975032468424, 99.99999999889296, 99.9999999992323, 40.09773662939416]"
37,846.4610026445087,99.99999999768164,"[-inf, -inf, 716.5414786893617, -inf, 795.7069692788612, 831.5035909254907, 796.5880322594913, -inf, -inf, 242.51859717174526]","[108.79062011363936, 99.99999999889296, 89.28538089668577, 99.86851634691108, 95.29537337055463, 97.9636283516491, 95.36139230765254, 99.99999999961018, 99.999999999034, 47.328245579716096]"
38,848.5657395383785,99.99999999839586,"[821.3330526978207, 786.8445637739469, 785.974277517342, 846.8613148538343, 782.0176341402326, 848.5657395383785, 848.5657395342082, 798.2450683227469, 839.2878450404706, 227.82985256803684]","[97.9636283516491, 95.36139230765254, 95.29537337055463, 99.87300290377304, 94.9950002643073, 99.99999999839586, 99.9999999980852, 96.22458355452889, 99.3079785125144, 46.01628699118988]"
