Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,528.1140167379,100.0,"[62.57554763977417, 43.266971026054684, 528.1140167379, 483.3013604254576, 400.09459024333944, 360.66743939426897, 311.2118337284176, 229.57817217936696, 434.1330492381484, 485.194298238658]","[30.096445585591457, 24.706183196181442, 100.0, 94.5801719138882, 84.16383799874934, 79.02591996977604, 72.34267649019695, 60.5211917993383, 88.48772340927178, 94.81150504784867]"
2,539.0816116144899,100.0,"[265.2802848215661, 94.11293731128467, 539.0816116144899, 516.0883697493845, 472.5920449904327, 451.49728731162935, 391.4498947524378, 345.1429012075736, 490.5325563858402, 517.0649083927165]","[65.04822279279573, 36.27369863525879, 100.0, 97.2900859569441, 92.08191899937466, 89.51295998488803, 82.01774116858209, 76.01541599881746, 94.24386170463589, 97.40575252392433]"
3,552.2095867707037,100.0,"[265.2802848215661, 275.09605937631915, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 414.77647995798606, 449.9512484406558, 490.5325563858402, 540.9054090812474]","[65.04822279279573, 65.5170702101909, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 83.72438867610684, 88.00770799940872, 94.24386170463589, 98.70287626196216]"
4,552.2095867707037,100.0,"[385.94974078230473, 386.94710442360093, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 414.77647995798606, 475.8271640675689, 520.294822906425, 540.9054090812474]","[82.62862930310345, 82.75853510509545, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 83.72438867610684, 94.00385399970436, 99.4255354411068, 98.70287626196216]"
5,552.2095867707037,100.0,"[447.19798951353897, 447.7108266791285, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 414.77647995798606, 492.65448250362067, 520.294822906425, 540.9054090812474]","[91.31431465155173, 91.37926755254773, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 83.72438867610684, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
6,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 435.4006158260451, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 91.86219433805343, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
7,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
8,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
9,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
10,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
11,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
12,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
13,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
14,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
15,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
16,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
17,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
18,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
19,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
20,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
21,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
22,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
23,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
24,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
25,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
26,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
27,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
28,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
29,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
30,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
31,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
32,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
33,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
34,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
35,552.2095867707037,100.0,"[464.5997158302249, 482.0072721112677, 552.2095867707037, 540.4026850110595, 535.0376815205441, 524.3665317678383, 452.6229718615162, 492.65448250362067, 520.294822906425, 540.9054090812474]","[95.65715732577587, 97.89161876639912, 100.0, 98.64504297847205, 98.02705785805044, 96.7934522215064, 95.93109716902671, 97.00192699985217, 99.4255354411068, 98.70287626196216]"
