Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,482.96823584605806,97.14367788880227,"[269.536521442376, 142.47538635883805, 360.15416415710985, 100.03681388670901, 238.77169997456724, 298.89663750913655, 189.80733715764146, 324.88433116348966, 258.56551975617884, 310.233248642357, 128.29835618108615, 211.6990421363811, 255.99608374509705, 168.25323465753615, 109.3458410852627, 252.49333593364997, 51.9807302198171, 237.4620681617041, 77.2967732358328, 212.43041491931504, 246.37736782111512, 17.651136525068317, 230.74038430343703, 119.9337768758533, 338.76156893595333, 218.7850528608622, 122.76715677699195, 436.5694652976383, 212.76433603311037, 173.41095984727474]","[71.19392564380307, 49.26906155885973, 84.76515952601416, 40.45041935534312, 66.28255598044032, 75.72039339610708, 58.01061362002304, 79.61686392041152, 69.46395641594474, 77.43189359234995, 46.45139624261583, 61.788084021569574, 69.05548274464299, 54.14037927409933, 42.49209885742878, 68.49653755857898, 28.33775735959204, 66.06913091651383, 35.11519110881415, 61.911926464474575, 67.514628573198, 16.03106631628624, 64.96762681304455, 44.73374841508549, 81.66039519580919, 62.9820037121841, 45.320541055450235, 95.47912078611648, 61.96842122044799, 55.08169713220741]"
2,482.96823584605806,97.14367788880227,"[289.24464467998087, 339.9453970744271, 362.4868311107193, 133.42082155480207, 270.0076839255432, 317.8387102426528, 233.43582834622433, 339.972048190138, 299.0796403507188, 309.04850037246996, 165.7255937577701, 302.21619050500686, 233.39559352593636, 288.52567423077323, 228.4174153344897, 329.30723100459, 112.50541980421363, 300.02272170199257, 111.25973473691216, 272.50139465571425, 276.27444760683557, 82.74935452079794, 248.19436900811698, 270.5608522143787, 383.4724435180162, 235.94114131242304, 259.9364230178336, 389.64979669970205, 291.33874104348274, 259.0884692764519]","[71.75576139888796, 79.04131816689711, 82.17641008964164, 45.9812518920289, 68.89116733497178, 75.90766934167432, 63.257376250771976, 79.04505936503415, 73.19733688682378, 74.64383454630207, 51.95433703852878, 73.65401207065744, 63.25102544692438, 71.64979011373539, 62.46241006833125, 77.5410626568015, 41.81820496352603, 73.33480039122398, 41.56118825742994, 69.26604166318624, 69.83118341642968, 35.32331241175139, 65.5631718533784, 68.97441828462381, 85.04615910385853, 63.65211064372924, 67.3658082548242, 85.88260276535038, 72.06395393353631, 67.2365246990379]"
3,482.96823584605806,97.14367788880227,"[341.2406813980521, 396.10847618343695, 378.0272803052421, 161.95592165639238, 289.1836313650771, 385.7351914226877, 280.99104978991136, 333.39952748773845, 360.47929357939137, 326.7385962050615, 282.5796252524125, 363.9869168833372, 319.65789793016717, 334.35763614419267, 291.6113459308534, 343.4425849970187, 181.91243508821108, 352.7459551195236, 299.27329984005644, 354.3744593336065, 357.34042528834686, 248.40464481329613, 330.47208441919764, 308.7687936363419, 444.20907807121733, 271.0867982156203, 275.6958980176335, 362.7646497722772, 305.51341179239245, 315.95639983102063]","[78.88785317623072, 86.38008850385869, 83.94505994464909, 51.077530566861526, 71.44826289072776, 84.98689994203554, 70.24159315372175, 77.7901161198089, 81.55090431683723, 76.85165923866347, 70.47642060414107, 82.03202882712706, 75.84784134043417, 77.92464902174336, 71.80378585601458, 79.19478989736803, 54.56545615760649, 80.48544611393481, 72.91989479104657, 80.71036015186047, 81.11923794254717, 65.32656868628872, 77.37835493793727, 74.29104249189282, 92.71906252327844, 68.76796817543834, 69.45581934070593, 81.86452502865563, 73.8224296309923, 75.32045534502424]"
4,482.96823584605806,97.14367788880227,"[381.210705591888, 356.7675339425393, 386.98105193294947, 245.87608228287982, 307.44448107788196, 407.01986888606604, 348.5494233286951, 356.80446413448635, 350.4144639033986, 339.52748936359393, 347.1632335152633, 374.4900187290296, 305.8221076528253, 349.4146626626277, 259.65160756194166, 288.6475625658679, 268.1688887206257, 321.7608176999948, 299.9693542842415, 362.35014222500746, 371.6685359064278, 276.586258994549, 376.84416160366436, 309.6417112382687, 443.1659672338327, 263.08775808639643, 312.3476734187185, 321.28114914730503, 392.25300828299333, 341.16931172231256]","[87.65259466069729, 84.16319519159332, 88.46747309921786, 67.34603306138843, 76.91017225870405, 91.27302367586441, 82.97547330502125, 84.16851533930111, 83.24569331578729, 81.66255009364195, 82.77437152375448, 86.6993611720065, 76.66611872608006, 83.1008850842678, 69.54513609146363, 74.05833186271401, 70.8863518243543, 79.04769062700612, 75.782477722323, 84.96571788203256, 86.29781039407709, 72.19884839348326, 87.03377909330601, 77.24009646096862, 96.24679742634468, 70.08786250451166, 77.64546421782183, 78.97652792215143, 89.20917197076488, 81.90219965882362]"
5,482.96823584605806,97.14367788880227,"[382.14774166799583, 392.3719202274481, 423.538698761983, 306.914811936336, 322.4875329403237, 416.4135817017483, 398.4221454391252, 429.57978027508943, 371.7493417750547, 405.92947567784785, 358.74052252366573, 437.26545336021314, 362.4878047149086, 387.1137764538917, 292.8301920507361, 351.9789362549869, 315.6594309559646, 442.11044389669996, 381.08864464083615, 400.4967737320688, 362.29218585012353, 361.6811023760262, 404.91486319889043, 379.5957718685262, 455.81088721278905, 360.92701770490584, 368.091072940498, 372.195624652429, 413.3399193897254, 372.2920641007074]","[86.20079196151461, 87.61050711756923, 91.84954970596878, 75.47668852076986, 77.75346495929395, 90.88779256917304, 88.44009884104989, 92.6617580521166, 84.7565725509224, 89.46488457983703, 82.93409165765084, 93.69092892769767, 83.46091738413203, 86.88675730838345, 73.38755341548656, 81.97958218788035, 76.75927581542605, 94.33738628212807, 86.05418754390485, 88.7237984699041, 83.43345312362361, 83.34763245028248, 89.32667734330627, 85.84735097266018, 96.15603845006652, 83.24167314871802, 84.24586865542537, 84.81878027982444, 90.47160434182331, 84.83222036926433]"
6,482.96823584605806,97.14367788880227,"[382.4759726757413, 335.5009048439235, 380.07736417571004, 294.0017967937749, 258.03896796522605, 414.599661996158, 362.3017163973217, 386.46974450096343, 352.9339871534222, 379.16651985083644, 351.0372534031939, 384.057423240412, 351.75090562870815, 365.7569075218679, 355.38205867103204, 395.2049257482816, 375.54994086206904, 405.4174181455145, 372.7332090641127, 361.42853290799906, 340.22591011110785, 343.40194801150284, 414.9448177391842, 376.62976459147285, 381.3307680162932, 344.4815262676411, 336.25357551426464, 419.1747620412481, 359.5677046037979, 395.97086296640555]","[91.75789519317568, 84.64141600258017, 91.40028415247608, 78.1239462397985, 72.25557148258305, 96.49474571458393, 88.73162782400256, 92.35206737265368, 87.31149777936736, 91.2643344692601, 87.02274328634135, 91.99336259763862, 87.13143691261642, 89.25297438499132, 87.68357558932455, 93.6462708873714, 90.72370628987015, 95.15034153733524, 90.30171524969998, 88.59966866353173, 85.36874515500448, 85.85609267012211, 96.54513911155016, 90.88526441223509, 91.58722706595647, 86.0214700557466, 84.75746259394074, 97.16190066303666, 88.31817182035672, 93.75940809754194]"
7,482.96823584605806,97.14367788880227,"[328.12491350774843, 340.0157583190397, 371.94222931365584, 336.3373734994426, 324.34894944347906, 386.6343920857009, 349.2614080027586, 374.2495874787673, 355.33355322403617, 356.7695347628243, 330.2802357480388, 372.0403429459741, 349.4845370410576, 369.78771378900956, 350.9483390281637, 354.2016591718528, 344.99091577940146, 395.1347874416927, 371.9800338984795, 329.7556563915019, 361.60873769373916, 331.5182973433162, 376.7475496922119, 375.46790935815426, 372.47257799830317, 325.6221416818261, 355.29983806658345, 383.4559873813132, 321.46308714738933, 360.55834745277576]","[85.7293615018805, 87.62399997722632, 92.62714706154954, 87.03982819617856, 85.12385816141713, 94.892401480395, 89.08498066345491, 92.98435875085967, 90.03896463556275, 90.2639471904543, 86.07413493903945, 92.64234778966912, 89.12011231602003, 92.29309230924305, 89.35044247955359, 89.86145878099225, 88.41145041368421, 96.19326509427407, 92.63300423918655, 85.99027745448669, 91.02041498646643, 86.27190480520572, 93.37045504227126, 93.17274858580906, 92.70930185293274, 85.328237037346, 90.03367948116723, 94.40419355998371, 84.6597927551879, 90.85643993001385]"
8,482.96823584605806,97.14367788880227,"[322.5776721731557, 329.1530154901956, 348.61320673793966, 363.03886260616537, 336.0264410735914, 398.79824044819475, 371.4674044384212, 370.3548807463952, 367.2364005162144, 357.50436694091263, 337.66525617852585, 363.04815128680207, 373.0498407895185, 345.9495635900914, 347.48812402274046, 388.935459772747, 347.243599537878, 398.73649845062374, 360.32362392954445, 362.61054784096746, 377.8236797909463, 353.3764324952192, 372.4353648108665, 411.3475141415479, 388.98284069535725, 374.5650617535257, 350.8016064540947, 411.3475141415479, 388.5408899074696, 329.24521024479293]","[85.9603174941397, 87.03167838134098, 90.1697376858983, 92.46659247078688, 88.14550410481048, 98.0645646977053, 93.79784573169007, 93.62256432306062, 93.13053500506871, 91.58819940628194, 88.41017501547711, 92.46806383178645, 94.04693811880495, 89.74297951143984, 89.98958510548512, 96.53330068190495, 89.95041089698243, 98.05500720789811, 92.03607874733557, 92.39873549812151, 94.79680934457157, 90.93078628432622, 93.9502443275815, 100.0, 96.54067905134359, 94.28520403363885, 90.51972223233898, 100.0, 96.47184804718304, 87.04665914370432]"
9,482.96823584605806,97.14367788880227,"[345.65176760360157, 382.1137509634587, 376.8920673258088, 388.80070069825194, 418.8251705976209, 421.2797969453914, 395.71042526386174, 394.24494080660196, 405.34818754931626, 381.97462967426856, 370.43077179894874, 388.65506388322405, 362.85954815772766, 361.68425810561126, 412.6603398643237, 429.6588114319352, 351.99820366404845, 385.3222546882188, 410.8732443356853, 396.0072459611543, 405.7691996088628, 388.59859197537344, 384.3761315965932, 436.3791970892107, 389.97525406784723, 394.92898895652013, 372.0752729414002, 436.3791970892107, 418.3188416566044, 344.46668406070415]","[86.49005569210946, 92.01564142337318, 91.23302773553462, 93.01391386279613, 97.44498322660475, 97.80376112674399, 94.04092071835858, 93.82347936386851, 95.46600307121346, 91.99482573115894, 90.26076369026269, 92.99221861089998, 89.11587433343507, 88.93759520925289, 96.54167297963055, 99.02475230561687, 87.46244651280765, 92.4951745652165, 96.27920920619484, 94.08493709611446, 95.52806453952954, 92.98380554342208, 92.35387543318387, 100.0, 93.18881040063013, 93.92500004425682, 90.5086319501315, 100.0, 97.37091369739282, 86.30795024076713]"
10,482.96823584605806,97.14367788880227,"[323.09530610562064, 396.04693634601045, 379.9032115166949, 381.9525280474689, 402.82345595836694, 399.636268512369, 377.6604479812943, 360.3527171408746, 413.0926199518191, 373.44637165369426, 363.92268631640377, 413.0926199518191, 351.4912216592327, 311.190350544461, 385.94980496135, 392.09063043548815, 405.7800108074022, 374.78825422477087, 381.2014398634623, 413.0926199518191, 349.65736871048426, 369.0096512335855, 349.60248687135663, 413.0926199518191, 379.80066524038483, 380.7157916088549, 397.67858930789475, 413.0926199518191, 413.0926199518191, 371.81560294994046]","[85.82183883724582, 97.37878265179876, 94.87123615850386, 95.19096807643247, 98.42397997927381, 97.93292024104285, 94.52083544352018, 91.7989720148448, 100.0, 93.86104693712366, 92.36304158837939, 100.0, 90.39260466323992, 83.87373964389403, 95.8134112969183, 96.76659352659391, 98.87868338746223, 94.07134213935669, 95.07383327876822, 100.0, 90.10042797632522, 93.16439188710747, 90.09167787740513, 100.0, 94.8552258771499, 94.9980645621162, 97.630832800341, 100.0, 100.0, 93.6052249058997]"
