Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,484.10179969216944,100.0,"[354.1897899552627, 231.70531165548934, 104.02971935351603, 392.4350600784947, 328.5543496390334, 337.62133366087966, 189.10295010843737, 447.65543220967373, 93.69352712369157, 319.40641957920064, 259.8584867526732, 459.11121624113235, 473.8917119649638, 420.8372042643523, 235.10890247586576, 278.8457023166453, 79.69283747678391, 357.64894096938923, 140.93857404563155, 266.83707011117883, 484.10179969216944, 420.2416439971528, 432.96828354568726, 297.78038477483744, 40.3396666413865, 112.44958295603935, 111.91253049604754, 484.10179969216944, 311.89207129779413, 474.2598487380879]","[82.39497482009301, 64.00229330828876, 40.609241369177184, 87.72986433181924, 78.72900801131333, 80.03465720723591, 56.90382349304048, 95.19716759972648, 38.382025203762254, 77.40105822144834, 68.45416659473302, 96.71656067815499, 98.66349297432653, 91.60193993434217, 61.936259891999406, 71.36953796616817, 35.129079297474775, 82.88379501992998, 48.154342453629575, 69.53323540517692, 100.0, 82.1837383207929, 93.2351203483519, 72.99050584737043, 24.361928512818587, 42.44938906796267, 42.33682355107529, 100.0, 76.30187262978173, 98.71179908312536]"
2,528.2543019211628,100.0,"[528.2543019211628, 491.8892356336175, 262.41638635185853, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 394.3180556457378, 434.50095897923967, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 453.68959393619775, 528.2543019211628, 367.4034064680124, 469.536850852544, 423.9385692140365, 528.2543019211628, 528.2543019211628, 372.77965969074194, 528.2543019211628]","[100.0, 95.61200733081819, 65.40830794642174, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 83.40677755682695, 88.51945426180399, 100.0, 100.0, 100.0, 100.0, 100.0, 90.91613178705597, 100.0, 79.90175057347115, 92.87583140392715, 87.18836915534928, 100.0, 100.0, 80.6075461901896, 100.0]"
3,528.2543019211628,100.0,"[528.2543019211628, 513.7019220297018, 513.7019220297018, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 501.6413821516935, 513.7019220297018, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 528.2543019211628, 513.7019220297018, 528.2543019211628, 513.7019220297018, 513.7019220297018, 513.7019220297018, 528.2543019211628, 528.2543019211628, 470.58708711334, 528.2543019211628]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.51181192044778, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 94.63985780707083, 100.0]"
4,546.8510486622978,100.0,"[546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978, 546.8510486622978]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
5,596.2356524276261,100.0,"[596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
6,596.2356524276261,100.0,"[596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
7,596.2356524276261,100.0,"[596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
8,596.2356524276261,100.0,"[596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261, 596.2356524276261]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
9,631.1750394955797,100.0,"[631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
10,631.1750394955797,100.0,"[631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797, 631.1750394955797]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
