Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,40.25617102847812,23.164317839249556,[40.25617102847812],[23.164317839249556]
2,40.25617102847812,23.164317839249556,[33.29171400657794],[20.648377204064357]
3,45.8498810297929,25.223533578977612,[45.8498810297929],[25.223533578977612]
4,58.631671693714075,29.91222585887221,[58.631671693714075],[29.91222585887221]
5,58.631671693714075,29.91222585887221,[40.20388514430323],[25.33072693966688]
6,58.631671693714075,29.91222585887221,[27.969408550481127],[21.747338916205532]
7,58.631671693714075,29.91222585887221,[27.969408550481127],[21.747338916205532]
8,58.631671693714075,29.91222585887221,[43.157941474867144],[26.054291950842078]
9,58.631671693714075,29.91222585887221,[33.132345073589725],[22.530795508846442]
10,58.631671693714075,29.91222585887221,[21.172315141205317],[17.800204355709752]
11,58.631671693714075,29.91222585887221,[15.560052435441987],[15.354423039987271]
12,58.631671693714075,29.91222585887221,[26.338099186069716],[19.77286610791112]
13,58.631671693714075,29.91222585887221,[35.80450565283417],[23.26253927621218]
14,58.631671693714075,29.91222585887221,[38.270021446622856],[23.97430701868567]
15,58.631671693714075,29.91222585887221,[30.991611377076186],[21.00352358469959]
16,58.631671693714075,29.91222585887221,[26.84732992412866],[19.701533466059928]
17,58.631671693714075,29.91222585887221,[29.410447746984204],[20.507621138974212]
18,58.631671693714075,29.91222585887221,[27.069527581488266],[19.167640251738888]
19,58.631671693714075,29.91222585887221,[35.852949171769716],[22.586349060576257]
20,58.631671693714075,29.91222585887221,[28.907219413026596],[20.846118577930127]
21,58.631671693714075,29.91222585887221,[26.991596862835397],[20.881621945604298]
22,58.631671693714075,29.91222585887221,[26.991596862835397],[20.881621945604298]
23,58.631671693714075,29.91222585887221,[35.982200903531414],[24.697996695419352]
24,58.631671693714075,29.91222585887221,[42.390332987942124],[28.428529853642864]
25,58.631671693714075,29.91222585887221,[41.7641133701088],[28.507776137006104]
26,58.631671693714075,29.91222585887221,[27.879420707618607],[23.9268236981306]
27,58.631671693714075,29.91222585887221,[22.638046986477878],[22.0297382460465]
28,58.631671693714075,29.91222585887221,[32.152436664514255],[26.148473043614693]
