Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,499.74930638897143,99.25558302883317,"[348.39957980714337, 475.27141198461874, 499.74930638897143, 343.5669980286143, 226.17185323582768, 26.311386909671715, 471.1278037831322, 312.6064484846681, 91.0729294217049, 140.94208759142722]","[79.44561274776505, 96.16917770646096, 99.25558302883317, 82.07123650088833, 61.52638634062626, 19.689602392095168, 95.64296996365623, 74.4357171917131, 38.289538703356214, 48.80911909180104]"
2,499.74930638897143,99.25558302883317,"[392.3979788214415, 475.27141198461874, 499.74930638897143, 343.5669980286143, 351.3235701975514, 81.71557148645502, 471.1278037831322, 486.8922552272311, 136.77334607045705, 263.84059173370076]","[86.8200968868888, 96.16917770646096, 99.25558302883317, 82.07123650088833, 81.15397179275317, 35.28659447401104, 95.64296996365623, 99.30063888881911, 46.904021312929046, 68.38759820010134]"
3,499.74930638897143,99.25558302883317,"[440.6840879960009, 475.27141198461874, 499.74930638897143, 418.23117667302216, 415.1240897995345, 141.875618122287, 471.1278037831322, 486.8922552272311, 146.32120238971987, 363.8839992278438]","[91.79327745959041, 96.16917770646096, 99.25558302883317, 88.86943673082153, 88.46164885846134, 47.18798062954929, 95.64296996365623, 99.30063888881911, 48.01265864737189, 81.61157093271109]"
4,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 431.2186276884026, 460.9469089293548, 156.7144492939133, 471.1278037831322, 486.8922552272311, 149.79681115765945, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 93.58560009282361, 97.57468613505564, 51.4176193826181, 95.64296996365623, 99.30063888881911, 50.12097741260365, 96.91417116408849]"
5,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 431.2186276884026, 472.5340175362378, 156.7144492939133, 471.1278037831322, 486.8922552272311, 149.79681115765945, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 93.58560009282361, 96.645839431582, 51.4176193826181, 95.64296996365623, 99.30063888881911, 50.12097741260365, 96.91417116408849]"
6,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 431.2186276884026, 472.5340175362378, 156.7144492939133, 471.1278037831322, 486.8922552272311, 149.79681115765945, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 93.58560009282361, 96.645839431582, 51.4176193826181, 95.64296996365623, 99.30063888881911, 50.12097741260365, 96.91417116408849]"
7,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 441.6092517146368, 472.5340175362378, 201.12216198202717, 471.1278037831322, 486.8922552272311, 211.7905526997114, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 94.94344064127924, 96.645839431582, 59.275562945946234, 95.64296996365623, 99.30063888881911, 61.07410081182615, 96.91417116408849]"
8,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 441.6092517146368, 472.5340175362378, 201.12216198202717, 471.1278037831322, 486.8922552272311, 211.7905526997114, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 94.94344064127924, 96.645839431582, 59.275562945946234, 95.64296996365623, 99.30063888881911, 61.07410081182615, 96.91417116408849]"
9,499.74930638897143,99.25558302883317,"[458.9088495191206, 475.27141198461874, 499.74930638897143, 441.6092517146368, 472.5340175362378, 201.12216198202717, 471.1278037831322, 486.8922552272311, 211.7905526997114, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 99.25558302883317, 94.94344064127924, 96.645839431582, 59.275562945946234, 95.64296996365623, 99.30063888881911, 61.07410081182615, 96.91417116408849]"
10,508.73615879182717,91.74332960321343,"[458.9088495191206, 475.27141198461874, 508.73615879182717, 441.6092517146368, 472.5340175362378, 201.12216198202717, 504.11072388986474, 486.8922552272311, 211.7905526997114, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 91.74332960321343, 94.94344064127924, 96.645839431582, 59.275562945946234, 91.22477988441482, 99.30063888881911, 61.07410081182615, 96.91417116408849]"
11,508.73615879182717,91.74332960321343,"[458.9088495191206, 475.27141198461874, 508.73615879182717, 441.6092517146368, 472.5340175362378, 201.12216198202717, 504.11072388986474, 486.8922552272311, 211.7905526997114, 455.99130862260733]","[97.30324745586212, 96.16917770646096, 91.74332960321343, 94.94344064127924, 96.645839431582, 59.275562945946234, 91.22477988441482, 99.30063888881911, 61.07410081182615, 96.91417116408849]"
12,543.3855885575252,99.29260639377608,"[543.3855885575252, 517.4745173761936, 508.73615879182717, 526.7452147917937, 530.1126533920398, 231.30313437636084, 504.11072388986474, 486.8922552272311, 263.2273878848825, 533.4516099968711]","[99.29260639377608, 96.28698808456313, 91.74332960321343, 97.36640681387213, 97.7573562132462, 59.40305576304511, 91.22477988441482, 99.30063888881911, 64.03175889376178, 98.14441437788675]"
