Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,492.2618329658886,98.31539422224282,"[156.71763023912848, 280.0317663607633, 430.0134347273477, 432.131126646629, 445.6122924368474, 419.0795725061557, 402.3503193344061, 25.735635021467182, 434.3160238387345, 354.9389562635756]","[52.77881713482486, 73.97877287960762, 96.14878546361012, 96.44545207538833, 98.32591142966619, 94.61134037476819, 92.23956776651093, 19.793135887416927, 96.75116478876812, 85.37427500173787]"
2,492.2618329658886,98.31539422224282,"[249.0314180998682, 368.3552328150033, 403.45214880562304, 389.6146551788458, 409.93994930110006, 401.5014187230217, 397.722189270377, 230.30879957079208, 407.72302045357503, 397.6307082525888]","[72.4317664619072, 91.87244295146846, 97.24721931738927, 95.14248051027394, 98.2280290864206, 96.9515765929228, 96.37782842784634, 69.1535494643315, 97.89329846606628, 96.3639238331306]"
3,492.2618329658886,98.31539422224282,"[361.1557344553628, 378.6137500271154, 392.43924136153674, 415.86648371872224, 411.8715275303244, 397.19244610358976, 397.9510493167916, 256.9895984606951, 416.0335097151541, 403.3761318768568]","[91.52195433138733, 94.25127982026734, 96.39054262240873, 99.97462091549434, 99.36688877842892, 97.12175857536222, 97.23826382758031, 74.40287209016421, 100.0, 98.06989921236527]"
4,492.2618329658886,98.31539422224282,"[360.4367208080316, 373.77310513013066, 360.7647732280876, 375.8609442613373, 369.7325287572585, 368.5095970815662, 376.1198798955608, 278.65548854008586, 377.5935089515172, 361.2497077524133]","[96.81485237534898, 99.05399634587825, 96.87016649865899, 99.40281212825015, 98.37762997388754, 98.17257516415502, 99.4460408643036, 82.58254959115243, 99.69192768139361, 96.95191089859523]"
5,492.2618329658886,98.31539422224282,"[335.9341667128099, 336.20035551415515, 336.09797060669194, 345.9294989277722, 334.13013917969056, 343.1651123811564, 344.99331477510196, 262.60372515513, 348.248284544776, 347.9326149949467]","[97.4813437695024, 97.52990248468431, 97.51122630570087, 99.2985155437674, 97.15200590121553, 98.79720159017441, 99.12884690879169, 83.69651706342418, 99.71829677978454, 99.66118806299619]"
6,492.2618329658886,98.31539422224282,"[323.0528171064541, 347.4713039525922, 347.4713039525922, 335.76752462319746, 334.80228568179706, 323.92016438221583, 336.52109586286434, 266.91259600975377, 343.01181043408, 338.37610426535974]","[95.5197402504728, 100.0, 100.0, 97.86231969065263, 97.68524029944052, 95.68024315240513, 98.00048293568275, 84.87929261095177, 99.1875070946124, 98.34027590284735]"
7,492.2618329658886,98.31539422224282,"[318.5507043349469, 347.2470274134876, 342.9808827675817, 337.34122723780064, 345.0387378279346, 329.08454819562564, 348.41558655232126, 332.0276152185213, 341.94510967454977, 342.69216173809457]","[94.13441716353339, 99.37143068134543, 98.5996336887231, 97.57585594920675, 98.97220474381494, 96.0695717291075, 99.58244791136765, 96.60751642707453, 98.41190917861438, 98.5473191075986]"
8,492.2618329658886,98.31539422224282,"[338.31847266155603, 336.5246233529773, 361.29627538983715, 339.8586220881043, 359.4690429239719, 348.61292862100424, 361.29627538983715, 335.2931951671249, 347.99595513434997, 361.29627538983715]","[95.9488089772844, 95.62980471041669, 100.0, 96.2223687426827, 99.68012051534458, 97.77166327882114, 100.0, 95.4105766847643, 97.66278269724434, 100.0]"
9,492.2618329658886,98.31539422224282,"[371.1352663888738, 358.39280695682686, 378.2081217251097, 378.24129623351473, 379.72146932663975, 370.2064923223139, 379.72146932663975, 361.71155464129396, 379.72146932663975, 368.7929757768311]","[98.56684450902797, 96.42535585511676, 99.74795668488854, 99.75348431158062, 100.0, 98.41135449540779, 100.0, 96.98483557542312, 100.0, 98.17453419881528]"
10,492.2618329658886,98.31539422224282,"[350.0565086357229, 360.35141368035846, 358.5139278854517, 346.37805572657294, 360.35141368035846, 360.35141368035846, 360.35141368035846, 342.997781048, 360.35141368035846, 350.1770028275069]","[98.18797731955983, 100.0, 99.6774805218198, 97.5374852654141, 100.0, 100.0, 100.0, 96.93826481743972, 100.0, 98.2092577337566]"
11,492.2618329658886,98.31539422224282,"[328.56894742888255, 333.0173906841181, 316.14986292706254, 308.254378034006, 320.46902073802823, 326.62691979369873, 323.95447796352124, 305.635927139206, 333.0173906841181, 323.7068304495466]","[99.15429091470071, 100.0, 96.7787709567879, 95.25686843897984, 97.60741860069173, 98.78424498600319, 98.27417136805322, 94.7500506816552, 100.0, 98.2268539776372]"
12,492.2618329658886,98.31539422224282,"[339.2477604775539, 345.0703200980443, 309.2531645106394, 320.70761246011904, 338.36300689316664, 324.5465155530093, 345.0703200980443, 321.50760787814085, 345.0703200980443, 326.2279298246634]","[98.93127257357017, 100.0, 93.35385846635542, 95.498685664763, 98.76850142324155, 96.21327504681429, 100.0, 95.64777142629563, 100.0, 96.52561255760219]"
13,492.2618329658886,98.31539422224282,"[350.0826264754695, 349.5308874369006, 323.7470245158804, 340.1997085762061, 342.00193628643035, 310.235052134843, 331.56079310140615, 316.3146817336606, 350.0826264754695, 339.32258974526866]","[100.0, 99.9003579328298, 95.20101642887873, 98.20954075409554, 98.53694845800027, 92.70212904769004, 96.63432791627568, 93.8297728609104, 100.0, 98.05004726974062]"
14,492.2618329658886,98.31539422224282,"[324.41629470750325, 324.41629470750325, 291.22358777077426, 316.4154337871491, 312.81042235503725, 290.8818399511965, 310.33771596372935, 320.57826200770995, 317.90893957386197, 302.1277877509449]","[100.0, 100.0, 93.45000124036814, 98.43649996304099, 97.72898059181567, 93.38164372976841, 97.24256330164069, 99.25112804497503, 98.72905458438579, 95.62079407330431]"
15,492.2618329658886,98.31539422224282,"[296.6826566612819, 314.977232649697, 282.9762725514488, 314.33585211449963, 301.2183476594261, 292.92245774770475, 286.4395833333998, 307.62018164619633, 303.86948003516017, 314.977232649697]","[96.30273101898575, 100.0, 93.49654714475926, 99.87125230058852, 97.22432465014853, 95.53611646322666, 94.20871906569586, 98.51945838325398, 97.76145459777216, 100.0]"
16,492.2618329658886,98.31539422224282,"[289.8637005887607, 294.31872837209994, 275.5623787728125, 292.17215496411694, 302.1101764267395, 283.05561947793694, 282.2497640274525, 290.4001625305476, 276.9639576864448, 288.1914108318451]","[97.42520148437359, 98.3647831368961, 94.38505975270535, 97.91248901638178, 100.0, 95.98262389577755, 95.81131657784624, 97.53852472650675, 94.68468166182895, 97.07162062926771]"
