Iteration,Best Power Output,Best Voltage,Fitness Array,Population Array
1,505.10553910731124,98.0259078678218,"[157.4872784470204, 139.12439310039107, 279.7851319246577, 326.05937181555873, 153.04821860838297, 378.06050462572307, 156.86070730056716, 74.94834508588684, 408.0556656993342, 341.6425052603519, 421.99408584229604, 239.8606366989459, 416.0391040709282, 187.01946086618233, 175.98694625746765, 88.73392549674352, 459.0127806374138, 307.916480646646, 85.5074804854684, 50.46221532928208, 2.844554160088158, 503.9633725579452, 110.89950441625042, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 179.982713251067, 324.0299029216844, 200.95119105162956]","[49.166190786333615, 45.86058546117198, 68.44623494823844, 76.33763634290125, 48.38095470105113, 81.9523302911335, 49.05585866612948, 32.63603337175906, 87.48141574033788, 77.08610710789978, 87.65101121875576, 62.546909791084076, 88.5315893461526, 54.19781246712453, 52.354512289341834, 35.774615547764505, 92.33042406052094, 73.76691179203321, 35.05912812959099, 26.38427065863857, 5.960623379449435, 97.88634646723138, 40.43262152466742, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 53.026798530238835, 76.05224205185263, 56.47096879178892]"
2,505.10553910731124,98.0259078678218,"[157.4872784470204, 139.12439310039107, 279.7851319246577, 326.05937181555873, 153.04821860838297, 378.06050462572307, 156.86070730056716, 74.94834508588684, 408.0556656993342, 341.6425052603519, 421.99408584229604, 239.8606366989459, 416.0391040709282, 187.01946086618233, 175.98694625746765, 88.73392549674352, 459.0127806374138, 307.916480646646, 85.5074804854684, 50.46221532928208, 2.844554160088158, 503.9633725579452, 110.89950441625042, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 179.982713251067, 324.0299029216844, 200.95119105162956]","[49.166190786333615, 45.86058546117198, 68.44623494823844, 76.33763634290125, 48.38095470105113, 81.9523302911335, 49.05585866612948, 32.63603337175906, 87.48141574033788, 77.08610710789978, 87.65101121875576, 62.546909791084076, 88.5315893461526, 54.19781246712453, 52.354512289341834, 35.774615547764505, 92.33042406052094, 73.76691179203321, 35.05912812959099, 26.38427065863857, 5.960623379449435, 97.88634646723138, 40.43262152466742, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 53.026798530238835, 76.05224205185263, 56.47096879178892]"
3,505.10553910731124,98.0259078678218,"[157.4872784470204, 139.12439310039107, 279.7851319246577, 326.05937181555873, 153.04821860838297, 378.06050462572307, 156.86070730056716, 74.94834508588684, 408.0556656993342, 341.6425052603519, 421.99408584229604, 239.8606366989459, 416.0391040709282, 187.01946086618233, 175.98694625746765, 88.73392549674352, 459.0127806374138, 307.916480646646, 85.5074804854684, 50.46221532928208, 2.844554160088158, 503.9633725579452, 110.89950441625042, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 179.982713251067, 324.0299029216844, 200.95119105162956]","[49.166190786333615, 45.86058546117198, 68.44623494823844, 76.33763634290125, 48.38095470105113, 81.9523302911335, 49.05585866612948, 32.63603337175906, 87.48141574033788, 77.08610710789978, 87.65101121875576, 62.546909791084076, 88.5315893461526, 54.19781246712453, 52.354512289341834, 35.774615547764505, 92.33042406052094, 73.76691179203321, 35.05912812959099, 26.38427065863857, 5.960623379449435, 97.88634646723138, 40.43262152466742, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 53.026798530238835, 76.05224205185263, 56.47096879178892]"
4,505.10553910731124,98.0259078678218,"[157.4872784470204, 139.12439310039107, 279.7851319246577, 326.05937181555873, 153.04821860838297, 378.06050462572307, 156.86070730056716, 74.94834508588684, 408.0556656993342, 341.6425052603519, 421.99408584229604, 239.8606366989459, 416.0391040709282, 187.01946086618233, 175.98694625746765, 88.73392549674352, 459.0127806374138, 307.916480646646, 85.5074804854684, 50.46221532928208, 2.844554160088158, 503.9633725579452, 110.89950441625042, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 179.982713251067, 324.0299029216844, 200.95119105162956]","[49.166190786333615, 45.86058546117198, 68.44623494823844, 76.33763634290125, 48.38095470105113, 81.9523302911335, 49.05585866612948, 32.63603337175906, 87.48141574033788, 77.08610710789978, 87.65101121875576, 62.546909791084076, 88.5315893461526, 54.19781246712453, 52.354512289341834, 35.774615547764505, 92.33042406052094, 73.76691179203321, 35.05912812959099, 26.38427065863857, 5.960623379449435, 97.88634646723138, 40.43262152466742, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 53.026798530238835, 76.05224205185263, 56.47096879178892]"
5,505.10553910731124,98.0259078678218,"[226.24757563200424, 245.36888587267566, 378.94143248445863, 326.05937181555873, 235.27719780252175, 378.06050462572307, 156.86070730056716, 78.95116394819104, 408.0556656993342, 341.6425052603519, 421.99408584229604, 352.8014170709797, 416.0391040709282, 311.2819190723456, 234.26622569250858, 143.1708017297156, 459.0127806374138, 358.69525934223043, 85.5074804854684, 164.36394535047611, 31.30603585136975, 503.9633725579452, 147.3236533621117, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 307.3082019234846, 324.0299029216844, 264.0528198179943]","[71.23586205271235, 74.7624747657169, 97.5684097348761, 76.33763634290125, 72.91214662580578, 81.9523302911335, 49.05585866612948, 39.12069242358686, 87.48141574033788, 77.08610710789978, 87.65101121875576, 93.29959879257899, 88.5315893461526, 86.34962815026518, 72.72546420099268, 54.59434622144888, 92.33042406052094, 94.26870046036832, 35.05912812959099, 59.09484755678847, 23.753595848862304, 97.88634646723138, 55.49374804764036, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 85.67203823882451, 76.05224205185263, 78.12921560015116]"
6,505.10553910731124,98.0259078678218,"[226.24757563200424, 245.36888587267566, 378.94143248445863, 326.05937181555873, 235.27719780252175, 378.06050462572307, 156.86070730056716, 78.95116394819104, 408.0556656993342, 341.6425052603519, 421.99408584229604, 356.5493015429486, 416.0391040709282, 322.03890486957755, 234.26622569250858, 143.1708017297156, 459.0127806374138, 358.69525934223043, 85.5074804854684, 164.36394535047611, 31.30603585136975, 503.9633725579452, 147.3236533621117, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 307.3082019234846, 324.0299029216844, 264.0528198179943]","[71.23586205271235, 74.7624747657169, 97.5684097348761, 76.33763634290125, 72.91214662580578, 81.9523302911335, 49.05585866612948, 39.12069242358686, 87.48141574033788, 77.08610710789978, 87.65101121875576, 89.0382539947633, 88.5315893461526, 83.64681420894779, 72.72546420099268, 54.59434622144888, 92.33042406052094, 94.26870046036832, 35.05912812959099, 59.09484755678847, 23.753595848862304, 97.88634646723138, 55.49374804764036, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 85.67203823882451, 76.05224205185263, 78.12921560015116]"
7,505.10553910731124,98.0259078678218,"[226.24757563200424, 297.426472694995, 378.94143248445863, 336.1973532894313, 307.61045525897316, 378.06050462572307, 201.157899431214, 127.78811280715773, 408.0556656993342, 341.6425052603519, 421.99408584229604, 356.5493015429486, 416.0391040709282, 337.15868874875946, 331.374258837058, 207.34780784332315, 459.0127806374138, 358.69525934223043, 106.38438560474673, 204.46445393405796, 43.26337407553137, 503.9633725579452, 164.62878915736394, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 355.159167229505, 324.0299029216844, 264.0528198179943]","[71.23586205271235, 84.76564865027942, 97.5684097348761, 91.4104921440076, 86.53229468174968, 81.9523302911335, 67.06367807074008, 51.62361986659663, 87.48141574033788, 77.08610710789978, 87.65101121875576, 89.0382539947633, 88.5315893461526, 91.57261831134973, 90.5952897947395, 68.270332601927, 92.33042406052094, 94.26870046036832, 46.55753391449599, 67.70971183274264, 28.456660831517702, 97.88634646723138, 59.674803210519954, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 94.58721847268889, 76.05224205185263, 78.12921560015116]"
8,505.10553910731124,98.0259078678218,"[226.24757563200424, 297.426472694995, 378.94143248445863, 336.5013714041883, 307.61045525897316, 378.06050462572307, 201.157899431214, 127.78811280715773, 408.0556656993342, 341.6425052603519, 421.99408584229604, 356.5493015429486, 416.0391040709282, 337.15868874875946, 331.374258837058, 207.34780784332315, 459.0127806374138, 358.69525934223043, 106.38438560474673, 204.46445393405796, 43.26337407553137, 503.9633725579452, 164.62878915736394, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 355.159167229505, 324.0299029216844, 264.0528198179943]","[71.23586205271235, 84.76564865027942, 97.5684097348761, 89.13584338232818, 86.53229468174968, 81.9523302911335, 67.06367807074008, 51.62361986659663, 87.48141574033788, 77.08610710789978, 87.65101121875576, 89.0382539947633, 88.5315893461526, 91.57261831134973, 90.5952897947395, 68.270332601927, 92.33042406052094, 94.26870046036832, 46.55753391449599, 67.70971183274264, 28.456660831517702, 97.88634646723138, 59.674803210519954, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 94.58721847268889, 76.05224205185263, 78.12921560015116]"
9,505.10553910731124,98.0259078678218,"[226.24757563200424, 297.426472694995, 378.94143248445863, 336.5013714041883, 307.61045525897316, 378.06050462572307, 201.157899431214, 127.78811280715773, 408.0556656993342, 341.6425052603519, 421.99408584229604, 356.5493015429486, 416.0391040709282, 337.15868874875946, 331.374258837058, 207.34780784332315, 459.0127806374138, 358.69525934223043, 106.38438560474673, 204.46445393405796, 43.26337407553137, 503.9633725579452, 164.62878915736394, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 355.159167229505, 324.0299029216844, 264.0528198179943]","[71.23586205271235, 84.76564865027942, 97.5684097348761, 89.13584338232818, 86.53229468174968, 81.9523302911335, 67.06367807074008, 51.62361986659663, 87.48141574033788, 77.08610710789978, 87.65101121875576, 89.0382539947633, 88.5315893461526, 91.57261831134973, 90.5952897947395, 68.270332601927, 92.33042406052094, 94.26870046036832, 46.55753391449599, 67.70971183274264, 28.456660831517702, 97.88634646723138, 59.674803210519954, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 94.58721847268889, 76.05224205185263, 78.12921560015116]"
10,505.10553910731124,98.0259078678218,"[226.24757563200424, 317.29442162149326, 378.94143248445863, 341.41273004984083, 307.61045525897316, 378.06050462572307, 236.29385170264592, 156.57055442028096, 408.0556656993342, 341.6425052603519, 421.99408584229604, 356.5493015429486, 416.0391040709282, 337.15868874875946, 331.374258837058, 249.38027157924822, 459.0127806374138, 358.69525934223043, 120.20998512652874, 247.43189334949253, 76.45721458706382, 503.9633725579452, 193.52482537266758, 393.71001988863424, 505.10553910731124, 439.94985413145577, 496.9101649062633, 355.159167229505, 324.0299029216844, 276.2614040682683]","[71.23586205271235, 93.92093338968711, 97.5684097348761, 98.33476589106516, 86.53229468174968, 81.9523302911335, 78.39563559194062, 61.47084183574978, 87.48141574033788, 77.08610710789978, 87.65101121875576, 89.0382539947633, 88.5315893461526, 91.57261831134973, 90.5952897947395, 80.99268903031027, 92.33042406052094, 94.26870046036832, 52.81767238124304, 80.60854829068217, 40.98986755014833, 97.88634646723138, 69.58904398602395, 84.00208816429716, 98.0259078678218, 91.64592467629744, 98.89947050377356, 94.58721847268889, 76.05224205185263, 86.210395935873]"
